year,quelques_DET os_NOUN,quelques_DET fosses_NOUN
1800,1.1947824418712116e-07,1.5720821977538435e-08
1801,9.524730337773235e-08,7.143547975374531e-09
1802,1.432217686669901e-07,2.0140561218795483e-08
1803,1.8723257144692695e-07,3.315576790896557e-08
1804,1.4089550992579802e-07,2.4718509461507665e-09
1805,1.4498677014529449e-07,5.401467717547348e-08
1806,3.054569219784753e-07,0.0
1807,1.8220512254529808e-07,2.8469551160981155e-09
1808,1.3369836437959748e-07,1.1330369531492579e-08
1809,1.4457795316502597e-07,3.6144488291256494e-08
1810,1.521082393374229e-07,3.2761775958789485e-08
1811,9.025476321866677e-08,2.0056614147279106e-08
1812,4.6142702103679767e-07,2.400487453257938e-08
1813,2.8469842527911737e-07,4.026038169513413e-08
1814,1.2272040805783035e-07,3.1466771410748606e-09
1815,1.4025562222741428e-07,2.697223555614414e-09
1816,1.3210342864056202e-07,9.270415546325239e-09
1817,5.7604317760251433e-08,1.71256075987003e-08
1818,1.478225941653477e-07,2.3842354979208835e-08
1819,1.635465967098071e-07,7.24573512300708e-09
1820,9.730514705097448e-08,2.0173018810965004e-08
1821,2.021605176594221e-07,6.903041693817613e-09
1822,1.6943290859217086e-07,3.0076847679083585e-09
1823,1.788766308408185e-07,5.929612356680991e-09
1824,1.002112401948807e-07,1.8526447931321854e-08
1825,2.2629988016831248e-07,9.68598712347557e-09
1826,1.1538459609994334e-07,9.688783109140786e-09
1827,1.7881509517536642e-07,0.0
1828,2.0179062154568328e-07,2.7516904310687096e-09
1829,1.8689523528792051e-07,1.457439902097235e-08
1830,1.73251471835556e-07,3.757260813586072e-08
1831,1.60589427755653e-07,7.795603274018958e-09
1832,1.7453660161592666e-07,2.705993873419743e-09
1833,3.139163355925234e-07,1.1583628278799551e-08
1834,2.566996055719528e-07,9.334530925997342e-10
1835,2.2840526270329065e-07,5.294161553592858e-09
1836,2.2380097464136384e-07,1.2097350454709499e-08
1837,1.864714720412053e-07,7.653679912067446e-09
1838,1.7042836830682973e-07,6.943378316748294e-09
1839,1.9925704286549717e-07,6.991475398621105e-09
1840,1.248458971758737e-07,1.8472096741106725e-08
1841,1.9775289583634503e-07,1.4767262079828924e-08
1842,1.5160678845660414e-07,2.2808102073668124e-08
1843,1.6244004896748265e-07,1.1223130869097986e-08
1844,9.550096724542101e-08,9.879410234336916e-09
1845,1.5010813214644259e-07,2.2320911785556063e-09
