year,excellentes_ADJ âmes_NOUN,excellentes_ADJ ames_NOUN,excellentes_ADJ femmes_NOUN
1800,3.144164484325529e-09,0.0,3.144164484325529e-09
1801,0.0,0.0,1.6668277424969347e-08
1802,0.0,0.0,2.2378401354217203e-09
1803,0.0,0.0,5.851017448321727e-09
1804,0.0,0.0,1.730295728918918e-08
1805,0.0,0.0,0.0
1806,2.0171682990621775e-08,0.0,2.881669125542885e-09
1807,0.0,0.0,0.0
1808,0.0,0.0,6.798221985349073e-09
1809,0.0,0.0,1.581321384946932e-08
1810,0.0,0.0,3.2761775514700275e-08
1811,0.0,0.0,2.5070767684098882e-09
1812,0.0,2.6672082320544632e-09,2.6672082320544632e-09
1813,0.0,0.0,2.5881675469463516e-08
1814,0.0,0.0,0.0
1815,0.0,0.0,0.0
1816,0.0,0.0,1.622322720606917e-08
1817,0.0,0.0,1.8682481339737933e-08
1818,0.0,0.0,1.0729059418679299e-08
1819,1.035105001712111e-09,0.0,2.070209959015301e-08
1820,0.0,0.0,9.493184904840746e-09
1821,0.0,9.86148829262845e-10,2.9584463767662328e-09
1822,0.0,0.0,4.010246357211145e-09
1823,0.0,0.0,4.941343334508019e-09
1824,0.0,0.0,5.894778887238772e-09
1825,0.0,0.0,1.1447076175841175e-08
1826,0.0,0.0,9.688783109140786e-09
1827,0.0,0.0,9.217273166939322e-09
1828,3.668920500743411e-09,0.0,1.2841221419535032e-08
1829,0.0,1.714635211591542e-09,0.0
1830,0.0,0.0,1.461157062010443e-08
1831,0.0,0.0,4.677361786775691e-08
1832,0.0,4.058990921151917e-09,4.19429042608499e-08
1833,0.0,0.0,5.791814139399776e-09
1834,0.0,0.0,7.467624740797874e-09
1835,0.0,7.563087933704082e-10,1.1344631900556124e-08
1836,2.688300027031687e-09,3.36037508930076e-09,2.688300027031687e-09
1837,6.957890930081589e-10,0.0,1.461157062010443e-08
1838,6.312161904276081e-10,6.312161904276081e-10,6.312161904276081e-09
1839,6.9914751765765e-10,6.9914751765765e-10,1.2584655095793096e-08
1840,0.0,1.2739377330817092e-09,9.554533164646273e-09
1841,1.926164561183441e-09,0.0,8.988767952189392e-09
1842,2.0124795163667386e-09,0.0,1.341653010911159e-08
1843,0.0,0.0,1.063243981747064e-08
