year,leurs_DET eaux_NOUN,leurs_DET faux_ADJ
1800,2.37384421630793e-06,1.4463157071986643e-07
1801,2.4002320841987057e-06,2.809795391911507e-07
1802,2.9673759058823634e-06,2.0140561218795483e-07
1803,2.1278201174368405e-06,1.1897069107646985e-07
1804,3.220821721328093e-06,2.2493843299109528e-07
1805,2.1748014358280443e-06,2.5870187414511747e-07
1806,1.948008243601862e-06,1.9019016406218725e-07
1807,2.334503134804322e-06,2.875424720549802e-07
1808,2.0893201906346803e-06,1.540930298915555e-07
1809,2.069272007076961e-06,2.3493917922223773e-07
1810,2.2114197371081445e-06,2.784750723350271e-07
1811,1.9028712952007254e-06,1.3538214949093685e-07
1812,2.02974537266698e-06,1.7070132329877197e-07
1813,1.9785103546610117e-06,1.4378707646756084e-07
1814,1.9540865867639923e-06,2.989343386161636e-07
1815,1.801745327156823e-06,2.2926400333744823e-07
1816,1.5921939109375671e-06,3.66181424737988e-07
1817,1.3046598770216633e-06,2.3041726660011363e-07
1818,1.6534673044077408e-06,2.598816568610829e-07
1819,1.3715141626846616e-06,3.012155671555661e-07
1820,1.664867284034699e-06,1.8630375553385647e-07
1821,1.3411623509540505e-06,2.4259260955616924e-07
1822,1.7695212051194176e-06,3.5691192579179187e-07
1823,1.4280482449890997e-06,2.441023609911497e-07
1824,1.7524335866880847e-06,2.425280420936815e-07
1825,1.8350543555811782e-06,2.2629988327693695e-07
1826,1.8408687090243347e-06,3.1884903295420486e-07
1827,1.3263655525008744e-06,1.6683264902894734e-07
1828,1.5528705574752166e-06,2.4581767377185315e-07
1829,1.8449474730175552e-06,1.9975500853419703e-07
1830,1.7147720896559804e-06,2.3691617068166693e-07
1831,1.8849768714801485e-06,1.4187997177117495e-07
1832,1.4341768022063661e-06,1.5288865684581765e-07
1833,2.2703911355392847e-06,1.668042521885127e-07
1834,1.9247802338639985e-06,1.9975896670132443e-07
1835,1.8537128951834347e-06,2.0344706541663982e-07
1836,1.6707784595837438e-06,3.152031851083592e-07
1837,1.6810264291677868e-06,1.6838096428273275e-07
1838,1.8191650958954142e-06,2.0514526810622158e-07
1839,1.5234424424193094e-06,2.1813402117931702e-07
1840,1.603250655790589e-06,2.898208264490165e-07
1841,1.357303966997847e-06,2.2471919791655637e-07
1842,1.4758182649288187e-06,2.294226688626111e-07
1843,1.3916682206627229e-06,2.8175967076160546e-07
1844,1.4314167691154012e-06,2.700372043751287e-07
1845,1.4346766352701934e-06,2.8347557190500083e-07
1846,1.3178481932385466e-06,2.470599465009826e-07
1847,1.2911377176294536e-06,1.8876283292001972e-07
1848,1.242986698457571e-06,1.8745367114103573e-07
1849,1.4136072472581418e-06,2.1870273614332802e-07
1850,1.3306432302684357e-06,2.4236715034930967e-07
1851,1.3118157955460674e-06,1.8767866238889042e-07
1852,1.3424744675916145e-06,2.46098608158718e-07
1853,1.461928928137013e-06,1.79755150542249e-07
1854,1.3550292843333978e-06,2.1717876902416222e-07
1855,1.4100531942062844e-06,2.398735539088648e-07
1856,1.3900753312867664e-06,2.1381790826779934e-07
1857,1.4498081668534724e-06,2.421228373350459e-07
1858,1.3071008506670978e-06,2.0651312387931497e-07
1859,1.2455456204207849e-06,1.8026294301698442e-07
1860,1.2436208720600916e-06,1.8308735344474414e-07
1861,1.342634897483208e-06,1.9288291941421676e-07
1862,1.3874736257690756e-06,2.0195398087174965e-07
1863,1.2971030667330297e-06,2.41739642192762e-07
1864,1.458556289080093e-06,2.1672169758790716e-07
1865,1.2684945289720417e-06,1.840376089301543e-07
1866,1.2431641103205493e-06,2.0094981678653312e-07
1867,1.1714686873887104e-06,1.8440684179665823e-07
1868,1.3061026660210473e-06,1.7536553220676154e-07
1869,1.3317356568620653e-06,1.7238823235565803e-07
1870,1.406562120109811e-06,1.622735794626351e-07
1871,1.1173478124959502e-06,1.476343638451283e-07
1872,1.1465755296313773e-06,1.7295390886129525e-07
1873,1.2187505653571407e-06,1.4545991122716373e-07
1874,1.3251683341763965e-06,1.3562362077834678e-07
1875,1.2764727213010474e-06,1.6592428647710378e-07
1876,1.4395560707924915e-06,1.0157304597413486e-07
1877,1.478171014923646e-06,1.7626725234975993e-07
1878,1.2029865033014175e-06,1.4131467973577116e-07
1879,1.3183924245652179e-06,1.4418007765470975e-07
1880,1.2457039346713827e-06,9.755126106902878e-08
1881,1.3680059565146507e-06,8.645909588267386e-08
1882,1.1893173095245402e-06,1.2312462627228626e-07
1883,1.2802980187132107e-06,9.479008716839488e-08
1884,1.1658596577035496e-06,1.1751020423389491e-07
1885,1.3155542504250661e-06,1.314909625627081e-07
1886,1.0938621457512454e-06,1.1164492774717871e-07
1887,1.1477849781726945e-06,9.07520490422975e-08
1888,1.0512739123669235e-06,1.1413106637547799e-07
1889,1.122712486534283e-06,1.3094135853375377e-07
1890,1.1135903026371352e-06,9.897123887103731e-08
1891,9.873666328985564e-07,1.1856049420000403e-07
1892,1.2223599092919812e-06,1.0907211422939156e-07
1893,1.1091308387278787e-06,1.1146733713829349e-07
1894,1.182798868626378e-06,1.0838647312993999e-07
1895,1.0255718585483464e-06,9.569597292369281e-08
1896,1.116897330177835e-06,8.845543675306544e-08
1897,9.142113661653184e-07,9.497542818870386e-08
1898,1.0864041177782724e-06,1.0354789115041285e-07
1899,9.535072944544254e-07,1.2492327350344112e-07
1900,1.0812963360251615e-06,7.68275896234627e-08
1901,1.02273922308882e-06,9.221419011717913e-08
1902,8.376944222732163e-07,7.218117525908951e-08
1903,9.909404106167585e-07,6.048246348200337e-08
1904,9.486213539133814e-07,9.298101844024131e-08
1905,1.0636324176971357e-06,7.947568614330436e-08
1906,1.0067168751959343e-06,6.635998062165527e-08
1907,1.030111567601466e-06,6.891410242459983e-08
1908,1.0613511740587e-06,9.380753085430626e-08
1909,8.565031279772484e-07,6.931239554530677e-08
1910,1.091810023723383e-06,8.176550425620377e-08
1911,9.816089772129999e-07,8.991432354221729e-08
1912,8.710152243907032e-07,8.64763922692191e-08
1913,8.452965651883915e-07,5.727229068774875e-08
1914,9.187932459298054e-07,9.84421353322773e-08
1915,8.505709878647849e-07,6.479418945826154e-08
1916,8.097759307545971e-07,7.141850333347577e-08
1917,8.246751193041746e-07,1.283071697777416e-07
1918,7.546549269932257e-07,1.0337738398646934e-07
1919,6.832223444774854e-07,7.182121919413476e-08
1920,6.565124976987136e-07,1.0601124245113169e-07
1921,7.345565116168018e-07,6.966927579288296e-08
1922,8.366578896357169e-07,8.189508093892073e-08
1923,7.484243660371703e-07,7.537323476469737e-08
1924,8.792087937692372e-07,9.281969315377836e-08
1925,9.579412996174597e-07,8.138651419464793e-08
1926,7.612812815693815e-07,9.697140335163112e-08
1927,7.726413127073783e-07,8.807887708073281e-08
1928,8.032506730870637e-07,1.1540301869672476e-07
1929,8.656096017745085e-07,1.0249174042797904e-07
1930,7.100435919227266e-07,7.352522257697558e-08
1931,7.00288884658562e-07,6.729160162421977e-08
1932,8.121016694673244e-07,8.438843057678724e-08
1933,6.744749416753848e-07,7.341223806633934e-08
1934,6.110605959008808e-07,7.428579884560804e-08
1935,6.259412757003702e-07,7.77938495843955e-08
1936,7.068708445245875e-07,6.66859278908305e-08
1937,7.013253018328669e-07,7.554671177523176e-08
1938,6.210337772927232e-07,7.130867629712156e-08
1939,7.310556071615792e-07,8.411727492330101e-08
1940,7.50591727438632e-07,6.339457114812319e-08
1941,7.644391892824842e-07,8.559357755899555e-08
1942,7.555187195862345e-07,5.4615812983271894e-08
1943,6.067761706418651e-07,1.1612940675753691e-07
1944,5.815866721547991e-07,9.318240046241044e-08
1945,5.315549813644793e-07,1.2199623133923865e-07
1946,5.554520754458281e-07,1.0023195340380653e-07
1947,4.816031857757253e-07,1.0490366531001882e-07
1948,4.7510149592255857e-07,1.1089325679947137e-07
1949,6.253434357006427e-07,4.712163814701853e-08
1950,6.26422774985258e-07,7.551106762093696e-08
1951,6.51411619756459e-07,8.635735326834038e-08
1952,6.35851671759724e-07,7.170466886918803e-08
1953,6.572034489948919e-07,4.955960619668076e-08
1954,5.482392735345343e-07,8.111205018757062e-08
1955,5.302868579803999e-07,7.696198167650437e-08
1956,5.119310024781498e-07,8.023449993288523e-08
1957,5.48655819443411e-07,9.276789825207743e-08
1958,5.931198465702892e-07,7.362296339241681e-08
1959,5.138746086430501e-07,6.975673128017945e-08
1960,4.830741744399347e-07,6.851625200532396e-08
1961,4.947089333739996e-07,1.1742389460778213e-07
1962,4.718415551607791e-07,1.0273969408558514e-07
1963,4.972395082347703e-07,6.91867698687787e-08
1964,5.305220174278702e-07,8.943433360553144e-08
1965,4.492547596157692e-07,7.77030124687883e-08
1966,4.7248308021607954e-07,9.970334635678313e-08
1967,4.5457693609307626e-07,1.1389074927592446e-07
1968,5.048351185976685e-07,8.982831389836576e-08
1969,5.068601822699748e-07,9.901031938763794e-08
1970,4.796470083334725e-07,8.599615811122341e-08
1971,4.83523194816371e-07,9.557419067274253e-08
1972,5.022413542832282e-07,8.105632359756143e-08
1973,4.972909701805861e-07,8.821125796476537e-08
