year,quelques_DET oeufs_NOUN,quelques_DET feux_NOUN
1800,2.5153315874604232e-08,8.17482739279285e-08
1801,2.6193008650921e-08,5.9529563500859695e-08
1802,1.7902721083373763e-08,3.5805442166747525e-08
1803,2.7304748684287006e-08,2.7304748684287006e-08
1804,1.7302956178966156e-08,4.6965166644596934e-08
1805,8.528632911009026e-09,6.254330742194725e-08
1806,2.305335211616466e-08,4.8988373357872206e-08
1807,2.8469551160981155e-09,7.402083435081863e-08
1808,4.5321479902327155e-09,3.6257183921861724e-08
1809,4.518061036407062e-09,3.6144488291256494e-08
1810,1.4040760554223652e-08,4.68025347366563e-08
1811,3.259199843341776e-08,5.515569068137438e-08
1812,8.00162425207418e-09,5.867858021701977e-08
1813,8.627225156487839e-09,4.313612333994854e-08
1814,2.2026739543434815e-08,7.86669280827823e-08
1815,2.697223555614414e-09,2.966945977789237e-08
1816,3.244645441213834e-08,4.4034473845044886e-08
1817,3.113746815941454e-09,6.383180917168829e-08
1818,1.0729059418679299e-08,4.17241208250374e-08
1819,2.070210003424222e-09,5.693077653745604e-08
1820,5.933240565525466e-09,7.119888323359191e-08
1821,2.9584463767662328e-09,4.930743990883002e-08
1822,4.010246357211145e-09,5.1130641054442094e-08
1823,4.941343334508019e-09,1.1266263300058199e-07
1824,5.894778887238772e-09,9.01059031832574e-08
1825,5.283265824829186e-09,8.893497494000258e-08
1826,6.1655889282974385e-09,4.139752618481651e-08
1827,2.7651818612639545e-09,6.728609314166079e-08
1828,4.586150570418113e-09,7.06267186956211e-08
1829,6.001223074036943e-09,6.42988169374803e-08
1830,1.0436835840010872e-09,6.36646975138433e-08
1831,3.1182412207897414e-09,5.3010100753425604e-08
1832,0.0,6.764984972207344e-08
1833,5.791814139399776e-09,6.834340560146757e-08
1834,1.8669061851994684e-09,5.507373090907208e-08
1835,1.5126175867408165e-09,4.159698363537245e-08
1836,4.704525213838906e-09,6.115882733581657e-08
1837,9.045257876039159e-09,4.453050062025454e-08
1838,1.0730675015224733e-08,5.9334323676552e-08
1839,4.894032734625853e-09,5.9427538667833346e-08
1840,1.910906599622564e-09,3.885510224677091e-08
1841,6.420548537278137e-10,4.68700043221304e-08
1842,1.341653010911159e-09,5.2324468757802833e-08
1843,3.5441467538532834e-09,3.6032158812204784e-08
1844,2.7442805805577564e-09,3.896878508768964e-08
1845,2.2320911785556063e-09,6.528866425270508e-08
1846,1.1709002656346001e-09,6.732676371967727e-08
1847,1.0786447290911383e-09,5.123562552000749e-08
1848,2.4135665133151463e-09,6.67753405902971e-08
1849,8.379414495607307e-09,4.692472543865733e-08
1850,6.788996032014438e-10,5.499086697113853e-08
1851,7.739326512989919e-09,3.5471914294760154e-08
1852,1.3021090872200602e-09,3.125061653896921e-08
1853,7.763511611358354e-09,5.2553001506083774e-08
1854,1.558699391779328e-09,4.780011275684615e-08
1855,1.0613874223963649e-09,5.253867740862006e-08
1856,2.5885946719483854e-09,6.212627212676125e-08
1857,1.4644527812635033e-09,7.46870885137696e-08
1858,2.4468380654951716e-09,5.1872967254951163e-08
1859,1.5276520048956854e-09,6.008764641407538e-08
