year,anciens_ADJ acteurs_NOUN,anciens_ADJ facteurs_NOUN
1800,2.2009150946189493e-08,3.144164484325529e-09
1801,3.5717739876872656e-08,0.0
1802,8.951360541686881e-09,0.0
1803,5.460949736857401e-08,0.0
1804,3.707776397021689e-08,0.0
1805,3.4114531644036106e-08,0.0
1806,5.76333825108577e-09,2.881669125542885e-08
1807,5.693910232196231e-09,0.0
1808,6.118399653587403e-08,0.0
1809,8.358412806330762e-08,0.0
1810,1.0062545285904889e-07,0.0
1811,2.0056614147279106e-08,0.0
1812,6.13457871168066e-08,0.0
1813,5.176335093892703e-08,0.0
1814,6.293354282149721e-09,0.0
1815,2.697223555614414e-09,0.0
1816,6.952811659743929e-09,0.0
1817,2.0239355080775567e-08,0.0
1818,9.536941902865692e-09,0.0
1819,2.2772310259711048e-08,0.0
1820,2.4919611263385377e-08,4.746592452420373e-09
1821,3.944595405869222e-08,0.0
1822,3.308453244699194e-08,2.0051231786055723e-09
1823,2.8659792761231984e-08,0.0
1824,2.947389532437228e-08,0.0
1825,2.289415235168235e-08,7.924898959288385e-09
1826,5.1967107728145834e-08,4.403992281964975e-09
1827,6.452091305675367e-09,0.0
1828,3.118582486694166e-08,1.8344602503717056e-09
1829,2.5719527840806222e-08,1.2859763920403111e-08
1830,1.1480519646056564e-08,1.461157062010443e-08
1831,1.4032085715598441e-08,0.0
1832,3.3824925083081325e-08,0.0
1833,1.1583628278799551e-08,0.0
1834,2.9870498963191494e-08,9.334530925997342e-10
1835,3.554651328840919e-08,3.781543966852041e-09
1836,1.4785650037651976e-08,0.0
1837,2.0177884252348122e-08,4.87052354003481e-09
1838,1.3886756633496589e-08,5.049729523420865e-09
1839,5.5931801412612e-09,6.292327547896548e-09
1840,1.3376346419402552e-08,1.9109065441114126e-09
1841,1.8619591202195807e-08,3.852329122366882e-09
1842,9.391571076378114e-09,4.695785538189057e-09
1843,2.8943864194275193e-08,5.906911071384968e-10
1844,1.3721403568922597e-08,8.781698035420504e-09
1845,2.399498022498392e-08,4.464182357111213e-09
1846,9.367202347121406e-09,4.6836010625384006e-09
