year,aucunes_DET fois_NOUN
1800,4.7162465932615305e-08
1801,1.1905912700171939e-08
1802,4.923248297927785e-08
1803,2.5354409682876167e-08
1804,3.2134061411781545e-08
1805,5.685755510853596e-08
1806,3.7461699520235925e-08
1807,2.2775640928784924e-08
1808,3.172503681980743e-08
1809,2.25903047379461e-08
1810,2.3401266702194334e-08
1811,7.270522450752992e-08
1812,2.9339290108509886e-08
1813,2.300593315851529e-08
1814,1.2586708564299443e-08
1815,6.47333635583891e-08
1816,0.0
1817,2.1796227045456362e-08
1818,3.695565098382758e-08
1819,9.626476327184719e-08
1820,2.57502648537411e-07
1821,7.396116075142345e-08
1822,1.443688688596012e-07
1823,4.15072847204101e-08
1824,2.9305471471730016e-07
1825,4.0945309365270077e-07
1826,5.00293519944961e-07
1827,4.4519428560318985e-07
1828,1.2657775982916064e-07
1829,6.001223162854785e-08
1830,8.975679155476257e-08
1831,6.860130330466063e-08
1832,5.817886894465829e-08
1833,4.51761508202253e-08
1834,8.121041616959701e-08
1835,1.7546363295650735e-07
1836,4.079495304898373e-07
1837,3.7363875271534397e-07
1838,2.8467849233493325e-07
1839,1.300414425031704e-07
1840,2.5287664584539016e-07
1841,2.1958275908673386e-07
1842,1.4959430716388056e-07
1843,1.83704940370788e-07
1844,1.0373380826544931e-07
1845,8.76095763158169e-08
1846,1.7212233260899268e-07
1847,9.222412611364916e-08
1848,8.68883915927654e-08
1849,1.2233945767547993e-07
1850,1.1066063621001376e-07
1851,7.739326468580998e-08
1852,6.640756566866912e-08
1853,1.3078530880505923e-07
1854,1.4859600805383621e-07
1855,9.870903028286193e-08
1856,1.5013849186118478e-07
1857,1.1081025430570435e-07
1858,1.4876774723227015e-07
1859,7.841947269326965e-08
1860,7.048863182035348e-08
1861,9.526246458335663e-08
1862,8.087195713102346e-08
1863,1.353542211646186e-07
1864,1.145939987345912e-07
1865,1.2755548217668888e-07
1866,6.71454559730833e-08
1867,1.0627657331951923e-07
1868,2.45017748645715e-07
1869,1.1427434476463105e-07
1870,1.0665330707482212e-07
1871,7.541035929037321e-08
1872,9.191955430143395e-08
1873,6.764184945495799e-08
1874,1.1650488085379607e-07
1875,8.982797794487851e-08
1876,9.25040239962982e-08
1877,1.397768443212044e-07
1878,1.1957395318340502e-07
1879,6.903537375091418e-08
1880,7.508880028872511e-08
1881,6.833057497601658e-08
1882,7.187815764808647e-08
1883,7.267239521269175e-08
1884,6.205595060038149e-08
1885,5.9299846921767596e-08
1886,1.2713323371826846e-07
1887,4.700825645409523e-08
1888,6.974676436399818e-08
1889,7.643466659601472e-08
1890,7.078737240817645e-08
1891,1.3513347008053955e-07
1892,7.334159546346086e-08
1893,4.310891560388441e-08
1894,6.112493111665174e-08
1895,4.694519151193788e-08
1896,5.484236798025677e-08
1897,3.787363667129284e-08
1898,7.355861697533328e-08
1899,4.919544949189003e-08
1900,7.423206138668093e-08
1901,5.4769643154095604e-08
1902,3.928226988136885e-08
1903,2.592105730059302e-08
1904,4.407192566446838e-08
1905,5.418796855671815e-08
1906,5.7100447037328195e-08
1907,3.497133665986141e-08
1908,5.648097300969823e-08
1909,3.575639229147498e-08
1910,6.09233188342273e-08
1911,4.469114300853505e-08
1912,7.814132041428223e-08
1913,5.939348568517744e-08
1914,7.433385873500953e-08
1915,2.9451904026700504e-08
1916,5.38385629411664e-08
1917,2.960934575302332e-08
1918,1.4932289182922887e-08
1919,2.2098836538475553e-08
1920,3.48322650722821e-08
1921,4.31646604015512e-08
1922,4.943216680430851e-08
1923,5.095654964648588e-08
1924,6.703644883643278e-08
1925,8.248633776020142e-08
1926,3.343841470382358e-08
1927,2.6758140592164636e-08
1928,3.1992914983902665e-08
1929,4.567566636026754e-08
1930,2.205756699513728e-08
1931,2.9653927313688655e-08
1932,3.9454331357546835e-08
1933,6.652984296806608e-08
1934,3.2350264689284813e-08
1935,2.752705441366743e-08
1936,3.394919900756577e-08
1937,3.14777944820932e-08
1938,2.074434313215079e-08
1939,4.435274547631707e-08
1940,1.343965010391912e-07
1941,4.7224041566096275e-08
1942,3.3376331032286544e-08
1943,3.1935586841669306e-08
1944,3.213186161588055e-08
1945,2.3963544037997053e-08
1946,2.9234319853799207e-08
1947,3.2186353138285995e-08
1948,2.0656587551570738e-08
1949,1.668891380646187e-08
1950,2.1270722072586068e-08
1951,3.4116485192470236e-08
1952,7.275914926108129e-08
1953,1.939288907237824e-08
1954,2.34540866728139e-08
1955,4.598947977996204e-08
1956,1.5698054633972447e-08
1957,1.8553580005686854e-08
1958,4.9633459120457246e-08
1959,1.4726420971555854e-08
1960,3.2527915083679915e-08
1961,3.057190056665604e-08
1962,1.6489087428794846e-08
1963,4.978861056770256e-08
1964,4.076258619534201e-08
1965,5.636204747361262e-08
1966,5.92680984290439e-08
1967,9.21972749257094e-08
1968,3.278733495815089e-08
1969,4.223834915162428e-08
1970,5.288533633240888e-08
1971,4.6245578477766e-08
1972,2.1546617268164425e-08
1973,1.4885650545526374e-08
1974,3.1503201824989446e-08
1975,3.0270844497692906e-08
1976,2.5710871209838615e-08
1977,3.349765764770751e-08
1978,3.207919385683766e-08
1979,2.8089471748593553e-08
1980,2.5583178242527538e-08
1981,1.0753434587229549e-08
1982,3.848651286553206e-08
1983,1.7051352996233504e-08
1984,1.9136728646174106e-08
1985,2.045289804186723e-08
1986,3.0571875919704894e-08
1987,3.788706459673108e-08
1988,1.8589316752581908e-08
1989,4.500260253337274e-08
1990,2.233946855279001e-08
1991,2.05151273746651e-08
1992,3.1957676616123365e-08
1993,2.049506697687775e-08
1994,4.747434001473039e-08
1995,1.5725108049036152e-08
1996,1.814951344769611e-08
1997,2.2536003729811682e-08
1998,1.8118891276230897e-08
1999,2.879226745911012e-08
2000,1.1486882112166086e-08
2001,1.8401089180164476e-08
2002,1.1391175447350577e-08
2003,1.6250998602362898e-08
2004,2.1142997935763574e-08
2005,1.4411998705554652e-08
2006,3.0884175550305315e-08
2007,1.6377365963382573e-08
2008,1.2772319285536682e-08
2009,1.3350939020995156e-08
2010,1.842279218067233e-08
2011,1.1089518581197666e-08
2012,8.170206733382201e-09
2013,3.6258626101570712e-09
2014,4.980523909958734e-09
2015,1.4629397249166232e-08
2016,1.4499380501797887e-08
2017,5.534345121072093e-09
2018,8.002547069452248e-09
2019,1.1479444950168727e-08
