year,les_DET airs_NOUN,les_DET fers_NOUN
1800,1.3324968762162825e-05,6.1499855235069845e-06
1801,9.998585923653991e-06,6.529202465799244e-06
1802,9.871112979453756e-06,5.493897418773486e-06
1803,1.2858586558195384e-05,6.800832693443226e-06
1804,1.5327947807008968e-05,5.297176642216073e-06
1805,1.2190259582212093e-05,5.500968171645582e-06
1806,1.3604359764940455e-05,5.0515660916516936e-06
1807,9.542993836930691e-06,5.312418338121461e-06
1808,1.1763189775138017e-05,5.415917001982962e-06
1809,9.46985633731856e-06,5.496221348266772e-06
1810,1.557588387868236e-05,5.136578465680941e-06
1811,1.0391833313860843e-05,5.713627757586437e-06
1812,1.0028703343323286e-05,1.0002031217482e-05
1813,1.183942828220097e-05,5.210844058467501e-06
1814,1.101022309057953e-05,1.0151180418915828e-05
1815,8.515134723552364e-06,5.78554460162195e-06
1816,7.467319932175087e-06,4.704736042526747e-06
1817,9.496927731333926e-06,5.9939627590210875e-06
1818,1.0029286769963619e-05,7.2647654576485365e-06
1819,9.241417828320664e-06,8.115223323557075e-06
1820,1.0386730480149708e-05,8.733729799814682e-06
1821,9.884169799079245e-06,6.1427212187936675e-06
1822,9.61155804191094e-06,6.421406894219217e-06
1823,8.369647432004967e-06,6.266611976002423e-06
1824,9.600068523241134e-06,6.987839142880148e-06
1825,1.0828053007116978e-05,7.766400571540544e-06
1826,9.133879913747478e-06,7.188196079255249e-06
1827,6.846590473230663e-06,6.3138322445865924e-06
1828,7.461666939434508e-06,5.904210127027909e-06
1829,8.055356147451675e-06,6.203550313443884e-06
1830,9.430724787762301e-06,6.6524390263111854e-06
1831,8.018557679179139e-06,5.416384908585314e-06
1832,9.112434710800699e-06,5.325396017497042e-06
1833,1.0465808713888691e-05,5.728104383706523e-06
1834,8.686714238592685e-06,5.970365876351025e-06
1835,8.70738324465492e-06,5.515760108210088e-06
1836,8.332386045140083e-06,5.37323981575355e-06
1837,7.959827073023007e-06,4.665265677772368e-06
1838,7.293702950050829e-06,5.1128510847320285e-06
1839,7.055097526631471e-06,5.220534603722626e-06
1840,6.677344650540817e-06,5.609784764715187e-06
1841,7.537724059147877e-06,4.9303391165267385e-06
1842,6.920917101638224e-06,5.12377293659938e-06
1843,7.585655282582593e-06,5.8224421763952705e-06
1844,7.089025793050041e-06,5.718532193554893e-06
1845,6.053989366705537e-06,5.467507293133167e-06
1846,5.999107713705598e-06,6.254949397543896e-06
1847,5.701716169426163e-06,5.747558503799155e-06
1848,6.272859550904286e-06,4.541527630408382e-06
1849,6.230932918072085e-06,3.9324594496292775e-06
1850,6.899656739278726e-06,3.9287919975095065e-06
1851,6.306261127519974e-06,4.833854291064199e-06
1852,6.749482395207451e-06,3.927160946659569e-06
1853,6.968049916622476e-06,4.848611240504397e-06
1854,6.6852613400669725e-06,5.165010094287936e-06
1855,7.634559651137351e-06,4.414310097899943e-06
1856,6.480805353703545e-06,4.231316580671773e-06
1857,7.01619282494903e-06,4.040913267999713e-06
1858,6.3020758886978e-06,3.987856629805719e-06
1859,6.959473168421937e-06,4.464308517526661e-06
1860,7.022773090170631e-06,5.048176149102801e-06
1861,7.099411860167493e-06,4.861215472828917e-06
1862,6.448973493888843e-06,4.888913025524744e-06
1863,6.414591609882336e-06,4.079606071627495e-06
1864,6.506445842546782e-06,4.208332569533013e-06
1865,5.8444885695507764e-06,4.135904021040915e-06
1866,5.933615113917767e-06,3.831183519764636e-06
1867,6.235862642256507e-06,4.185064454986787e-06
1868,5.725807923795401e-06,4.673614796502079e-06
1869,5.786481651171016e-06,3.971277777736759e-06
1870,6.216282130822037e-06,4.299963080711677e-06
1871,5.228805733281661e-06,2.9633083755697953e-06
1872,5.312587347816589e-06,3.15913015924707e-06
1873,4.743908711191125e-06,3.0510665567362594e-06
1874,5.086184728497756e-06,3.341001530543508e-06
1875,5.059546225538725e-06,3.238956594486808e-06
1876,5.622189149789847e-06,3.7037887352653343e-06
1877,5.453770590690965e-06,4.961459154628756e-06
1878,5.661645488430622e-06,3.5099182582598587e-06
1879,4.9705468612160075e-06,3.911190077587889e-06
1880,5.092560776631672e-06,4.283912431901626e-06
1881,4.6862222120580554e-06,3.1543625311769574e-06
