year,plusieurs_DET îles_NOUN,plusieurs_DET iles_NOUN,plusieurs_DET fils_NOUN
1800,1.1067458807190178e-06,3.772997292372793e-08,1.980823611802407e-07
1801,9.143740875572348e-07,3.5717738544605027e-08,2.500241578218265e-07
1802,8.839468250698701e-07,4.2518962573012686e-08,2.864435373339802e-07
1803,8.776526363440951e-07,4.8758479920252285e-08,1.950339174605631e-07
1804,1.2730032636909527e-06,5.6852570651244605e-08,1.8538882784469024e-07
1805,6.4249033471242e-07,4.264316544322355e-08,3.4683108651734074e-07
1806,5.734521471012499e-07,2.881669125542885e-08,2.507052192513015e-07
1807,7.459022306477436e-07,3.9857373401730456e-08,1.1387820109121094e-07
1808,1.0514582911014259e-06,3.852325791697808e-08,1.4956088056905514e-07
1809,6.709320814479725e-07,3.6144488291256494e-08,3.027100978769681e-07
1810,6.224737028048821e-07,5.616304221689461e-08,2.0125089417177833e-07
1811,6.042054963018018e-07,6.267691565753353e-08,2.7577844718962297e-07
1812,7.121445904090251e-07,2.1337665856435706e-08,2.827240592750968e-07
1813,9.403675087504837e-07,2.0130191291656274e-08,3.2495879520588744e-07
1814,3.4298780970942744e-07,1.8880061958270744e-08,3.2410775130387037e-07
1815,8.81992090029371e-07,6.473336511270134e-08,2.211723284517575e-07
1816,7.578564780175157e-07,3.7081662185300956e-08,2.6420683951755564e-07
1817,6.383181148095218e-07,3.113746771532533e-08,1.8059731132780144e-07
1818,5.281081403296639e-07,2.2650237685439834e-08,2.1219695334195876e-07
1819,3.881643646508337e-07,1.7596785029105888e-08,2.0288058744100113e-07
1820,7.689480021610962e-07,5.933240565525466e-08,3.215816306578745e-07
1821,5.650632939335765e-07,2.0709125858608957e-08,3.1556761648232623e-07
1822,5.453935330024251e-07,3.8097340393505874e-08,2.476327125577882e-07
1823,4.0222534991585235e-07,2.8659791428964354e-08,2.6189120294617396e-07
1824,4.909508639627802e-07,5.642145595174952e-08,2.711598421356598e-07
1825,5.309681903042929e-07,5.547428960639422e-08,3.090710378739203e-07
1826,8.182617499130629e-07,5.7251897223054016e-08,5.478566293959375e-07
1827,5.355235632720223e-07,5.253845775099464e-08,2.6914436251912477e-07
1828,5.861100333959257e-07,4.769596506637441e-08,3.6047144647000096e-07
1829,6.104101082371471e-07,8.144517060770795e-08,2.5719529350709536e-07
1830,6.147296467418073e-07,6.36646975138433e-08,3.183234882353503e-07
1831,4.2408081135647535e-07,1.8709447990872263e-08,3.227379696824073e-07
1832,5.344337807855482e-07,6.764984983309574e-08,3.1795428112602053e-07
1833,1.3135835033040166e-06,1.8881314556296047e-07,2.8727397261008036e-07
1834,7.747660735191175e-07,6.627516691004587e-08,2.688344933332587e-07
1835,5.611811175754156e-07,6.277362984974388e-08,2.3218679956471533e-07
1836,5.020400131172664e-07,3.427582545567631e-08,3.293167454287982e-07
1837,3.9938294982277966e-07,6.331680624249714e-08,2.3239356128357258e-07
1838,4.172338989860691e-07,7.385229161549489e-08,2.3796850889823418e-07
1839,4.152936377010974e-07,6.571986554959608e-08,2.551888407253955e-07
1840,3.949207094677831e-07,7.452535866203647e-08,2.439590769398592e-07
1841,4.83467292866635e-07,7.961480319451653e-08,3.2616386924644303e-07
1842,4.6823691102204634e-07,4.494537542143462e-08,2.9784696486956364e-07
1843,3.5323327285397e-07,5.670634461996116e-08,2.770341407387633e-07
1844,3.2327627152994864e-07,5.762989474522584e-08,3.5565878420129593e-07
1845,3.398358714434835e-07,6.361459825576787e-08,2.628287409933705e-07
1846,4.150841510508485e-07,5.1519611243833197e-08,3.342920322779719e-07
1847,3.537954729182502e-07,5.3932235566378495e-08,2.993239034410067e-07
1848,3.2985408893182466e-07,4.58577624762313e-08,1.7297227294932327e-07
1849,2.974692185908623e-07,4.1897074698482584e-08,2.145130209019186e-07
1850,2.6884425086137753e-07,6.856885992334583e-08,2.3422036576903338e-07
1851,3.0183374732928314e-07,4.385618246338652e-08,2.6507191996927304e-07
1852,2.311243592068024e-07,4.882909210301989e-08,2.9232350118313377e-07
1853,3.613018861869932e-07,6.808002450675588e-08,2.2812780198222526e-07
1854,3.112202895394489e-07,4.98783807589831e-08,2.384809953959177e-07
1855,2.642854752821222e-07,4.139410947345823e-08,3.2478455125328765e-07
1856,2.5627086230883833e-07,3.20985731327994e-08,2.9717067534518193e-07
1857,2.10393044319801e-07,2.782460128969433e-08,2.73852646559547e-07
1858,2.0455566129840008e-07,2.8383320527236577e-08,2.3538582261117824e-07
1859,2.3423997053129142e-07,2.291478007343528e-08,3.0960414498792943e-07
1860,2.489988091269879e-07,2.1512764236675253e-08,2.3480953847965225e-07
1861,1.7260427132015366e-07,2.735258886055192e-08,3.046512464521811e-07
1862,2.5300722406029763e-07,2.3945328053720516e-08,2.6656118823353836e-07
