year,certains_DET fils_NOUN
1800,2.2009152278457123e-08
1801,1.904946067554647e-08
1802,2.2378401354217203e-08
1803,1.950339223455444e-09
1804,1.2359254952798437e-08
1805,0.0
1806,3.7461699520235925e-08
1807,2.8469551160981155e-09
1808,6.798221985349073e-09
1809,0.0
1810,2.3401267590372754e-09
1811,2.2563689583421365e-08
1812,2.9339290108509886e-08
1813,2.8757416448144113e-09
1814,2.2026739543434815e-08
1815,0.0
1816,4.6352077731626196e-09
1817,0.0
1818,3.5763532135746345e-09
1819,0.0
1820,0.0
1821,7.88919063410276e-09
1822,7.017931125119503e-09
1823,1.4824030003524058e-08
1824,9.263223965660927e-09
1825,6.163809906922779e-09
1826,2.642395191543301e-09
1827,9.217273055917019e-10
1828,9.172301140836225e-09
1829,8.57317605795771e-10
1830,1.1480519646056564e-08
1831,2.182768810143898e-08
1832,5.411987857861789e-09
1833,1.1583628278799551e-08
1834,1.4001796166951408e-08
1835,1.663879345414898e-08
1836,2.6882999715205358e-09
1837,1.3219993100221927e-08
1838,1.1361890983607736e-08
1839,1.11863602825224e-08
1840,5.732719632334238e-09
1841,2.118781017301785e-08
1842,3.4212151778234556e-08
1843,1.2404512972352677e-08
1844,2.085653250105679e-08
1845,2.511102614732863e-08
1846,1.1123552079439492e-08
1847,1.833696039454935e-08
1848,7.24069959545659e-09
1849,2.1786478843210944e-08
1850,3.394497838371535e-08
1851,1.2898877521649865e-08
1852,7.161600201754936e-09
1853,2.329053394589664e-08
1854,1.454786069388092e-08
1855,6.368324534378189e-09
1856,6.73034605824796e-09
1857,2.2943092758964667e-08
1858,3.523446845399292e-08
1859,2.4442431634241757e-08
1860,2.792082218205927e-08
1861,1.7449065525809715e-08
1862,2.2589932147099034e-08
1863,2.7470415275843152e-08
1864,2.7809422764590863e-08
1865,1.4120533187167439e-08
1866,3.405928983291062e-08
1867,1.7955402498159856e-08
1868,4.445886592208126e-08
1869,3.320792973937614e-08
1870,2.8670243068518175e-08
1871,2.1242354097950056e-08
1872,2.1770421909650395e-08
1873,3.052862140862089e-08
1874,1.9716210886144836e-08
1875,2.116965036602636e-08
1876,4.413590870555595e-08
1877,1.9172929133226546e-08
1878,2.4156354694326865e-08
1879,2.9324761841031943e-08
1880,3.2089232160359416e-08
1881,2.510102681263504e-08
1882,2.7287078374627072e-08
1883,3.0964761699170396e-08
1884,1.7164412113856997e-08
1885,1.8692343728421434e-08
1886,1.8715045735362423e-08
1887,2.3504128032758587e-08
1888,2.9800888867725916e-08
1889,1.691586903884712e-08
1890,2.16294753774271e-08
1891,1.9122660788184476e-08
1892,2.1312941633766513e-08
1893,2.278614097406262e-08
1894,4.0960006941759275e-08
1895,2.1065150512811215e-08
1896,3.3023362600026474e-08
1897,3.55429521370354e-08
1898,4.2437660052740966e-08
1899,3.0954439012020885e-08
1900,1.97260017209544e-08
1901,2.235495566438317e-08
1902,3.780918406137701e-08
1903,2.8081145408975772e-08
1904,3.439760210000031e-08
1905,3.302885787093146e-08
1906,3.858138253320931e-08
1907,3.4971335605149534e-08
1908,2.1118973014822018e-08
1909,3.080550925460557e-08
1910,4.382203488972891e-08
1911,4.362706773619607e-08
1912,4.3759139867205477e-08
1913,2.651494912520036e-08
1914,1.6741859454327823e-08
1915,2.238344798399794e-08
1916,3.625862632361532e-08
1917,1.4256351654751143e-08
1918,2.5270027848023346e-08
1919,3.222746869369075e-08
1920,3.104614965110386e-08
1921,2.9533715140139805e-08
1922,2.139601273931646e-08
1923,1.8047111804975202e-08
1924,2.5783249313349188e-08
1925,3.299453510408057e-08
1926,1.89484357093761e-08
1927,4.0137210000068535e-08
1928,2.9707707849269127e-08
1929,2.116677166874581e-08
1930,3.991369368350206e-08
1931,4.44808918587114e-08
