year,trois_DET airs_NOUN,trois_DET fers_NOUN
1800,4.087413785214267e-08,6.288328968651058e-09
1801,8.096020565062645e-08,1.6668277424969347e-08
1802,1.7902721083373763e-08,2.2378401354217203e-09
1803,2.145373123596528e-08,0.0
1804,1.1123329102247226e-07,9.887403784603066e-09
1805,0.0,5.685755422035754e-09
1806,1.613734639249742e-07,2.881669125542885e-09
1807,2.2775641372874134e-08,2.8469551160981155e-09
1808,1.5862518409903714e-08,0.0
1809,8.132509776714869e-08,2.25903047379461e-08
1810,2.106114083133548e-08,1.1700633351097167e-08
1811,8.524060923775778e-08,0.0
1812,7.20146218213813e-08,2.6672082320544632e-09
1813,1.552900432688631e-07,2.8757416004054903e-08
1814,4.090680105761635e-08,1.8880061958270744e-08
1815,1.0788894222457657e-08,7.821948599939788e-08
1816,1.3905623319487859e-08,5.5622493277951435e-08
1817,1.5568734412774177e-08,9.341240669868967e-09
1818,1.1921177378582115e-08,4.768470773797162e-08
1819,2.5877625819958894e-08,3.1053151161586356e-08
1820,3.441279616822612e-08,2.0173018810965004e-08
1821,4.5362847478358503e-08,9.861488514673056e-09
1822,3.308453244699194e-08,1.5038423839541792e-08
1823,7.906149623870817e-09,7.906149512848515e-09
1824,3.452656205382709e-08,4.463189640091514e-08
1825,1.8491430608946757e-08,1.937197424695114e-08
1826,2.2019961409824873e-08,2.7304752237000685e-08
1827,1.1982455361270183e-08,9.217272944894717e-09
1828,1.7427372434042354e-08,1.9261833017480967e-08
1829,4.972442174677738e-08,2.4004892296147773e-08
1830,5.0096812920230605e-08,2.1917355041978226e-08
1831,4.989186042081428e-08,7.795603274018958e-09
1832,3.5177921020590475e-08,8.117981842303834e-09
1833,4.2859427118457916e-08,1.50587169400751e-08
1834,2.0535967593104942e-08,4.293884248163238e-08
1835,3.327758690829796e-08,2.3445572594482655e-08
1836,2.419469957715137e-08,3.8308275662757296e-08
1837,1.87863058442872e-08,5.914207434898344e-08
1838,1.704283669745621e-08,2.019891809368346e-08
1839,4.824117816326634e-08,3.146163907175037e-08
1840,2.9300568360479673e-08,3.184844277193122e-08
