year,meilleurs_ADJ fils_NOUN
1800,3.144164484325529e-09
1801,7.143547975374531e-09
1802,0.0
1803,0.0
1804,0.0
1805,1.1371510844071508e-08
1806,9.221341201737232e-08
1807,1.7081731584767113e-08
1808,0.0
1809,2.259030518203531e-09
1810,0.0
1811,2.5070767684098882e-09
1812,5.3344164641089264e-09
1813,1.7254450312975678e-08
1814,5.349351184236184e-08
1815,2.697223555614414e-09
1816,0.0
1817,2.490997452753163e-08
1818,1.1921177378582115e-09
1819,7.24573512300708e-09
1820,2.966620371580575e-08
1821,0.0
1822,1.0025615893027862e-08
1823,2.8659792761231984e-08
1824,1.7684335773537896e-08
1825,7.044354433105582e-09
1826,1.4092774947016551e-08
1827,7.373818444733615e-09
1828,4.586150570418113e-09
1829,5.143905745796928e-09
1830,2.0873671680021744e-09
1831,7.795603274018958e-09
1832,1.352996914505411e-08
1833,8.108539617524002e-09
1834,9.334530925997342e-10
1835,1.2100940693926532e-08
1836,8.064899859050456e-09
1837,6.957890930081589e-10
1838,7.574594285131298e-09
1839,1.677954131196202e-08
1840,1.9109065441114126e-09
1841,7.704658244733764e-09
1842,1.609983613093391e-08
1843,1.7130041385371442e-08
1844,1.3721403568922597e-08
1845,2.2320911341466854e-08
1846,7.610851504580296e-09
1847,9.168480197274675e-09
1848,1.126331028444838e-08
1849,2.4300303991253713e-08
1850,1.968808760466345e-08
1851,1.870337307252612e-08
1852,1.4323200403509873e-08
1853,4.180352064508952e-09
1854,1.2469595134234623e-08
1855,1.2205955357558196e-08
1856,1.8120163147727908e-08
1857,4.881508974818871e-09
1858,9.787352261980686e-09
1859,1.5276519604867644e-08
1860,9.15436793036406e-09
1861,2.0278644541349422e-08
1862,1.400575744270327e-08
1863,7.991393324857654e-09
1864,9.109982990196386e-09
1865,1.553258677233771e-08
1866,2.8707116683790446e-08
1867,2.620518202434141e-08
1868,1.432563490055827e-08
1869,9.278686263769487e-09
1870,1.1468097582678638e-08
1871,9.559059321873065e-09
1872,1.7537283625301825e-08
1873,5.387403856360606e-09
1874,1.3144139998644278e-08
1875,1.4303817685856757e-08
1876,1.5719638923883394e-08
1877,1.6699003069220453e-08
1878,1.2078177569208037e-08
1879,7.331190321480108e-09
1880,2.4387816210946767e-08
1881,1.045876096839038e-08
1882,2.5290463057103807e-08
1883,1.8326083761621703e-08
1884,3.300848305798354e-08
1885,6.445635580831777e-09
1886,1.0325542199041138e-08
1887,1.0446279397058333e-08
1888,1.8387781963724592e-08
1889,1.8795409673089125e-08
1890,1.0487018364813139e-08
1891,1.6572972327821844e-08
1892,1.6924984080901595e-08
1893,1.7243566574620672e-08
1894,7.561847148451761e-09
1895,1.9259566386153892e-08
1896,1.1794058174530164e-08
1897,1.5149455023788505e-08
1898,2.2633418694795182e-08
1899,1.492446166651007e-08
1900,1.038210584169974e-08
1901,1.5089595351014395e-08
1902,1.9641134940684424e-08
1903,2.9161189019077938e-08
1904,1.0211787859759625e-08
1905,2.9416327151920996e-08
1906,1.9033482345776065e-08
1907,2.6228502036929058e-08
1908,2.701263923654551e-08
1909,1.4852655993990993e-08
1910,2.8858414324872683e-08
1911,2.0217422402879492e-08
1912,2.5526164293410147e-08
1913,3.553003224965323e-08
1914,3.214437072074361e-08
1915,7.893110165468897e-08
1916,1.087758718654186e-07
1917,1.2063067345025047e-07
1918,1.2175559049865115e-07
1919,8.102906434714896e-08
1920,5.7548959375708364e-08
1921,6.133925722906497e-08
1922,5.4596721810185045e-08
1923,5.520293200333981e-08
1924,5.543398629015428e-08
1925,3.299453510408057e-08
1926,4.0126099776216506e-08
1927,5.351628118432927e-08
1928,3.5420729460611255e-08
1929,4.0105462062456354e-08
1930,6.19712636762415e-08
1931,4.1059283972799676e-08
1932,2.6302888755935783e-08
1933,4.3588517684156614e-08
1934,3.714289675826876e-08
1935,3.949533677882755e-08
1936,5.698615979099486e-08
1937,6.925115059175369e-08
1938,5.4453899167583586e-08
1939,3.211750509990452e-08
1940,2.7893612752905028e-08
1941,4.132103725851266e-08
1942,4.247896612241675e-08
1943,2.9032351633873077e-08
1944,6.105053529381621e-08
1945,8.931866801731303e-08
1946,9.048717686255259e-08
1947,6.675687558299614e-08
1948,7.501602539150554e-08
1949,9.522498345404529e-08
1950,6.806631347444636e-08
1951,9.701875569589902e-08
1952,7.27591498161928e-08
1953,7.864893802889128e-08
1954,8.013479657620337e-08
1955,7.696198167650437e-08
1956,6.279221764771137e-08
1957,8.1282344410738e-08
1958,5.542403158642628e-08
1959,6.66564332618691e-08
1960,4.9137916846575536e-08
1961,6.253343087792018e-08
1962,5.644341172228451e-08
1963,4.073613624200334e-08
1964,6.144807684904663e-08
1965,6.730613222316606e-08
1966,4.542041409649755e-08
1967,5.275459002973548e-08
1968,4.9405574742422687e-08
1969,6.63096670905361e-08
1970,4.690699384468644e-08
1971,5.806389324902739e-08
1972,5.284051241005727e-08
1973,4.686223320504723e-08
1974,5.231781585735007e-08
1975,4.6262989883416594e-08
1976,3.428116102099921e-08
1977,8.932708084330443e-08
1978,4.81187889533885e-08
1979,4.096381189810927e-08
1980,3.979605622816962e-08
1981,3.985096341807548e-08
1982,5.152226734139731e-08
1983,6.189009837953563e-08
1984,3.827345551599137e-08
1985,4.331201708396293e-08
1986,4.91547815784088e-08
1987,3.238733015109574e-08
1988,3.47800117594943e-08
1989,3.677041959804228e-08
1990,3.868542108875772e-08
1991,1.75843961613964e-08
1992,3.636563050690711e-08
1993,3.600484888011124e-08
1994,2.637463225596548e-08
1995,3.633041956163652e-08
1996,4.056949975961288e-08
1997,2.6851409984374186e-08
1998,3.146965354972053e-08
1999,1.6452723627935484e-08
2000,2.87172046142814e-08
2001,2.541102794850758e-08
2002,2.7601695151702188e-08
2003,2.7918384049030465e-08
2004,2.8190664025373735e-08
2005,3.0175122844866564e-08
2006,2.6766285188273287e-08
2007,2.6363563776499177e-08
2008,2.682186917013496e-08
2009,3.4330987830344384e-08
2010,2.8342757474320024e-08
2011,1.911985947344874e-08
2012,2.0425515501187874e-08
2013,2.1755175438897822e-08
2014,2.6418431886554572e-08
2015,2.017083566840938e-08
2016,2.5477483234226384e-08
2017,1.33327402451755e-08
2018,2.3749493038849323e-08
2019,1.3520234709574197e-08
