year,mêmes_ADJ oeufs_NOUN,mêmes_ADJ feux_NOUN
1800,9.432493897065797e-09,1.0061326349841693e-07
1801,1.1905912700171939e-08,1.5953922627431893e-07
1802,5.370816325012129e-08,1.6112448975036386e-07
1803,2.5354410126965377e-08,1.3457341196954076e-07
1804,2.4718509461507665e-09,2.3235398316501232e-07
1805,0.0,1.4214388954769674e-07
1806,2.881669125542885e-09,1.3255677799861587e-07
1807,0.0,1.1103124819555887e-07
1808,0.0,1.2236799307174806e-07
1809,0.0,7.228897658251299e-08
1810,0.0,1.2168659679900884e-07
1811,2.5070767684098882e-09,9.27618373225414e-08
1812,0.0,9.601949813031752e-08
1813,0.0,1.2365688917270745e-07
1814,0.0,1.1328037885505182e-07
1815,0.0,7.012781111370714e-08
1816,0.0,1.321034233114915e-07
1817,1.556873407970727e-09,1.1520863552050287e-07
1818,4.768470951432846e-09,6.199012148044858e-08
1819,1.7596784473994376e-08,9.00541365922436e-08
1820,0.0,9.374520004712394e-08
1821,1.97229765852569e-09,9.368413600441272e-08
1822,0.0,1.1429202118051762e-07
1823,0.0,9.190898708766326e-08
1824,0.0,8.757957203897604e-08
1825,1.7610886082763955e-09,9.15766094067294e-08
1826,0.0,5.813269510213104e-08
1827,0.0,5.346018383534101e-08
1828,0.0,5.503380862137419e-08
1829,0.0,9.344761764396026e-08
1830,2.0873671680021744e-09,4.383471008395645e-08
1831,0.0,4.989185953263586e-08
1832,0.0,5.817886972181441e-08
1833,1.0425265983826648e-08,5.79181431703546e-08
1834,9.334530925997342e-10,5.600718466780563e-08
1835,7.563087933704082e-10,5.8235777089521434e-08
1836,6.720750067579218e-10,5.712637474175608e-08
1837,0.0,5.218418053232199e-08
1838,6.312161904276081e-10,3.219202682203104e-08
1839,0.0,2.9364196407755117e-08
1840,0.0,8.72647376581881e-08
1841,0.0,4.8796167106957e-08
1842,0.0,5.433694738599115e-08
1843,5.906911071384968e-10,2.7762482091020502e-08
1844,5.488561272137815e-10,5.4885614275690386e-08
1845,0.0,4.408380149811819e-08
1846,0.0,2.2832555401919308e-08
1847,0.0,1.77976389181822e-08
1848,0.0,2.735375304041554e-08
1849,0.0,1.5920887719289567e-08
1850,2.0366988096043315e-09,3.6660580349234806e-08
1851,1.9348316282474798e-09,1.483370937194195e-08
1852,6.510545436100301e-10,3.5156944022674e-08
1853,0.0,2.20961471342207e-08
1854,0.0,7.273930435758302e-08
1855,0.0,3.502578493908004e-08
1856,5.177189232874468e-10,4.141751475117417e-08
1857,0.0,5.4672902649599564e-08
1858,0.0,2.8872689128434104e-08
1859,5.092173349652285e-10,4.939408171367177e-08
1860,9.154367819341758e-10,4.577183787546346e-08
1861,0.0,5.4705179053371467e-08
1862,0.0,2.5300723294208183e-08
1863,0.0,6.89257646513397e-08
1864,1.4384183844029508e-09,3.5960461275408306e-08
1865,9.41368871743009e-10,3.012380389577629e-08
1866,0.0,4.6223323835192787e-08
1867,9.7056229719783e-10,3.736664666575962e-08
1868,0.0,3.754304245262574e-08
1869,4.883519144627257e-10,3.271957993433716e-08
1870,0.0,3.55511033944822e-08
1871,1.0621177271019633e-09,4.354682658913589e-08
1872,0.0,2.4189358072135292e-08
1873,5.986004469882289e-10,5.267683889087493e-08
1874,0.0,3.4652732239237594e-08
1875,0.0,4.005068987567029e-08
1876,6.04601479992084e-10,1.209202959984168e-08
1877,0.0,2.9068635498674666e-08
1878,0.0,3.623453181944569e-08
1879,0.0,2.504823370941267e-08
1880,0.0,6.674559926977963e-08
1881,0.0,1.9523021421719022e-08
1882,0.0,2.9283693692150337e-08
1883,1.2638677882037541e-09,3.854796659652493e-08
1884,0.0,7.790002598540013e-08
1885,0.0,4.383032248256313e-08
1886,0.0,4.1947515683204983e-08
1887,0.0,2.2198344495905076e-08
1888,0.0,6.02358412038484e-08
