year,fibres_NOUN in_ADJ,fibres_NOUN fines_ADJ
1800,0.0,9.432493897065797e-09
1801,0.0,2.3811825844433088e-09
1802,0.0,3.3567602031325805e-08
1803,0.0,2.7304748684287006e-08
1804,0.0,2.2246657849223084e-08
1805,2.842877711017877e-09,0.0
1806,0.0,2.305335300434308e-08
1807,0.0,1.7081731584767113e-08
1808,0.0,6.798221985349073e-09
1809,0.0,3.162642769893864e-08
1810,0.0,0.0
1811,0.0,1.2535384286138651e-08
1812,0.0,0.0
1813,0.0,2.8757416448144113e-09
1814,0.0,0.0
1815,0.0,0.0
1816,0.0,7.416332437060191e-08
1817,1.556873407970727e-09,0.0
1818,1.1921177378582115e-09,1.4305412854298538e-08
1819,0.0,1.7596784473994376e-08
1820,0.0,1.1866481131050932e-09
1821,0.0,4.930744257336528e-09
1822,0.0,1.0025615893027862e-08
1823,0.0,4.941343334508019e-09
1824,0.0,1.0947446504872005e-08
1825,0.0,8.805443041381977e-10
1826,0.0,8.80798456392995e-09
1827,1.8434546111834038e-09,0.0
1828,5.503380862137419e-09,2.659967357487858e-08
1829,0.0,1.7146351893870815e-08
1830,0.0,8.349468672008697e-09
1831,0.0,1.5591206103948707e-09
1832,0.0,6.764984572527055e-09
1833,3.4750886612755494e-09,6.950177322551099e-09
1834,0.0,9.334530925997342e-10
1835,0.0,0.0
1836,0.0,8.064899859050456e-09
1837,6.957890930081589e-10,6.262101948095733e-09
1838,6.312161904276081e-10,2.5248647617104325e-09
1839,0.0,3.4957377437194737e-08
1840,6.369688665408546e-10,8.917564464638872e-09
1841,0.0,1.7977535904378783e-08
1842,2.0124795163667386e-09,1.341653010911159e-09
1843,1.7720733769266417e-09,8.269675610961258e-09
1844,5.488561272137815e-10,1.811225303072206e-08
1845,0.0,7.19849424513086e-08
1846,0.0,4.0981511517657054e-09
1847,0.0,1.3483059113639229e-08
1848,0.0,5.63165514222419e-09
1849,0.0,3.351765998083067e-08
1850,0.0,3.394497838371535e-08
1851,0.0,4.385618268543112e-08
1852,0.0,1.6276363368206148e-08
1853,0.0,6.330247970254277e-08
1854,0.0,2.3900057044556888e-08
1855,6.368324534378189e-09,3.980202833986368e-08
1856,0.0,4.038207634948776e-08
1857,0.0,1.9037885934380938e-08
1858,0.0,2.397901160966498e-08
1859,5.092173349652285e-10,2.34239969643113e-08
1860,4.577183909670879e-10,2.6089947979812678e-08
1861,4.715963730639317e-10,2.4051415081771665e-08
1862,0.0,3.0722308280717314e-08
1863,0.0,1.1987090431375691e-08
1864,9.589455896019672e-10,2.445311331200628e-08
