year,dix_DET âmes_NOUN,dix_DET ames_NOUN,dix_DET femmes_NOUN
1800,6.288328968651058e-09,3.144164484325529e-09,7.231578535993322e-08
1801,2.3811825844433088e-09,9.524730337773235e-09,1.166779455274991e-07
1802,0.0,2.2378401354217203e-09,1.6112448975036386e-07
1803,0.0,1.5602713787643552e-08,1.3457340841682708e-07
1804,2.4718509461507665e-09,7.4155526164076946e-09,1.1370514130248921e-07
1805,5.685755422035754e-09,5.685755422035754e-09,1.2792949899420591e-07
1806,5.4751712497136396e-08,2.881669125542885e-09,1.0085842117035781e-07
1807,2.8469551160981155e-09,5.693910232196231e-09,8.256169792275614e-08
1808,2.2660739951163578e-09,0.0,6.571614763473121e-08
1809,0.0,0.0,1.0391540428145163e-07
1810,0.0,9.360507036149102e-09,6.31834211617388e-08
1811,0.0,0.0,1.0780430415024966e-07
1812,8.535066342574282e-08,0.0,9.601949946258515e-08
1813,2.8757416448144113e-09,2.8757416448144113e-09,7.189353823378042e-08
1814,0.0,0.0,3.1466771410748606e-08
1815,0.0,8.091670444798638e-09,8.361392977995763e-08
1816,6.952811659743929e-09,0.0,1.2051540387858495e-07
1817,1.556873407970727e-09,0.0,1.6191484064620454e-07
1818,2.384235475716423e-09,3.5763532135746345e-09,1.2398024740178926e-07
1819,0.0,4.140420006848444e-09,1.5526575336544113e-07
1820,0.0,4.746592452420373e-09,8.187871980425143e-08
1821,1.676452932031225e-08,3.94459531705138e-09,1.1340711658647251e-07
1822,4.010246357211145e-09,2.0051231786055723e-09,2.0853281057497952e-07
1823,9.882686891060644e-10,0.0,1.0870955780006852e-07
1824,0.0,0.0,1.2294824891512235e-07
1825,4.4027217427355936e-09,8.805443041381977e-10,1.1182912640350651e-07
1826,6.1655889282974385e-09,0.0,1.7087489823097712e-07
1827,0.0,9.217273055917019e-10,1.2904182256079366e-07
1828,5.503380862137419e-09,1.8344602503717056e-09,1.1006761485576888e-07
1829,6.858540846366168e-09,4.286587973467704e-09,1.2688301165297844e-07
1830,4.174734336004349e-09,0.0,1.0019362695068423e-07
1831,0.0,0.0,8.575163690238696e-08
1832,6.764984572527055e-09,1.6235963684607668e-08,1.6371262312464552e-07
1833,6.950177322551099e-09,0.0,1.0888610768589047e-07
1834,1.5868701908061666e-08,0.0,1.7642262784001161e-07
1835,1.1344631900556124e-08,6.050470346963266e-09,1.7924518402878675e-07
1836,7.392825018825988e-09,6.720750067579218e-10,8.400937612229598e-08
