year,forces_NOUN in_ADJ
1800,1.2576657937302116e-08
1801,4.7623651688866175e-09
1802,4.475680270843441e-09
1803,7.801356893821776e-09
1804,1.2359254952798437e-08
1805,2.842877711017877e-09
1806,5.76333825108577e-09
1807,0.0
1808,2.039466551195801e-08
1809,4.518061036407062e-09
1810,0.0
1811,4.011322829455821e-08
1812,2.6672082320544632e-09
1813,0.0
1814,0.0
1815,5.394447111228828e-09
1816,6.952811659743929e-09
1817,1.556873407970727e-09
1818,0.0
1819,2.070210003424222e-09
1820,8.306536791735653e-09
1821,2.070912508145284e-08
1822,7.017931125119503e-09
1823,6.917880934764753e-09
1824,5.894778887238772e-09
1825,7.044354433105582e-09
1826,3.5231937367541377e-09
1827,6.452091305675367e-09
1828,3.668920500743411e-09
1829,8.57317605795771e-10
1830,2.0873671680021744e-09
1831,4.677361609140007e-09
1832,1.3529969367098715e-09
1833,4.6334514003376626e-09
1834,1.8669061851994684e-09
1835,7.563087933704082e-10
1836,7.392825018825988e-09
1837,1.1828414581138702e-08
1838,1.8936485712828244e-09
1839,2.0974426639952526e-09
1840,6.369688665408546e-10
1841,7.0626033910059505e-09
1842,3.3541325272778977e-09
1843,1.1813822142769936e-09
1844,3.2931368743049916e-09
1845,4.464182357111213e-09
1846,2.3418005312692003e-09
1847,1.6179670936367074e-09
1848,9.65426583121598e-09
1849,5.02764896381791e-09
1850,1.425689166723032e-08
1851,4.514607132577453e-09
1852,3.906327261660181e-09
1853,4.777545470346922e-09
1854,1.0910895298366086e-08
1855,2.653468555990912e-09
1856,4.659470143053568e-09
1857,5.857810903009408e-09
1858,1.468102750479261e-09
1859,2.5460866748261424e-09
1860,3.204028820036342e-09
1861,4.715963730639317e-10
1862,8.132375661773494e-09
1863,5.9935452156878455e-09
1864,2.8768367688059016e-09
1865,2.3534221238463715e-09
1866,6.811858188626729e-09
1867,3.396968040192405e-09
1868,4.939874287401835e-09
1869,4.395167230164532e-09
1870,1.0321287824410774e-08
1871,1.0621177271019633e-09
1872,4.837871325769072e-09
1873,1.7958012854535355e-09
1874,2.9873046258899194e-09
1875,9.154443425529735e-09
1876,4.836811839936672e-09
1877,4.9478527941460015e-09
1878,3.6234530931267273e-09
1879,4.887460214320072e-09
1880,7.059631101924424e-09
1881,2.091752326904839e-09
1882,3.9932310791357395e-09
1883,1.8958017378167824e-09
1884,1.3203393933736152e-09
1885,2.5782542767416317e-09
1886,5.162771099520569e-09
1887,7.834709769838355e-09
1888,4.4384300679212174e-09
1889,3.759081934617825e-09
1890,2.6217545912032847e-09
1891,1.9122659011827636e-09
1892,1.2537024751679837e-09
1893,5.542574843531156e-09
1894,1.2603078580752936e-09
1895,8.426059849853118e-09
1896,2.948514543632541e-09
1897,2.330685422435863e-09
1898,0.0
1899,7.738609753005221e-09
1900,5.19105292084987e-09
1901,3.353243460679778e-09
1902,2.9461704187383475e-09
1903,2.1600881083827517e-09
1904,1.6123875568041512e-09
1905,3.0964554253998244e-09
1906,5.144184522798412e-10
1907,1.5428529565042481e-09
1908,2.4556945366072114e-09
1909,1.1001967115120692e-09
1910,6.412980813053082e-09
1911,2.6601870706244313e-09
1912,4.688478938419394e-09
1913,3.71209285532359e-09
1914,4.68772043404897e-09
1915,5.890381071793627e-09
1916,4.394984820521586e-09
1917,8.773139548168274e-09
1918,1.033773866510046e-08
1919,6.4454939163738345e-09
1920,1.0601124422748853e-08
1921,4.543648568500203e-09
1922,5.1645547283207804e-09
1923,6.369568872344189e-09
1924,2.578324886925998e-09
1925,1.0998177923937646e-09
1926,1.2260752413340015e-08
1927,1.1149224876660924e-09
1928,1.1426041224282812e-09
1929,8.912325100141061e-09
1930,9.453243077217621e-09
1931,1.1405356659111021e-09
1932,2.1919073223131136e-09
1933,1.0323595756034365e-08
1934,4.7926320689839486e-09
1935,4.787313656606784e-09
1936,6.0623572828433225e-09
1937,8.813782592653752e-09
1938,7.779128452511941e-09
1939,3.058810094103137e-09
1940,2.5357829169792012e-09
1941,1.1806010835613279e-08
1942,9.102635312174812e-09
1943,1.7419411246777372e-08
1944,9.639558484764166e-09
1945,8.714016175304096e-09
1946,2.0881655515836428e-08
1947,1.1920870957027319e-08
1948,5.435944139264848e-09
1949,2.4542520904446974e-08
1950,7.444753258312176e-09
1951,1.0661401539380222e-08
1952,2.4253048458433568e-08
1953,2.3702419582605216e-08
1954,1.074978994708431e-08
1955,6.663781526583534e-08
1956,1.744228317335228e-08
1957,1.7670075402875796e-08
1958,1.8198935913815717e-08
1959,1.3951345856355601e-08
1960,9.689166913240399e-09
1961,1.1117054610210175e-08
1962,1.3952304422915063e-08
1963,1.4871921916181918e-08
1964,1.5818317766758128e-08
1965,1.4774516721161035e-08
1966,1.8832854387085263e-08
1967,2.5144712090252597e-08
1968,9.431973202467248e-09
1969,6.358460868938209e-09
1970,9.657322275202773e-09
1971,9.249115584530898e-09
1972,1.7955513298417713e-08
1973,1.2129048432285572e-08
1974,1.4063929631991101e-08
1975,1.9990180177842376e-08
1976,1.0855701004786056e-08
1977,1.9981058585472056e-08
1978,1.2475242172627077e-08
1979,1.462993370893173e-08
1980,1.7055451717595815e-08
1981,1.1385988818446435e-08
1982,1.738100641190954e-08
1983,1.705135321827811e-08
1984,1.797692572580445e-08
1985,1.2632671797518924e-08
1986,2.3977941854269602e-08
1987,4.216463533879278e-08
1988,3.7778288053402775e-08
1989,2.5245361356951435e-08
1990,2.5063793707147397e-08
1991,4.278869525364826e-08
1992,1.928480486412809e-08
1993,1.938722604677423e-08
1994,3.0594574873532565e-08
1995,1.0302656505700725e-08
1996,1.868332244470139e-08
1997,1.5343661896594085e-08
