year,soixante - dix fils
1800,0.0
1801,0.0
1802,0.0
1803,0.0
1804,0.0
1805,0.0
1806,3.1599316496766505e-09
1807,0.0
1808,4.7312813222788463e-08
1809,0.0
1810,2.5642903356271063e-09
1811,5.5186069047863384e-09
1812,5.841833683462028e-09
1813,3.1470654970888745e-09
1814,1.0318136567377678e-08
1815,0.0
1816,0.0
1817,3.4122471515019015e-09
1818,1.303322894052883e-09
1819,1.1306090286211656e-08
1820,1.0358981228364428e-08
1821,1.1880353589788228e-08
1822,1.2061239118565936e-08
1823,0.0
1824,2.7562614413056963e-09
1825,2.6909972916655533e-08
1826,1.0571650221891105e-08
1827,9.054589078516528e-09
1828,1.102541880015906e-08
1829,6.5558456441294766e-09
1830,3.424176275856894e-09
1831,8.557241137907567e-09
1832,7.4131363270169e-09
1833,3.8021337189775295e-09
1834,1.4320240993015432e-08
1835,2.2408935151929654e-08
1836,2.937395882085525e-09
1837,3.036395135325165e-09
1838,2.8217197467483857e-08
1839,8.406837004315548e-09
1840,3.4792697611862877e-09
1841,1.1933643406791816e-08
1842,5.134645597593135e-09
1843,2.2589624393276608e-08
1844,4.188781765890326e-09
1845,7.320485551076672e-09
1846,9.609906648222477e-09
1847,2.9452997818424365e-09
1848,3.5236065176746934e-09
1849,9.174211390572395e-10
1850,5.944053249606895e-09
1851,9.17613895978775e-09
1852,3.5667659936677865e-09
1853,1.372778868358182e-08
1854,2.8415918507107563e-09
1855,4.072451709191682e-09
1856,3.4026841344569903e-09
1857,1.230430424215001e-08
1858,3.216592769916815e-09
1859,1.6722780937783455e-09
1860,1.5053946977872101e-09
1861,1.0844072306781527e-08
1862,4.951085097459895e-10
1863,6.579135902740063e-09
1864,3.149723815099037e-09
1865,8.255368832976728e-09
1866,1.121254289415674e-08
1867,7.984997552057393e-09
1868,5.409911629783437e-09
1869,6.964506304996121e-09
1870,5.654959611689492e-09
1871,4.665970276818143e-09
1872,2.6534046071446937e-09
1873,6.560424425927636e-10
1874,9.83274617283314e-09
1875,1.0059152621977319e-08
1876,1.3281662436526176e-09
1877,1.361512014241839e-09
1878,6.646837746870915e-09
1879,3.3602645110875073e-09
1880,9.187077765204776e-09
1881,0.0
1882,2.9310533999904465e-09
1883,4.1799657068963825e-09
1884,1.5277169751470865e-08
1885,6.391875473354958e-09
1886,2.1334387589888593e-09
1887,2.881049621095144e-09
1888,6.98901936324603e-10
1889,2.0742185746769337e-09
1890,7.228974641115826e-10
1891,1.1243531439220078e-08
1892,2.075156491088137e-09
1893,2.7171767058575824e-09
1894,6.958809639634467e-10
1895,6.64195753952157e-10
1896,0.0
1897,1.2883683009334845e-09
1898,4.994074043196406e-09
1899,1.830123053103705e-09
1900,2.2944017796788785e-09
1901,0.0
1902,5.407152503522639e-10
1903,5.960992255360509e-10
1904,0.0
1905,4.55831683510155e-09
1906,5.675657166470671e-10
1907,5.683689630053834e-10
1908,5.424864446545996e-10
