year,les_DET oies_NOUN,les_DET fois_NOUN
1800,1.2576657759666432e-06,2.455906906106975e-05
1801,1.1977348979286262e-06,2.6847834305954166e-05
1802,1.163676898841004e-06,2.4524490072508343e-05
1803,2.1687771649681054e-06,2.7897653126274236e-05
1804,1.3867083934471225e-06,2.873773883038666e-05
1805,2.2146017630841897e-06,2.9042837923043407e-05
1806,5.79215488016871e-07,2.5246303266612813e-05
1807,5.523092792003581e-07,2.9756374715361744e-05
1808,9.789439445739845e-07,2.58377749560168e-05
1809,1.5790623262290637e-06,2.917086021625437e-05
1810,8.284048975681912e-07,2.866187242034357e-05
1811,6.86939027438882e-07,2.6670282750274055e-05
1812,3.040617375660304e-07,3.091027610935271e-05
1813,4.486156939265129e-07,2.775953362288419e-05
1814,4.6256154684343187e-07,2.2863756385049783e-05
1815,5.772058635500343e-07,2.3080141545506194e-05
1816,7.207747927395758e-07,2.546814903325867e-05
1817,6.896949305001954e-07,2.3001248337095603e-05
1818,1.624856460047397e-06,2.719935764616821e-05
1819,3.560761119292266e-07,2.6226454792777076e-05
1820,6.028172503391716e-07,2.4315606424352154e-05
1821,3.8361188581248484e-07,2.654318268469069e-05
1822,7.128213184159904e-07,2.4947743440861814e-05
1823,6.453394680860924e-07,2.321838474017568e-05
1824,4.7326652907742073e-07,2.4064171157078817e-05
1825,8.04817498867294e-07,2.3697208234807476e-05
1826,4.862007410011415e-07,2.5737810574355535e-05
1827,7.521294603796136e-07,2.7441665224614553e-05
1828,6.741641236374107e-07,2.811126978485845e-05
1829,5.332515518041703e-07,2.655284151842352e-05
1830,5.604580937124126e-07,2.6619149139150977e-05
1831,5.347783620379687e-07,2.584710091468878e-05
1832,4.7354891563600177e-07,2.5126506443484686e-05
1833,5.444305370971847e-07,2.7044297894462943e-05
1834,6.823541847111869e-07,2.739218143688049e-05
1835,6.239547474251594e-07,2.7059215426561423e-05
1836,6.431757593183818e-07,2.5614122932893224e-05
1837,5.656765456052426e-07,2.860249878722243e-05
1838,5.655697066231369e-07,2.5128085326286964e-05
1839,5.949745203182033e-07,2.7742873498937115e-05
1840,4.834593818614508e-07,2.5886414732667617e-05
1841,4.25040309615099e-07,2.4753782781772316e-05
1842,4.320122641843227e-07,2.6046851417049766e-05
1843,4.690087438419255e-07,2.6745901777758263e-05
1844,4.7476054065853646e-07,2.4086002667900175e-05
1845,6.679532877917893e-07,2.629738264658954e-05
1846,3.9225158054989606e-07,2.477449379512109e-05
