year,maintes_DET fois_NOUN
1800,1.9808235984797307e-07
1801,1.9049460076026037e-07
1802,1.4098392853156838e-07
1803,1.6187816131996158e-07
1804,1.656140113936999e-07
1805,1.02343598484822e-07
1806,1.1526676413353698e-07
1807,9.679647661187119e-08
1808,2.945896184769481e-07
1809,2.0105371079104373e-07
1810,6.31834211617388e-08
1811,1.4541045345595194e-07
1812,2.1070944455914287e-07
1813,2.2143210287595139e-07
1814,7.552024925416845e-07
1815,2.5893346089489455e-07
1816,1.9467873357825738e-07
1817,2.2886039463543284e-07
1818,2.372314344967208e-07
1819,3.115665991870742e-07
1820,3.2988817721957275e-07
1821,2.0709124803897083e-07
1822,2.8673261454059684e-07
1823,4.842516450054291e-07
1824,6.501098788191939e-07
1825,7.185241468476988e-07
1826,3.9812089269730677e-07
1827,5.10636901651651e-07
1828,5.338279187583339e-07
1829,6.078381913354747e-07
1830,7.671074575554826e-07
1831,6.267664707237941e-07
1832,7.671492534555568e-07
1833,9.151066295842725e-07
1834,1.0174639246685047e-06
1835,8.568978486778178e-07
1836,1.1895727780597554e-06
1837,1.0986509941801614e-06
1838,9.626046804100952e-07
1839,1.0864752901795782e-06
1840,1.4733090303309382e-06
1841,1.3951852366744788e-06
1842,1.5147262804049433e-06
1843,1.2729393494836927e-06
1844,1.3836663530497617e-06
1845,1.5323305575520862e-06
1846,1.447818172906068e-06
1847,1.3596316783548446e-06
1848,1.3355068340104026e-06
1849,1.60382001013204e-06
1850,1.3727349816861079e-06
1851,1.4924001607852233e-06
1852,1.5358376845853172e-06
1853,1.6160047664470767e-06
1854,1.4979100289025382e-06
1855,1.5305206062521393e-06
1856,1.5541922397943608e-06
1857,1.578191895390546e-06
1858,1.5596144962159997e-06
1859,1.6513918463800792e-06
1860,1.7997487109511212e-06
1861,1.9080789783743057e-06
1862,1.818941317566214e-06
1863,1.8919623343549574e-06
1864,1.956248969037233e-06
1865,2.0493600736415374e-06
1866,2.0917269552001017e-06
1867,1.963932863446871e-06
1868,2.3815132514926063e-06
1869,2.3689950321426068e-06
1870,2.172057680382977e-06
1871,2.4779206420078026e-06
1872,2.3366919137401965e-06
1873,2.4039793871111215e-06
1874,2.575056591069824e-06
1875,2.32808931599493e-06
1876,2.324088093530463e-06
1877,2.4312512287849586e-06
1878,2.5364171811759206e-06
1879,2.363697905849449e-06
1880,2.534407510523806e-06
1881,2.4320106479791548e-06
1882,2.4851208415554993e-06
1883,2.4196748960036984e-06
1884,2.5997482850925735e-06
1885,2.7503526425221025e-06
1886,2.9479422849476578e-06
1887,2.8368177993343124e-06
1888,2.9166827388849015e-06
1889,2.923939284471544e-06
1890,3.1513490341694705e-06
1891,2.9270417769566848e-06
1892,3.163718201193433e-06
1893,3.1334022914109028e-06
1894,3.2377308585296305e-06
1895,3.191671176239197e-06
1896,3.3807666426355354e-06
1897,3.2775264564577355e-06
1898,3.4629132770191973e-06
1899,3.280065065780491e-06
1900,3.5164194258641146e-06
1901,3.5924414660826187e-06
1902,3.1808819436207614e-06
1903,3.7277720963402317e-06
1904,3.7702995712152187e-06
1905,3.8741818464416156e-06
1906,4.03869920262423e-06
1907,3.7121043092724904e-06
1908,3.778822755151623e-06
1909,4.0157181544486775e-06
1910,3.999027921253173e-06
1911,3.7583122853845907e-06
1912,3.9971887986212096e-06
1913,4.202619248161454e-06
1914,4.00264377020676e-06
1915,4.457840319105344e-06
1916,4.1895191813523525e-06
1917,4.393149531267682e-06
1918,4.43374140246533e-06
1919,4.231926929776364e-06
1920,4.023883796833161e-06
1921,4.214991339068774e-06
1922,4.091065335387611e-06
1923,3.9332087062859955e-06
1924,4.246501170257488e-06
1925,3.6821898667938058e-06
1926,4.015953734892719e-06
1927,3.896654035884239e-06
1928,3.873428124023803e-06
1929,3.916966871742034e-06
1930,4.035484383990706e-06
1931,3.747800292330794e-06
1932,3.912554735308049e-06
1933,3.8174363261589406e-06
1934,3.916778439361224e-06
1935,3.850196815591289e-06
1936,4.03389269720833e-06
1937,3.67534745038256e-06
1938,3.925866742804374e-06
1939,3.797512690084659e-06
1940,3.1392993022905102e-06
1941,3.6893782322522384e-06
1942,3.7502858276639017e-06
1943,3.797431748608915e-06
1944,3.508799336415791e-06
1945,3.7230633758156273e-06
1946,3.299301766901408e-06
1947,3.342612298951053e-06
1948,3.309402639928294e-06
1949,3.2170337149750594e-06
1950,3.3884261938510463e-06
1951,3.266653440192613e-06
1952,3.0611565513538608e-06
1953,3.1330289402831113e-06
1954,3.270867903637509e-06
1955,3.2971640884227327e-06
1956,3.026236239378477e-06
1957,3.236274395135297e-06
1958,2.944091463064069e-06
1959,3.171606078211653e-06
1960,2.8998290915183134e-06
1961,2.931428365826605e-06
1962,2.8627590964447336e-06
1963,2.748719182932291e-06
1964,2.8600736214912104e-06
1965,2.839443411062348e-06
1966,2.7324254716631913e-06
1967,2.7235173547524028e-06
1968,2.84665936689521e-06
1969,2.6042438800999435e-06
1970,2.6617419948138377e-06
1971,2.6514130269106317e-06
1972,2.5691775782377135e-06
1973,2.655159040187982e-06
1974,2.639518140057362e-06
1975,2.3776891975302306e-06
1976,2.5196653599124375e-06
1977,2.5340684270958036e-06
1978,2.4552464275018338e-06
1979,2.39345702723881e-06
1980,2.5423994252093962e-06
1981,2.52768955633087e-06
1982,2.5109345855867105e-06
1983,2.4509742431177983e-06
1984,2.4332639387836252e-06
1985,2.3322319240293155e-06
1986,2.365423940275946e-06
1987,2.3642750281993585e-06
1988,2.3374565909506373e-06
1989,2.2989743371226723e-06
1990,2.299330617461237e-06
1991,2.3334492844639954e-06
1992,2.4585369899909892e-06
1993,2.3591484925589157e-06
1994,2.421718701128839e-06
1995,2.3338227386204835e-06
1996,2.4715366322425325e-06
1997,2.4314909730094314e-06
1998,2.2848875929071255e-06
1999,2.261792513280625e-06
2000,2.2443599689836446e-06
2001,2.2891831878979474e-06
2002,2.331686014045431e-06
2003,2.291391021813638e-06
2004,2.3072295860515624e-06
2005,2.314476969189627e-06
2006,2.4390262076678937e-06
2007,2.3543462148722938e-06
2008,2.3603246095404984e-06
2009,2.2777656525363454e-06
2010,2.338277546698464e-06
2011,2.1987838483283895e-06
2012,2.3080834452571253e-06
2013,2.303817385751472e-06
2014,2.4402402303280724e-06
2015,2.2296531838605915e-06
2016,2.3961260655624983e-06
2017,2.222794073247769e-06
2018,2.2525878549117806e-06
2019,2.0844120047769366e-06
