year,vingt - deux fois
1800,5.1671527501184755e-08
1801,8.629443470908882e-08
1802,3.4489058720055255e-08
1803,2.3571413265699448e-08
1804,3.262086778477169e-08
1805,6.244470274197056e-09
1806,7.26784250559831e-08
1807,4.983917634149293e-08
1808,3.237192336413841e-08
1809,1.4825754846015116e-08
1810,4.8721517487138044e-08
1811,1.6555819826180596e-08
1812,3.213008525904115e-08
1813,3.7764785076888074e-08
1814,8.94238496584876e-08
1815,5.9128351104220656e-09
1816,1.2665704041125991e-08
1817,9.55429229065885e-08
1818,4.4312976843485785e-08
1819,2.2612181127534825e-08
1820,1.6833343607913775e-08
1821,5.184154616699743e-08
1822,5.043790807235382e-08
1823,6.909358063467153e-08
1824,5.3287724455231e-08
1825,9.034061942969629e-08
1826,4.805295716892033e-08
1827,7.646097799351992e-08
1828,2.9067013684880294e-08
1829,2.3413734950850085e-08
1830,5.47868204137103e-08
1831,7.188082662423767e-08
1832,5.3374581199250315e-08
1833,9.505334741533034e-08
1834,1.2069917554313747e-07
1835,5.975715877681864e-08
1836,3.6717447637890643e-08
1837,5.920970491679611e-08
1838,3.9228787329648185e-08
1839,1.0776035797022132e-07
1840,5.4276607652781195e-08
1841,7.932362944274018e-08
1842,6.234927152348746e-08
1843,8.32589028831876e-08
1844,4.308461143409659e-08
1845,5.490364118898583e-08
1846,5.125283664142444e-08
1847,6.126223706104383e-08
1848,4.933049280175794e-08
1849,5.871495112330649e-08
1850,3.937935133535575e-08
1851,7.129154511176239e-08
1852,5.635490296640455e-08
1853,5.6872265119523036e-08
1854,4.660210706219914e-08
1855,7.21405732373448e-08
1856,7.712750837995941e-08
1857,4.707733580744389e-08
1858,3.75269137986578e-08
1859,5.23980502320498e-08
1860,4.8674425823236334e-08
1861,5.37039754888724e-08
1862,5.1491285235627515e-08
1863,5.97604840057997e-08
1864,5.879484277215852e-08
1865,5.00481751597448e-08
1866,4.378231110990782e-08
1867,4.5248320645896456e-08
1868,3.029550466049358e-08
1869,3.8036919391970514e-08
1870,5.026630733873105e-08
1871,5.59916424336393e-08
1872,2.9850802718556224e-08
1873,4.0674632106885156e-08
1874,5.04747639240577e-08
1875,7.104276766867201e-08
1876,6.375198169372709e-08
1877,3.744158094676209e-08
1878,4.2539760158888384e-08
1879,8.467866818850922e-08
1880,4.240190026871815e-08
1881,4.5337917420340546e-08
1882,5.715554252105903e-08
1883,7.454272266116391e-08
1884,5.237886369080513e-08
1885,5.468604569180968e-08
1886,5.333596764245385e-08
1887,5.906151834267348e-08
1888,6.849238864958807e-08
1889,3.8718746209198684e-08
1890,6.93981531685317e-08
1891,4.7082288290312135e-08
1892,3.735281683958647e-08
1893,6.725012280384135e-08
1894,6.958809706247848e-08
