year,aux_ADP iles_NOUN,aux_ADP fils_NOUN
1800,4.496155243671751e-07,6.2254457056099e-07
1801,7.000676796042882e-07,6.548252144966682e-07
1802,5.326059522303694e-07,5.572221937200084e-07
1803,3.4521004543819345e-07,7.372282264661578e-07
1804,4.301020488650664e-07,8.008797092173836e-07
1805,1.9900143732876074e-07,8.159059285972603e-07
1806,2.766402280585112e-07,7.83813977278669e-07
1807,3.4448157260058565e-07,6.889631549711339e-07
1808,3.965629673530202e-07,5.257291419979992e-07
1809,4.111435498721505e-07,8.652087166716171e-07
1810,4.610049728626109e-07,8.752074087681194e-07
1811,3.6352613763668273e-07,1.0128590091085243e-06
1812,2.987273219900999e-07,8.855131090612645e-07
1813,3.5946771603789784e-07,9.69124940297661e-07
1814,5.034683385751748e-07,9.943499694742286e-07
1815,4.2616133177908466e-07,9.548171315820753e-07
1816,4.4497993201275676e-07,7.115043825223211e-07
1817,3.580808964898097e-07,7.301736488773969e-07
1818,3.0875849166278613e-07,6.926203877100079e-07
1819,2.69127307106487e-07,9.139977426020351e-07
1820,3.809140345367723e-07,9.516917698348948e-07
1821,2.682324885538989e-07,9.585366882447488e-07
1822,4.3009892181089526e-07,8.040543946208345e-07
1823,4.802986026675171e-07,7.451545700476458e-07
1824,3.326339594877936e-07,9.237960743035956e-07
1825,4.693300967861802e-07,8.902302901514503e-07
1826,4.835583506945795e-07,9.908982602224725e-07
1827,5.134020985009258e-07,1.1014640879380977e-06
1828,4.815458063411882e-07,8.145003669857154e-07
1829,4.415185808070987e-07,1.0733616957470105e-06
1830,5.228854744743217e-07,1.0071546641121643e-06
1831,2.0580392656732727e-07,1.0524064570915925e-06
1832,3.6260318314607076e-07,1.071573548117044e-06
1833,8.386547283301127e-07,7.992703423553849e-07
1834,4.816617957814628e-07,9.763918844551966e-07
1835,4.6815515020171006e-07,1.1442951475260088e-06
1836,4.583551405090702e-07,8.68992983793504e-07
1837,5.621975959213543e-07,1.113958320142494e-06
1838,4.33014290424083e-07,1.1368203998163295e-06
1839,5.383435839334538e-07,1.2179149990743099e-06
1840,4.649872768491825e-07,1.0892167745524262e-06
1841,4.500804391405211e-07,1.0516858961473474e-06
1842,5.004365610794537e-07,1.3040866750912983e-06
1843,4.5187870800766916e-07,1.0980947799943408e-06
1844,5.340370253792415e-07,1.248098873196657e-06
1845,4.374898772141478e-07,1.1110234151567866e-06
1846,4.437712106675207e-07,1.2171508494418504e-06
1847,5.301538710256182e-07,1.201070904954804e-06
1848,4.167424765277872e-07,1.0885184860143227e-06
1849,3.9718425659529544e-07,9.493876929056455e-07
1850,4.2159665003538294e-07,9.552117550271078e-07
1851,3.7342250625016504e-07,1.4672472623544763e-06
1852,3.7956479936873677e-07,1.238305755046909e-06
1853,4.269931452860476e-07,1.1209316470583985e-06
1854,3.507073543795869e-07,1.1685049081666676e-06
