year,mes_DET eaux_NOUN,mes_DET faux_ADJ
1800,4.4018303668735825e-08,1.2576657937302116e-08
1801,8.334139067756041e-08,4.7623651688866175e-09
1802,5.818384352096473e-08,1.3427040812530322e-08
1803,4.095712213825209e-08,5.851017448321727e-09
1804,9.145848345326613e-08,1.4831105898949204e-08
1805,2.2743021688143017e-08,1.7057265822018053e-08
1806,2.939302561344448e-07,3.458002950651462e-08
1807,1.0818429707626365e-07,1.1387820464392462e-08
1808,1.291662137248295e-07,6.798221985349073e-09
1809,2.710836577435316e-07,2.0331274441787173e-08
1810,2.9251584621192706e-07,2.3401266702194334e-08
1811,3.008492077682945e-08,1.7549536934780008e-08
1812,6.934741492159446e-08,5.3344164641089264e-09
1813,7.189353823378042e-08,1.4378708002027452e-08
1814,9.440031245588898e-08,6.293354282149721e-09
1815,2.4275012222574333e-08,2.4275012222574333e-08
1816,2.3176038865813098e-08,1.3905623319487859e-08
1817,2.9580595417577626e-08,4.670620334934483e-09
1818,9.65615354342475e-08,0.0
1819,4.45095160728215e-08,1.1386155129855524e-08
1820,9.967844061264941e-08,3.085285271708926e-08
1821,5.226588806195309e-08,7.100271659510327e-08
1822,9.023054303725075e-08,3.0076847679083585e-09
1823,1.561464593180517e-07,2.569498536164616e-08
1824,5.81056784909606e-08,1.1789557774477544e-08
1825,4.781355640304241e-07,4.4027217427355936e-09
1826,4.4039921487382117e-08,1.7615968683770689e-09
1827,4.147772969531616e-08,1.8434546111834038e-09
1828,2.2013522782415862e-08,1.1923991571904935e-08
1829,4.4580514835246277e-08,9.430493719264632e-09
1830,4.0703659553997795e-08,2.0873671680021744e-09
1831,5.4569221807909685e-08,3.1182412207897414e-09
1832,2.4353944638733083e-08,9.470978667991403e-09
1833,4.40177885252524e-08,4.6334514003376626e-09
1834,8.121042216480134e-08,9.334530925997342e-10
1835,7.865611451052246e-08,8.31939672707449e-09
1836,5.3765998930810355e-08,4.032449929525228e-09
1837,7.375364274864182e-08,8.349469449164815e-09
1838,1.6916594525184792e-07,4.418513332993257e-09
1839,3.495737765923934e-08,0.0
1840,3.1848443160509277e-08,1.1465439264668476e-08
1841,4.558589550285319e-08,1.2841097074556274e-09
1842,5.0982814414624045e-08,1.341653010911159e-09
1843,5.6706348061652534e-08,2.3627644840651385e-09
1844,3.787107349939589e-08,4.390849017710252e-09
1845,5.412821302286375e-08,5.022205151750114e-09
1846,2.3418005756781213e-08,8.781752214304106e-09
1847,2.8584085320915165e-08,5.393223645455691e-10
1848,3.459445302445019e-08,8.84974404868899e-09
1849,3.016589378290746e-08,4.1897072478036534e-09
1850,5.4311967367937086e-08,4.752297222410107e-09
1851,5.095056665460618e-08,3.8696632564949596e-09
1852,4.492276350909208e-08,5.859490670445666e-09
1853,5.195580832229041e-08,1.6124216628554677e-08
1854,6.026970889028149e-08,6.234797567117312e-09
1855,4.192480318465641e-08,8.491099379170919e-09
1856,6.41971462655988e-08,4.141751386299575e-09
1857,6.63885206808601e-08,8.298565390418844e-09
1858,9.004363876741195e-08,1.4191660735463074e-08
1859,6.823512332942983e-08,4.073738679721828e-09
1860,2.8378539518314483e-08,6.408057640072684e-09
1861,5.989273965667508e-08,1.0846716413936974e-08
1862,1.265036155828625e-07,5.421583626485926e-09
1863,6.193329782355761e-08,1.0988165932701577e-08
1864,6.808513419720441e-08,9.109982990196386e-09
1865,1.4120533142758518e-07,7.0602665935837194e-09
1866,7.249762967731499e-08,9.731225603104576e-09
1867,4.416058452250127e-08,1.1161466417775046e-08
1868,4.544684018004119e-08,2.4699371437009177e-09
1869,7.129938239813782e-08,9.767038733343725e-09
1870,6.192772739055386e-08,5.160643912205387e-09
1871,4.0360473185785395e-08,2.1242354542039266e-09
1872,3.567930095815797e-08,4.8378714367913744e-09
1873,3.471882425998274e-08,8.380406590902112e-09
1874,2.7483201492373155e-08,5.377148060148329e-09
1875,5.092159111041994e-08,1.544812339160373e-08
1876,2.7207067265777596e-08,1.3905834483907142e-08
1877,4.143826648483895e-08,1.051418707653795e-08
1878,3.019544392302009e-08,8.4547240319921e-09
