year,vos_DET acteurs_NOUN,vos_DET facteurs_NOUN
1800,4.4018303668735825e-08,1.5720821977538435e-08
1801,3.5717739876872656e-08,0.0
1802,5.370816325012129e-08,0.0
1803,2.7304748684287006e-08,0.0
1804,8.15710812229753e-08,0.0
1805,6.538618890772341e-08,0.0
1806,6.339671809740821e-08,2.881669125542885e-09
1807,3.9857372513552036e-08,0.0
1808,6.798221985349073e-09,0.0
1809,7.90660692473466e-08,4.518061036407062e-09
1810,8.658468919620077e-08,1.6380887757350138e-08
1811,2.5070767684098882e-09,1.0028307073639553e-08
1812,2.6672083208723052e-08,0.0
1813,6.039057609541487e-08,0.0
1814,1.2586708120210233e-08,0.0
1815,2.1577788444915313e-08,0.0
1816,3.476405652236281e-08,9.270415546325239e-09
1817,7.161617343598436e-08,0.0
1818,7.152706626989414e-08,0.0
1819,5.589566853814176e-08,9.315945348475907e-09
1820,5.6959108540866055e-08,0.0
1821,1.0453177790026302e-07,3.94459531705138e-09
1822,6.115625694746996e-08,3.0076847679083585e-09
1823,6.720227396783685e-08,0.0
1824,6.147412445756117e-08,0.0
1825,4.138558362676292e-08,1.8491430608946757e-08
1826,2.9066348328221636e-08,0.0
1827,2.673009252829317e-08,9.217273055917019e-10
1828,6.328887858231269e-08,1.8344602503717056e-09
1829,3.772197487705853e-08,8.57317605795771e-10
1830,5.1140497170365506e-08,1.5655253093882493e-08
1831,4.209625514839388e-08,0.0
1832,1.1500474172976283e-07,0.0
1833,3.127579673023462e-08,1.1583628500844156e-09
1834,8.401078055442213e-09,0.0
1835,4.4622218808854086e-08,0.0
1836,3.5619976301859424e-08,1.3441500135158435e-09
1837,3.757261213266361e-08,2.7831563720326358e-09
1838,1.5149188570262595e-08,6.312161904276081e-10
1839,2.7965900040172187e-08,1.3982950353153e-09
1840,1.592422194107712e-08,6.369688665408546e-10
1841,1.9903700465562224e-08,0.0
1842,1.408735617047796e-08,6.708265054555795e-10
1843,1.890211459576463e-08,0.0
1844,2.7442806693755983e-08,0.0
1845,1.7298706467272496e-08,8.928364714222425e-09
1846,2.1661654026061683e-08,0.0
1847,1.6718994189091063e-08,2.1572894581822766e-09
1848,3.298541073615269e-08,1.6090443422100975e-09
1849,1.508294644736452e-08,5.865590679832167e-09
1850,1.5614691761811628e-08,6.788996032014438e-10
1851,3.418202521032754e-08,0.0
1852,3.385483471340933e-08,0.0
1853,4.837264722112877e-08,0.0
1854,1.714569253241649e-08,5.195664454227256e-10
1855,4.139410947345823e-08,0.0
1856,2.1226475688251867e-08,7.765783571755946e-09
1857,1.610898037185393e-08,9.763018171682347e-10
1858,1.2234189661342043e-08,5.3830437884982985e-09
