year,expériences_NOUN in_ADJ,expériences_NOUN fines_ADJ
1800,3.144164484325529e-09,2.2009151834367913e-08
1801,4.7623651688866175e-09,2.1430643926123594e-08
1802,8.951360541686881e-09,0.0
1803,1.950339223455444e-09,7.801356893821776e-09
1804,7.4155526164076946e-09,4.943701892301533e-09
1805,0.0,4.5486043376286034e-08
1806,2.881669125542885e-09,1.729001475325731e-08
1807,0.0,0.0
1808,0.0,1.3596443970698147e-08
1809,4.518061036407062e-09,5.421673421324158e-08
1810,0.0,0.0
1811,7.521229861140455e-09,0.0
1812,8.00162425207418e-09,2.6672083208723052e-08
1813,1.7254450312975678e-08,0.0
1814,3.1466771410748606e-09,0.0
1815,0.0,0.0
1816,0.0,6.952811659743929e-09
1817,1.556873407970727e-09,0.0
1818,2.384235475716423e-09,0.0
1819,0.0,0.0
1820,3.5599443393152796e-09,0.0
1821,0.0,0.0
1822,0.0,0.0
1823,0.0,0.0
1824,0.0,0.0
1825,1.7610886082763955e-09,0.0
1826,3.5231937367541377e-09,0.0
1827,0.0,0.0
1828,9.172301251858528e-10,0.0
1829,1.0287811491593857e-08,0.0
1830,1.0436835840010872e-09,2.0873671680021744e-09
1831,1.5591206103948707e-09,0.0
1832,0.0,1.3529969367098715e-09
1833,9.266902800675325e-09,1.1583628500844156e-09
1834,3.733812370398937e-09,2.8003592777992026e-09
1835,0.0,0.0
1836,6.720750067579218e-10,2.016224964762614e-09
1837,5.5663127440652715e-09,0.0
1838,3.1560809521380406e-09,6.312161904276081e-10
1839,6.9914751765765e-10,0.0
1840,0.0,0.0
1841,2.5682194149112547e-09,0.0
1842,6.708265054555795e-10,0.0
1843,7.678984559333912e-09,7.678984559333912e-09
1844,1.097712254427563e-09,3.841992946007622e-09
1845,3.9061593959388574e-09,5.022205318283568e-09
1846,9.952652035849496e-09,0.0
1847,5.393223645455691e-10,1.0786447290911383e-09
1848,1.6090443422100975e-09,0.0
1849,2.513824481908955e-09,0.0
1850,2.0366988096043315e-09,2.7155984128057753e-09
1851,1.2898877521649865e-09,3.8696632564949596e-09
1852,4.557382027314816e-09,6.510545436100301e-10
1853,3.5831591027601917e-09,8.957897534855874e-09
1854,3.117398783558656e-09,0.0
1855,4.2455496895854594e-09,3.1841622671890946e-09
1856,1.0354378465748937e-09,0.0
1857,4.881508974818871e-09,4.881509085841174e-10
1858,1.468102750479261e-09,0.0
1859,5.092173349652285e-09,1.018434669930457e-09
1860,1.0985241161165504e-08,0.0
1861,5.187560159214399e-09,0.0
1862,4.066187830886747e-09,0.0
1863,5.9935452156878455e-09,0.0
1864,9.589455896019672e-10,6.233146443435089e-09
1865,1.4120533631256649e-09,1.4120533631256649e-09
1866,9.731225603104576e-09,0.0
1867,1.1161466417775046e-08,9.7056229719783e-10
1868,1.2843672791973404e-08,3.457911734727759e-09
1869,7.813630631403612e-09,4.883519144627257e-10
1870,9.747882501187632e-09,3.4404292748035914e-09
1871,6.37270636261178e-09,1.0621177271019633e-09
1872,1.9956219787786722e-08,0.0
1873,1.7958012854535355e-09,0.0
1874,5.377148060148329e-09,0.0
1875,2.8607636259891933e-09,5.721527140956084e-10
1876,6.04601479992084e-10,3.627608879952504e-09
1877,9.277223766979148e-09,0.0
1878,1.3285995414946683e-08,2.4156354694326865e-09
1879,1.4662380642960215e-08,3.0546627449723474e-09
1880,1.9253538763308597e-09,0.0
1881,1.3945014920579979e-08,6.972507571312292e-10
1882,5.324308105514319e-09,1.3310770263785798e-09
1883,2.0853818227806187e-08,0.0
1884,7.922036360241691e-09,0.0
1885,5.80107206715752e-09,0.0
1886,7.098810428374236e-09,0.0
1887,1.1099172247952538e-08,6.528924623161458e-10
1888,3.804368819970705e-09,6.340614699951175e-10
1889,1.1903759755682586e-08,6.265136742733546e-10
1890,1.0487018364813139e-08,0.0
1891,1.0198752065093686e-08,0.0
1892,8.149066310636499e-09,1.8805537127519756e-09
1893,1.3548516086814288e-08,0.0
1894,6.301539068331863e-09,1.8904617871129403e-09
1895,1.2037229435435393e-08,0.0
1896,1.0614652157237003e-08,5.89702897624278e-10
1897,6.992056267307589e-09,0.0
1898,1.640922908663356e-08,5.6583546736987955e-09
1899,4.9748205555033564e-09,0.0
1900,1.2977632302124675e-08,1.038210628578895e-09
1901,1.397184773432869e-08,0.0
1902,1.2275709337927765e-08,0.0
1903,1.5660639007819555e-08,0.0
1904,1.1824175416563776e-08,0.0
1905,2.06430355587095e-08,5.160759042333041e-10
1906,1.2346042854716188e-08,2.0576738091193647e-09
1907,2.1599941391059474e-08,5.142843373384665e-10
1908,1.080505640516094e-08,0.0
1909,1.4302557360679202e-08,5.500983557560346e-10
1910,1.60324518105881e-08,5.344150677544235e-10
1911,5.852411444351446e-09,1.5961122423746588e-09
1912,8.856016087133156e-09,0.0
