year,quelques_DET eaux_NOUN,quelques_DET faux_ADJ
1800,7.074370231840987e-07,1.2262241000371432e-07
1801,4.5242469548512076e-07,1.714451489664981e-07
1802,2.215461734067503e-07,1.1860552717735118e-07
1803,3.58862413563088e-07,1.6382850098750623e-07
1804,1.9527622896475805e-07,1.6808586167371686e-07
1805,2.4164460610265337e-07,1.194008660831969e-07
1806,1.671368039524168e-07,1.383201144733448e-07
1807,5.209927849136875e-07,6.832692367453319e-08
1808,3.8296650961555656e-07,1.4729480657393879e-07
1809,2.6882463544097845e-07,1.4909601997459276e-07
1810,1.8955026881428694e-07,1.1466620897238045e-07
1811,1.6546706893549867e-07,9.025476366275598e-08
1812,2.827240734859515e-07,9.868670636237198e-08
1813,2.5594101771275746e-07,6.901780125190271e-08
1814,1.2272040805783035e-07,9.44003133440674e-08
1815,1.3755840200246894e-07,7.282503466932155e-08
1816,2.827476599520651e-07,1.2283300421245258e-07
1817,3.0826092256575066e-07,1.2610674748891881e-07
1818,1.4663048819585356e-07,1.0967483277113388e-07
1819,2.411794675083456e-07,1.531955344802327e-07
1820,1.6494408328071586e-07,1.744372726264487e-07
1821,2.2188348380858258e-07,1.853959812336825e-07
1822,9.223566621585633e-08,1.6943290859217086e-07
1823,1.1661570775700625e-07,1.3736934434405157e-07
1824,1.7515914407795208e-07,1.389483594849139e-07
1825,1.0654586324321258e-07,2.483134915465257e-07
1826,1.2771577084791375e-07,1.2331178211866245e-07
1827,2.3135354698666788e-07,1.170593684207688e-07
1828,1.797770985412228e-07,1.1832268853595451e-07
1829,1.6803425140210493e-07,9.173298565201549e-08
1830,1.5863990387998683e-07,1.6698937699288763e-07
1831,1.8709446880649239e-07,1.1225668572478753e-07
1832,2.597754102939831e-07,1.0688675744496834e-07
1833,2.0618858442844612e-07,7.876867513800789e-08
1834,1.54953209374753e-07,1.1948199474254295e-07
1835,1.4218605315363675e-07,1.0739584865859797e-07
1836,1.5726554947192994e-07,1.0282747364698253e-07
1837,1.315041417981888e-07,1.0993467647324451e-07
1838,8.39517539930057e-08,1.0415067208668916e-07
1839,1.2514740621583087e-07,9.228747566147888e-08
1840,1.1338045879938363e-07,1.1083258177890798e-07
1841,1.585875448739671e-07,1.2648481195753902e-07
1842,6.708265187782558e-08,1.2074877275836116e-07
1843,9.982679527453797e-08,1.0573370579081143e-07
1844,1.158086453401097e-07,1.0812465767173762e-07
1845,8.705155485344562e-08,7.979725646922731e-08
1846,1.042101231973902e-07,1.2996992726499457e-07
1847,1.429204301572895e-07,1.2728007536821906e-07
1848,1.5044565060406967e-07,1.1424214818589462e-07
1849,1.080944542763973e-07,1.0977033326753372e-07
1850,1.7108270089494226e-07,8.89358506839244e-08
1851,1.0706068653831835e-07,8.384270699934859e-08
1852,8.593920131083621e-08,9.765818376195057e-08
1853,1.3616004856942254e-07,1.104807401119956e-07
1854,1.3560684219982022e-07,1.0858938814806152e-07
1855,9.287139945968192e-08,8.544168750290737e-08
1856,1.0561466279312981e-07,8.749449820211197e-08
1857,1.2740739041561255e-07,1.1032210711636736e-07
1858,2.1091743818146824e-07,1.1744822137060851e-07
1859,1.3341493776408697e-07,9.573286208208742e-08
1860,1.1122556919929139e-07,9.840945613959207e-08
1861,1.4289369998365942e-07,8.017138353189068e-08
1862,1.897554264829182e-07,1.314734068280643e-07
1863,8.940371343246767e-08,9.639618037127207e-08
1864,1.3377291452343343e-07,8.103090176625471e-08
1865,7.578019678433634e-08,1.2755548084442125e-07
1866,9.244664234131506e-08,1.036375583129967e-07
1867,7.76449837758264e-08,8.346835933537022e-08
