year,nombreux_ADJ fils_NOUN
1800,0.0
1801,2.3811825844433088e-09
1802,0.0
1803,0.0
1804,7.4155526164076946e-09
1805,0.0
1806,1.4408345627714425e-08
1807,0.0
1808,0.0
1809,0.0
1810,0.0
1811,2.5070767684098882e-09
1812,0.0
1813,0.0
1814,3.1466771410748606e-09
1815,0.0
1816,0.0
1817,1.5568733857662664e-08
1818,7.152706427149269e-09
1819,1.3456364911235141e-08
1820,1.542642635854463e-08
1821,0.0
1822,2.0051231786055723e-09
1823,9.882686891060644e-10
1824,4.210556348027694e-09
1825,0.0
1826,2.642395191543301e-09
1827,0.0
1828,7.337841001486822e-09
1829,6.858540846366168e-09
1830,1.1480519646056564e-08
1831,1.5591206103948707e-09
1832,9.470978667991403e-09
1833,1.9692167896323554e-08
1834,1.6802156110884425e-08
1835,6.806779140333674e-09
1836,1.1425274948351216e-08
1837,6.957891152126194e-09
1838,8.837027110075724e-09
1839,3.355908262392404e-08
1840,2.356784811752277e-08
1841,1.0914932957462042e-08
1842,6.708265054555795e-09
1843,1.9492807368237663e-08
1844,3.0735943568060975e-08
1845,2.3436957263811564e-08
1846,1.2294452567118697e-08
1847,6.47186837454683e-09
1848,4.02261068899179e-09
1849,2.513824526317876e-08
1850,1.2220192857625989e-08
1851,2.902247508984601e-08
1852,3.450589147746541e-08
1853,2.388772735173461e-08
1854,1.454786069388092e-08
1855,4.2455496895854594e-08
1856,2.019103817474388e-08
1857,1.9526035899275485e-08
1858,2.6425849952715907e-08
1859,4.582955881460293e-08
1860,2.334363813361051e-08
1861,4.385846352761291e-08
1862,3.207770404856092e-08
1863,3.446288232566985e-08
1864,2.0137857603685916e-08
1865,2.58876440284439e-08
1866,3.503241430280468e-08
1867,2.91168689159349e-08
1868,4.100095551962113e-08
1869,3.7603097524652185e-08
1870,2.752343419842873e-08
1871,4.0360472297606975e-08
1872,2.6003558417642125e-08
1873,2.993002112816612e-08
1874,3.883495836021211e-08
1875,3.4901315615343265e-08
1876,2.9020871039620033e-08
1877,3.958282235316801e-08
1878,4.650098262004576e-08
1879,2.6270098985037293e-08
1880,3.529815373326528e-08
1881,3.5559789779426865e-08
1882,3.4608003574021495e-08
1883,3.6652167523243406e-08
1884,9.770511155693384e-08
1885,6.381179673553561e-08
1886,7.356948827919041e-08
1887,4.8966935395355904e-08
1888,3.804368731152863e-08
1889,4.8241552974559454e-08
1890,4.260351360585446e-08
1891,4.971891698346553e-08
1892,3.57305189879753e-08
1893,4.9883173147691195e-08
1894,3.213785149114301e-08
1895,4.814891596538473e-08
1896,4.9535042734305534e-08
1897,3.3212266714599536e-08
1898,4.639851169940812e-08
1899,3.924580482816964e-08
1900,3.9971109089265155e-08
1901,5.253414414596591e-08
1902,6.579780631454923e-08
1903,4.050165358648883e-08
1904,4.407192477628996e-08
1905,7.225062859106401e-08
1906,5.401393821102829e-08
1907,4.319988278211895e-08
1908,4.714933510285846e-08
1909,4.1807474815414025e-08
1910,4.542528131423751e-08
1911,3.937076797910777e-08
1912,5.053138707467042e-08
1913,4.8787505591008085e-08
1914,4.3528835647066444e-08
1915,5.301343009023185e-08
1916,5.273981784625903e-08
1917,6.470190072604964e-08
1918,7.581008532042688e-08
1919,7.09004339682906e-08
1920,5.4520068459851245e-08
1921,6.058198209757393e-08
1922,3.39385017866789e-08
1923,8.068120394000289e-08
1924,5.801231139912488e-08
1925,5.939016034517408e-08
1926,6.35329868714507e-08
1927,5.686104742608222e-08
1928,5.0274582719112004e-08
1929,4.0105462062456354e-08
1930,5.671945757512731e-08
1931,4.676196141417677e-08
1932,6.13734059129456e-08
1933,5.391211388428019e-08
1934,3.354842448288764e-08
1935,4.4282650435434334e-08
1936,4.849885826274658e-08
1937,4.1550688223424004e-08
1938,6.871563584809337e-08
1939,4.7411557346777045e-08
1940,6.593035806190528e-08
1941,7.969057236323351e-08
1942,7.282108072104165e-08
1943,9.870999662098257e-08
1944,1.0282195717081777e-07
1945,6.099811145077183e-08
1946,4.315542412314244e-08
1947,4.4107220986688844e-08
1948,6.305695166020087e-08
1949,6.871906066407973e-08
1950,7.338399399259288e-08
1951,7.782823274737893e-08
1952,4.323369751091377e-08
1953,6.033343424860504e-08
