year,nos_DET os_NOUN,nos_DET fosses_NOUN
1800,1.1318992321207588e-07,0.0
1801,1.3096504858367553e-07,0.0
1802,6.265952379180817e-08,1.3427040812530322e-08
1803,1.033679772888263e-07,1.950339223455444e-09
1804,1.0381774284695666e-07,0.0
1805,1.3361525930122298e-07,0.0
1806,9.797674671574441e-08,2.881669125542885e-09
1807,7.402083213037258e-08,2.8469551160981155e-09
1808,4.078933102391602e-08,0.0
1809,4.5180611252249037e-08,2.25903047379461e-08
1810,1.006254533031381e-07,4.680253518074551e-09
1811,1.7549536934780008e-08,0.0
1812,2.6672083208723052e-08,0.0
1813,1.4378708002027452e-08,2.8757416448144113e-09
1814,4.405347864278042e-08,3.1466771410748606e-09
1815,6.743058711400352e-08,0.0
1816,1.5296185829072328e-07,0.0
1817,7.005930058312515e-08,1.556873407970727e-09
1818,1.227881272214404e-07,7.152706427149269e-09
1819,4.864993563558073e-08,1.035105001712111e-09
1820,7.001224133773576e-08,1.1866481131050932e-09
1821,7.593346307288584e-08,3.94459531705138e-09
1822,5.9151133768864383e-08,6.015369535816717e-09
1823,4.842516754255399e-08,0.0
1824,5.642145328721426e-08,5.894778887238772e-09
1825,6.163809995740621e-08,0.0
1826,1.937756521908085e-08,8.807984341885344e-10
1827,5.7147094167930845e-08,2.7651818612639545e-09
1828,8.89713236418288e-08,5.503380862137419e-09
1829,5.401101010882314e-08,1.628903412154159e-08
1830,3.8616293940307855e-08,2.0873671680021744e-09
1831,5.4569221807909685e-08,1.2472964883158966e-08
1832,8.523880401511974e-08,6.764984572527055e-09
1833,6.023486687212198e-08,2.548398292390175e-08
1834,1.782895342472557e-07,4.667265685043276e-09
1835,8.31939672707449e-08,2.4958190181223472e-08
1836,1.3038255364250517e-07,4.099657502365517e-08
1837,1.0088941593267009e-07,7.653680356156656e-09
1838,8.268932205623969e-08,1.9567702125300457e-08
1839,8.879173307718702e-08,9.088918062616358e-09
1840,7.134051438484335e-08,5.095750932326837e-09
1841,7.96148018622489e-08,6.420548537278137e-09
1842,5.634942645826868e-08,9.391571076378114e-09
1843,1.075057802779611e-07,5.31621990873532e-09
1844,1.004406726679008e-07,4.390849017710252e-09
1845,1.383896579554289e-07,7.254296274794569e-09
1846,8.254846584065945e-08,5.854501328173001e-09
1847,6.202207014638361e-08,2.6966118227278457e-09
1848,3.781254065415851e-08,1.6090443422100975e-09
1849,7.792855982735603e-08,0.0
1850,7.400005586077896e-08,6.788996032014438e-09
1851,9.416180279941955e-08,0.0
1852,5.143331027746001e-08,7.161600201754936e-09
1853,9.913407073014469e-08,1.4929829816878737e-08
1854,1.1274591749099727e-07,5.195664343204953e-09
1855,9.817833657166375e-08,2.653468555990912e-09
1856,6.885661996136605e-08,8.801221973442352e-09
1857,1.0348799506232353e-07,9.763017949637742e-09
1858,1.0766087221725229e-07,2.4468380654951716e-09
1859,1.023526832177879e-07,9.165912473463322e-09
1860,1.0390207627608561e-07,5.950338888283113e-09
1861,1.485528571265604e-07,1.1789909493131745e-08
1862,9.758850461061286e-08,4.517986429419807e-09
1863,8.790532302072052e-08,3.496234635136375e-09
1864,1.0308665387981364e-07,6.712618905169165e-09
1865,9.319552107811546e-08,9.413688495385486e-09
1866,1.3477747806689422e-07,1.3137154475373336e-08
1867,1.402462501687296e-07,1.5043715606566366e-08
1868,9.533956824014922e-08,6.421836395986702e-09
1869,1.2843655738947746e-07,1.90457244420017e-08
1870,9.977245030157178e-08,2.8670243956696595e-09
1871,7.647247901587662e-08,0.0
1872,7.801067791746163e-08,4.23313739617015e-09
1873,1.0355787782856396e-07,3.591602815156136e-08
1874,9.021659930219528e-08,1.1351757311928168e-08
1875,8.410645158107855e-08,1.0870901512305409e-08
1876,1.0399145633499529e-07,1.813804439976252e-09
1877,5.813727166348315e-08,9.27722387800145e-09
1878,9.420978130947333e-08,1.1474268590827563e-08
1879,6.292605236879467e-08,2.0771705910860305e-08
1880,6.610381664273746e-08,1.2835692730917003e-08
1881,8.157833941702108e-08,1.045876096839038e-08
1882,8.053016209430552e-08,2.5290462835059202e-08
1883,6.761692628032279e-08,2.5277355319985872e-08
1884,8.714239640994492e-08,1.7824581810543805e-08
1885,9.732909966864156e-08,2.513797880965285e-08
1886,9.680196000338981e-08,5.808117542471791e-09
1887,6.724792611656483e-08,1.1752063988623718e-08
1888,5.7699592659332666e-08,5.07249175996094e-09
1889,7.079604547044482e-08,1.1277245803853475e-08
1890,4.391438945816617e-08,2.6217545912032847e-09
1891,5.928024782164698e-08,3.314594465564369e-08
1892,5.704346128787563e-08,5.014809900671935e-09
1893,5.665743074700913e-08,5.542574843531156e-09
1894,5.7344009318782696e-08,8.192000855444803e-09
1895,4.8148915299250916e-08,6.6204757231957956e-09
1896,6.604672675436518e-08,5.897029087265082e-09
1897,5.884980680548324e-08,6.992056267307589e-09
1898,5.3188536908166384e-08,7.921697076085366e-09
1899,6.854197209804624e-08,1.2160672469008205e-08
1900,5.710158434979462e-08,3.114631885736685e-09
1901,5.5328513548502656e-08,1.0059729937950124e-08
1902,6.923500084354828e-08,1.1293652790733688e-08
1903,5.022204674354214e-08,6.480264325148255e-09
1904,7.578221161708143e-08,6.987012746151322e-09
1905,5.883265252748515e-08,2.890025074808733e-08
1906,4.835533307101514e-08,2.9321851335861737e-08
1907,3.959989491875149e-08,6.1714118260169926e-09
1908,5.746325282274256e-08,8.840499887696751e-09
1909,7.536347368386487e-08,2.2003934674330594e-08
1910,7.642135435581565e-08,9.619471441624228e-09
1911,6.384449036112017e-08,1.276889793899727e-08
1912,8.856016076030926e-08,1.4586379215586476e-08
1913,8.11357461216744e-08,1.0075680734189518e-08
1914,5.424362337080879e-08,2.0090231700464756e-09
1915,9.424609315189514e-08,2.3561523843085297e-09
