year,meilleurs_ADJ airs_NOUN,meilleurs_ADJ fers_NOUN
1800,9.432493897065797e-09,0.0
1801,4.7623651688866175e-09,2.3811825844433088e-09
1802,6.713520406265161e-09,0.0
1803,1.950339267864365e-08,0.0
1804,0.0,2.4718509461507665e-09
1805,0.0,1.7057265822018053e-08
1806,8.645007376628655e-09,2.5935023018064385e-08
1807,8.540865792383556e-09,8.540865792383556e-09
1808,1.5862518409903714e-08,9.064295980465431e-09
1809,6.7770917766551975e-09,2.259030518203531e-09
1810,2.574139479349924e-08,7.020380277111826e-09
1811,0.0,2.2563691359778204e-08
1812,5.3344164641089264e-09,2.9339290108509886e-08
1813,3.163315653864629e-08,1.4378708002027452e-08
1814,2.8320094713762956e-08,6.293354282149721e-09
1815,5.394447111228828e-09,0.0
1816,0.0,1.8540831092650478e-08
1817,2.0239355080775567e-08,3.113746815941454e-09
1818,1.1921177378582115e-09,1.3113295338484932e-08
1819,9.315945348475907e-09,1.035105001712111e-09
1820,0.0,8.306536791735653e-09
1821,1.0847637454958203e-08,0.0
1822,8.02049271442229e-09,1.2030739071633434e-08
1823,4.941343334508019e-09,9.882686669016039e-09
1824,5.052667617633233e-09,3.3684450784221553e-09
1825,1.584979791857677e-08,1.584979791857677e-08
1826,7.0463874735082754e-09,1.76159691278599e-08
1827,0.0,1.8434546333878643e-08
1828,9.172301140836225e-09,8.255071293206129e-09
1829,2.571952872898464e-09,1.8860987438529264e-08
1830,1.0436835840010872e-09,1.7742621594152297e-08
1831,7.795603274018958e-09,4.989185953263586e-08
1832,1.8941957335982806e-08,9.470978667991403e-09
1833,2.20088942626262e-08,1.6217079235048004e-08
1834,1.213489042584115e-08,7.467624740797874e-09
1835,7.563087933704082e-10,6.050470346963266e-09
1836,6.72075017860152e-09,4.704525213838906e-09
1837,2.0873671680021744e-09,8.349468672008697e-09
1838,8.837027110075724e-09,7.574594285131298e-09
1839,6.9914749545318955e-09,3.355908262392404e-08
1840,2.5478754661634184e-09,1.2739377552861697e-08
1841,0.0,1.4767261191650505e-08
1842,2.0124795163667386e-09,1.9453969102301016e-08
1843,2.953455480181333e-09,4.134837894298471e-08
1844,1.097712254427563e-09,8.232841963717874e-09
1845,3.9061593959388574e-09,2.4553003186156275e-08
1846,7.025401593807601e-09,1.4870433062696975e-07
1847,2.1572894581822766e-09,4.314578916364553e-09
1848,0.0,2.011305433313737e-08
1849,6.703531951757213e-09,0.0
1850,6.788996032014438e-10,3.394498016007219e-09
1851,9.674158363282004e-09,1.2898877521649865e-08
1852,4.557382027314816e-09,7.161600201754936e-09
1853,1.1943863675867306e-09,1.3138249599364826e-08
1854,2.0782657816909023e-09,3.013485283531736e-08
1855,1.1675261646360013e-08,2.0166361025530932e-08
1856,9.318940286107136e-09,1.4496129630003907e-08
1857,5.369659827891837e-09,1.513267733344037e-08
1858,0.0,2.0064071293290908e-08
1859,6.619825576592575e-09,2.49516496353408e-08
1860,9.154367819341758e-10,2.9293977021893625e-08
1861,4.715963730639317e-10,3.065376574795664e-08
1862,0.0,3.6143891435358455e-08
1863,1.9978483312144135e-09,2.6970951694238465e-08
1864,9.589455896019672e-10,3.1165733105353866e-08
1865,9.41368871743009e-10,1.9298061815220535e-08
1866,5.838735717134114e-09,1.1677471434268227e-08
1867,9.7056229719783e-10,1.8925964795357686e-08
1868,1.1361710683388537e-08,5.186867824136243e-08
1869,4.883519144627257e-10,2.3929244363785074e-08
1870,1.7202146374017957e-09,1.9495765002375265e-08
1871,1.6993883633631413e-08,4.248470908407853e-09
1872,7.256807155187062e-09,6.652073114565837e-09
1873,1.1972009161809183e-08,1.6760813181804224e-08
1874,9.559374625212058e-09,3.1665429389704514e-08
1875,3.432916173551348e-09,1.602027666081085e-08
1876,1.4510435519810017e-08,1.5115036333668286e-08
1877,6.184816214727107e-09,3.64904160221613e-08
1878,1.69094480639842e-08,6.6429977074733415e-09
1879,3.665595160740054e-09,3.1157558311178946e-08
1880,7.701415505323439e-09,1.4119262203848848e-08
1881,9.064259565150223e-09,1.324776466304911e-08
1882,7.320923423037584e-09,4.6587693702804245e-09
1883,1.2638677882037541e-09,1.3270612164717477e-08
1884,1.9805090900604227e-09,1.1883054540362536e-08
1885,6.445635691854079e-10,6.445635580831777e-09
1886,1.936039106809062e-09,1.355227396970804e-08
1887,1.3057849246322917e-09,3.264462256069578e-09
1888,2.53624587998047e-09,6.340614699951175e-09
1889,4.385595886446936e-09,1.0650732740202784e-08
1890,2.6217545912032847e-09,3.9326319978272295e-09
1891,3.1871101313640793e-09,3.378336543846672e-08
1892,6.268512375839919e-09,1.9432388143059143e-08
1893,1.847525021858587e-09,2.463366621796581e-09
1894,6.301539290376468e-09,6.9316934414587195e-09
1895,2.4074457982692365e-09,9.629783193076946e-09
1896,7.66613794667137e-09,4.717623180994224e-09
1897,1.7480140668268973e-09,6.409385022720926e-09
1898,2.26334195829736e-09,3.960848538042683e-09
1899,5.527578395003729e-10,6.633094074004475e-09
1900,4.671947717582725e-09,2.07642125715779e-09
1901,5.588738916095792e-10,6.147612641171918e-09
