year,éditions_NOUN in_ADJ,editions_NOUN in_ADJ
1800,1.1004575384276905e-07,0.0
1801,8.334139067756041e-08,0.0
1802,2.0811913259422e-07,0.0
1803,3.8031614302269645e-07,7.801356893821776e-09
1804,1.0134588990240445e-07,4.943701892301533e-09
1805,1.1371511021707192e-07,5.685755422035754e-09
1806,1.2103009794373065e-07,0.0
1807,1.0249038240317532e-07,0.0
1808,1.5635910699529632e-07,0.0
1809,9.262025457701384e-08,2.259030518203531e-09
1810,1.8721013361755467e-07,0.0
1811,5.264861258069686e-08,0.0
1812,3.654075158010528e-07,0.0
1813,1.6679301495514665e-07,0.0
1814,1.6362720600682223e-07,0.0
1815,2.697223555614414e-09,0.0
1816,6.257530316133852e-08,0.0
1817,1.2610674104962527e-07,1.556873407970727e-09
1818,5.841376893300776e-08,5.960588467246453e-09
1819,2.5567092620804033e-07,3.1053151161586356e-09
1820,8.187871713971617e-08,0.0
1821,1.2425475404143072e-07,9.86148829262845e-10
1822,1.954995099140433e-07,2.0051231786055723e-09
1823,1.3341627891350072e-07,0.0
1824,9.684279689281539e-08,0.0
1825,1.937197424695114e-07,8.805443041381977e-10
1826,1.0305341646699162e-07,8.807984341885344e-10
1827,1.4655464042334643e-07,0.0
1828,4.127535524478532e-08,0.0
1829,1.0030615982259405e-07,0.0
1830,7.723258477199124e-08,0.0
1831,3.4300654760954785e-08,0.0
1832,1.1635773944362882e-07,1.3529969367098715e-09
1833,6.139323005527331e-08,0.0
1834,1.0454674281845655e-07,9.334530925997342e-10
1835,1.8151411040889798e-08,7.563087933704082e-10
1836,4.838939915430274e-08,6.720750067579218e-10
1837,5.775049416456568e-08,2.0873671680021744e-09
1838,7.195864371034588e-08,0.0
1839,5.5232654005976656e-08,0.0
1840,3.885510224677091e-08,0.0
1841,3.338685417020315e-08,0.0
1842,4.8970335342346516e-08,2.683306021822318e-09
1843,1.3054273040324915e-07,0.0
1844,4.9397051782307244e-08,0.0
1845,4.743193926515232e-08,0.0
1846,4.4494210982293225e-08,0.0
1847,8.143767615820252e-08,0.0
1848,1.930853166243196e-08,0.0
1849,2.9327951622803994e-08,0.0
1850,9.368814346544241e-08,2.0366988096043315e-09
1851,1.0512584935895575e-07,6.449438760824933e-10
1852,8.268392637234001e-08,1.9531636308300904e-09
1853,5.1955808544335014e-08,0.0
1854,7.741540031247496e-08,2.0782657816909023e-09
1855,7.641989441253827e-08,0.0
1856,8.542362195385067e-08,0.0
1857,7.273448443534392e-08,0.0
1858,1.1402265442939097e-07,0.0
1859,4.7357211485632433e-08,0.0
1860,8.284702923688769e-08,4.577183909670879e-10
1861,5.517677692523648e-08,1.414789119191795e-09
1862,6.776979688538631e-08,0.0
1863,4.744889747776426e-08,1.1487627737949424e-08
1864,9.15793051392555e-08,1.9178911792039344e-09
1865,6.777855587891679e-08,4.706844247692743e-09
1866,8.758103042794119e-08,9.731225825149181e-10
1867,9.123285771295286e-08,0.0
1868,7.755602027259556e-08,1.4819622196071691e-09
1869,6.34857466597083e-08,0.0
1870,7.339582230869723e-08,5.734048791339319e-10
1871,2.549082545044712e-08,0.0
1872,6.652073381019363e-08,0.0
1873,2.693702005895915e-08,5.986004469882289e-10
1874,3.883496046963586e-08,4.182226565063729e-09
1875,4.9777284516494547e-08,5.721527140956084e-10
1876,6.106474614853141e-08,0.0
1877,5.504486111362894e-08,0.0
1878,8.877460544454152e-08,7.2469061862534545e-09
1879,9.347267848625052e-08,0.0
1880,1.8547575786342918e-07,6.417846254436199e-10
1881,3.486253774553916e-08,0.0
1882,5.590523599607877e-08,0.0
1883,6.951272624178273e-08,0.0
1884,3.234831424947515e-08,0.0
1885,7.412481295432372e-08,0.0
1886,2.781442844934645e-07,0.0
1887,3.133883907935342e-08,0.0
1888,3.360525724360741e-08,0.0
1889,4.448246926358479e-08,0.0
1890,2.5562107097698572e-08,0.0
1891,4.398211927991724e-08,1.2748440081367107e-09
1892,3.761107336686109e-08,0.0
1893,3.8798024459829605e-08,0.0
1894,2.7726772211522643e-08,1.8904617871129403e-09
1895,3.2620891943224706e-07,0.0
1896,3.0664551120551664e-08,5.89702897624278e-10
1897,3.3794939513498434e-08,1.7480140668268973e-09
1898,2.4896761985360172e-08,5.09251940616906e-09
1899,1.1055156790007459e-08,0.0
1900,2.595526638060619e-08,2.07642125715779e-09
1901,1.397184767881754e-08,1.1177477832191585e-09
1902,1.9641134940684424e-08,0.0
1903,2.754112315983548e-08,1.0800440541913758e-09
1904,2.2573425795258117e-08,0.0
1905,2.6835946798087207e-08,5.160759042333041e-10
1906,2.7264178470431943e-08,0.0
1907,4.16570322125942e-08,0.0
1908,1.817213934884876e-08,0.0
1909,3.6306492035009796e-08,5.500983557560346e-10
1910,2.6186338430989053e-08,0.0
1911,2.7133907565257687e-08,2.128149656499545e-09
1912,1.927485904218429e-08,0.0
1913,3.6590630581034844e-08,0.0
1914,5.089525156876107e-08,1.3393487430235496e-09
1915,4.712304768617059e-09,1.1780761921542648e-09
1916,2.0876177453388323e-08,0.0
1917,4.0575770299255964e-08,0.0
1918,1.378365155346728e-08,0.0
1919,1.4732557396257562e-08,0.0
1920,2.4988365154854364e-08,5.300562211374427e-09
1921,1.5902768879527684e-08,7.572747429129834e-10
1922,5.090775445637519e-08,0.0
1923,5.307974149104666e-08,2.1231896241147297e-09
1924,5.285566118118368e-08,1.289162443462999e-09
1925,3.299453510408057e-08,3.299453377181294e-09
1926,3.566764272822098e-08,3.343841648018042e-09
1927,2.6758140592164636e-08,0.0
1928,3.6563331917705e-08,3.4278123672848437e-09
1929,3.119313873867213e-08,0.0
1930,3.361153133596417e-08,2.100720708497761e-09
1931,3.9918748306888574e-08,7.983749661377715e-09
1932,4.383814555808385e-08,1.0959536611565568e-09
1933,3.211785326584504e-08,0.0
1934,2.995395220750652e-08,0.0
1935,1.555876849579363e-08,0.0
1936,1.9399543305098632e-08,0.0
1937,1.888667711114067e-08,2.5182236296217297e-09
1938,4.148868626430158e-08,0.0
1939,1.8352860564618823e-08,0.0
1940,2.5357829169792012e-09,0.0
1941,4.7224041566096275e-08,2.9515025978810172e-09
1942,9.102635090130207e-09,6.068423541449874e-09
1943,2.6129116648121453e-08,2.9032352077962287e-09
1944,9.639558484764166e-09,3.2131861615880553e-09
1945,2.3963545370264683e-08,0.0
1946,2.3665876369705074e-08,0.0
1947,3.5762614203349585e-08,1.1920870957027319e-09
1948,7.610321262063735e-09,0.0
1949,2.945102384188658e-09,1.3743811311250909e-08
1950,1.595304155443955e-08,2.1270722960764488e-09
1951,1.4925962799061665e-08,2.1322803522849654e-09
1952,1.8980646387944944e-08,1.0544803918932644e-09
1953,4.5250075686453783e-08,2.1547654771580937e-09
1954,1.759056522665503e-08,3.9090144454689835e-09
1955,6.569925492527773e-09,6.569925492527773e-09
1956,1.4825940475304833e-08,1.744228317335228e-09
1957,4.329168490357915e-08,9.718541360559385e-09
1958,2.0680609225109947e-08,4.136121722897457e-09
1959,9.300897829689347e-09,3.100299128533379e-09
1960,3.460416664324839e-08,0.0
1961,2.223410966450956e-08,0.0
1962,2.0928455413127267e-08,6.341956404476434e-10
1963,1.2285501505004959e-08,1.2932106496776896e-09
1964,1.9468698653213323e-08,0.0
1965,6.238129773850076e-08,5.472043373977442e-09
1966,5.095948685251983e-08,1.1078149508847446e-09
1967,4.338695447358987e-08,1.9721342336964653e-09
1968,3.907531842539669e-08,1.3474247551048535e-09
1969,3.4517360053554214e-08,0.0
1970,3.632992928714884e-08,4.5987250119061684e-10
1971,2.8261185391897925e-08,2.5691987426412766e-09
1972,2.1033601527165047e-08,1.0260293725750103e-09
1973,3.4181862285098674e-08,0.0
1974,2.6440186928766707e-08,5.06301445213353e-09
1975,1.9990180177842376e-08,3.998036124386317e-09
1976,1.7140580510499603e-08,5.713526873840635e-10
1977,2.056873604772136e-08,0.0
1978,2.79207795772507e-08,1.7821774056514528e-09
1979,3.5697038214266286e-08,2.925986564150662e-09
1980,1.762396628635088e-08,5.685150683554241e-10
1981,3.479052207433497e-08,1.2651099057237047e-09
1982,1.3656505259973528e-08,3.1037510339615437e-09
1983,5.494324994970157e-08,6.315316047889041e-10
1984,4.1172959264201836e-08,2.8995042478108246e-09
1985,1.7445119127046382e-08,1.8046674155058895e-09
1986,4.3160294893596074e-08,2.9972427317837003e-09
1987,2.3221103262471843e-08,0.0
1988,4.017691068725071e-08,1.1993107618124554e-09
1989,1.8110803523541108e-08,1.0976244357863152e-09
1990,1.5256222951620657e-08,5.44865097484859e-10
1991,2.2859714121636898e-08,0.0
1992,4.187557678392295e-08,2.7549720282848966e-09
1993,2.1048988885219444e-08,5.539207426075166e-10
1994,2.742961746626804e-08,2.1099706426497278e-09
