year,livres_NOUN in_ADJ
1800,2.515331676278265e-08
1801,2.3811825400343878e-08
1802,6.713520406265161e-09
1803,1.5602713787643552e-08
1804,1.2359254952798437e-08
1805,5.685755422035754e-09
1806,2.5935022129885965e-08
1807,1.1387820464392462e-08
1808,7.024829251633946e-08
1809,5.6475761844865247e-08
1810,9.360507036149102e-09
1811,5.515568801683912e-08
1812,3.7340916136940905e-08
1813,8.339650858779635e-08
1814,2.5173417128598885e-08
1815,7.012781266801937e-08
1816,3.012885052555703e-08
1817,4.51493296083072e-08
1818,2.1458118615313992e-08
1819,3.1053151161586356e-08
1820,3.7972737843006144e-08
1821,1.0847637232913598e-08
1822,1.7043547018147365e-08
1823,2.569498536164616e-08
1824,1.7684337549894735e-08
1825,4.050503643604486e-08
1826,4.403992281964975e-09
1827,2.3964910056406552e-08
1828,2.6599672964255916e-08
1829,6.85854095738847e-09
1830,1.461157017601522e-08
1831,9.35472388441383e-09
1832,4.194290348369378e-08
1833,1.5058717495186613e-08
1834,1.5868702796240086e-08
1835,1.0588323107185715e-08
1836,2.4194700631863242e-08
1837,1.948209416013924e-08
1838,2.5879863807531933e-08
1839,1.6779540201738996e-08
1840,2.6115723250619283e-08
1841,2.3113974290112083e-08
1842,1.7441489141845068e-08
1843,2.7171791094904307e-08
1844,1.3172546831086152e-08
1845,7.254296274794569e-09
1846,4.273785991770751e-08
1847,8.089835468183537e-09
1848,2.011305433313737e-08
1849,1.3407063903514427e-08
1850,1.5614690873633208e-08
1851,2.966741918797311e-08
1852,1.0416872475715877e-08
1853,1.134667049207394e-08
1854,1.7665259310906123e-08
1855,6.368324534378189e-09
1856,2.3815070804289462e-08
1857,2.6848299583548396e-08
1858,2.838332058274773e-08
1859,6.110608019582742e-09
1860,2.0597327482496652e-08
1861,2.0278644541349422e-08
1862,2.0782737308877586e-08
1863,1.9978483423166438e-08
1864,3.691940619887646e-08
1865,2.353422146050832e-08
1866,1.0217787504984699e-08
1867,2.3778776281346836e-08
