year,les_DET iles_NOUN,les_DET fils_NOUN
1800,1.3016840654245243e-06,7.1152443918975905e-06
1801,1.776362196892478e-06,9.312805442363015e-06
1802,1.4322177150916104e-06,7.917478455965465e-06
1803,1.2930749153650112e-06,7.062178507766248e-06
1804,1.5696252999575222e-06,9.548759820843244e-06
1805,9.324638874375069e-07,1.0552761898097174e-05
1806,9.653591570568665e-07,7.77186187406187e-06
1807,1.5601314018454104e-06,9.693882009997878e-06
1808,1.2259460362429309e-06,7.342079808125845e-06
1809,1.2447258184167254e-06,8.08732909263199e-06
1810,1.2355869429825361e-06,8.665489403369975e-06
1811,1.7975740078668423e-06,8.132957134421304e-06
1812,9.415245187938126e-07,8.257676455514229e-06
1813,1.4234921295042113e-06,7.47692838842795e-06
1814,1.0446967912969285e-06,9.232350762999886e-06
1815,1.1544116735873189e-06,8.07009307379758e-06
1816,9.919344758912985e-07,9.339944037733972e-06
1817,1.0804701418010154e-06,7.005930187986564e-06
1818,9.250833867824326e-07,9.644232779493223e-06
1819,7.701181243824351e-07,8.336735891845137e-06
1820,1.1427421213738853e-06,1.0131601122509437e-05
1821,8.332957381895767e-07,8.816170447900618e-06
1822,1.1990636892278417e-06,8.646091146147228e-06
1823,1.305502955517568e-06,8.57718374192018e-06
1824,1.0374810957003433e-06,1.0228283901625446e-05
1825,1.7276279447031584e-06,9.344336421079902e-06
1826,1.7334113504574589e-06,1.00543145293841e-05
1827,1.2931834527663e-06,8.889137777856604e-06
1828,1.4629820253020398e-06,8.940242262056586e-06
1829,2.082424478189182e-06,8.821797802482934e-06
1830,1.3463518362399896e-06,1.0166521995813582e-05
1831,1.0025145353864673e-06,1.0394656907664057e-05
1832,1.5789474296923345e-06,9.849817535823036e-06
1833,3.2874338788957402e-06,8.86147622125577e-06
1834,1.6662138371259516e-06,9.762985467176577e-06
1835,1.8983350216217332e-06,1.0045293421967472e-05
1836,1.582064548699691e-06,9.545481194805916e-06
1837,1.9983063177519966e-06,9.686775705119999e-06
1838,2.006636307783083e-06,1.1113823823905022e-05
1839,2.2260856979983146e-06,1.2486075657847095e-05
1840,2.1440371433811833e-06,1.1161605224074833e-05
1841,1.8542543935851086e-06,1.1562123905406452e-05
1842,1.5522925451705305e-06,1.063461292361012e-05
1843,2.031977416550035e-06,1.095082279434223e-05
1844,1.69706311581308e-06,1.2015558063183107e-05
1845,1.697505346953676e-06,1.0675533802739778e-05
1846,1.7926482769325958e-06,1.1317921906339734e-05
1847,2.0273127852021844e-06,1.2633626234048734e-05
1848,1.8849954379618339e-06,1.002354190760002e-05
1849,2.047929022808148e-06,1.0839611515933711e-05
1850,1.8045151213286204e-06,1.1483586465743656e-05
1851,1.46402260980949e-06,1.2618971688915792e-05
1852,1.8815476305888978e-06,1.24143076405403e-05
1853,1.894893941312148e-06,1.268796659559257e-05
1854,1.5638949619756204e-06,1.1674138800543687e-05
1855,1.675400088885226e-06,1.33761348379835e-05
1856,1.7731873018789202e-06,1.280111837687059e-05
1857,1.5933246153565506e-06,1.2201331987427011e-05
1858,1.379527233780209e-06,1.222684954171882e-05
1859,1.737958751135693e-06,1.3106744667368275e-05
1860,1.2376705669225885e-06,1.2903538955555405e-05
1861,1.5661715284664979e-06,1.7459440577738405e-05
1862,1.3391311188826194e-06,1.231422358216605e-05
1863,1.584793196229839e-06,1.2056015687988975e-05
1864,1.8023382288845369e-06,1.2606298554374007e-05
1865,1.3503936031611374e-06,1.2810618109426741e-05
1866,1.5088265854501515e-06,1.2506571380299647e-05
1867,1.4306088687021656e-06,1.4307543743541373e-05
1868,1.3851406670539745e-06,1.2462314732175628e-05
1869,1.1398133601403515e-06,1.1393738855502988e-05
1870,1.3733046682062877e-06,1.3022598544409902e-05
1871,9.028000729216501e-07,1.1647183022489571e-05
1872,1.195558960276344e-06,1.2419420656328839e-05
1873,1.5952701986066131e-06,1.1551192955039369e-05
1874,1.118446856906985e-06,1.1944438874422758e-05
1875,1.1174142482417437e-06,1.0645473608406064e-05
1876,1.4177904859025148e-06,1.218332440089398e-05
1877,1.3810694170501847e-06,1.1624980345459335e-05
1878,1.5605004684005053e-06,1.1233913028263487e-05
1879,1.467459910031721e-06,1.2017042841705461e-05
1880,1.5678798668261607e-06,1.2135505357946386e-05
1881,1.9369625974263727e-06,1.3744206803778525e-05
1882,1.4442185900520599e-06,1.3443878302155099e-05
1883,1.4155319227882046e-06,1.2703135425340406e-05
1884,1.6174157337900397e-06,1.3668813650724587e-05
1885,1.6713533455003926e-06,1.3653790361445317e-05
1886,2.545246125862377e-06,1.4375736427041375e-05
1887,1.4833716974749223e-06,1.304609688901337e-05
1888,1.6339764279393876e-06,1.278838600171639e-05
1889,1.6571286636235527e-06,1.326329472561838e-05
1890,1.6890654102041935e-06,1.3346041626505212e-05
1891,1.7503608304991758e-06,1.4414661315242938e-05
1892,1.827898174155962e-06,1.2478100934742997e-05
1893,1.9509863804501038e-06,1.270234998429487e-05
1894,1.595549704802579e-06,1.1307482324696139e-05
1895,2.5470776279234997e-06,1.1438376844807863e-05
1896,1.9660694228207376e-06,1.2492856207302339e-05
1897,1.6926602910416477e-06,1.2168508490617569e-05
1898,1.8276486102308809e-06,1.1514186397221238e-05
1899,2.0247519501026545e-06,1.219162665222484e-05
1900,1.9123840111490154e-06,1.1127541597488744e-05
1901,1.8023683487911057e-06,1.118586117598852e-05
1902,1.8280986537888566e-06,2.131701513974349e-05
1903,1.775592423314265e-06,1.072159688675356e-05
1904,1.6521597743235361e-06,1.1257152578991736e-05
1905,1.8805805694910305e-06,1.0334936320077759e-05
1906,1.5854376762547417e-06,1.0940652089175273e-05
1907,1.8596521584868242e-06,1.0225515566730792e-05
1908,1.6374570961374957e-06,1.0344367368020357e-05
1909,1.4671123054199597e-06,1.0893047459603622e-05
1910,1.588816019193473e-06,1.0830455892119062e-05
1911,1.6732576604283622e-06,1.0412504543921841e-05
1912,1.4122741269773087e-06,1.0044805861753048e-05
1913,2.133392705161441e-06,1.0429389512012222e-05
1914,1.84763162636159e-06,1.075229178582049e-05
1915,1.7211692764362851e-06,1.1271833130876985e-05
1916,1.7173403286108169e-06,1.3595885960171472e-05
1917,1.6932159851990036e-06,1.41302380782804e-05
1918,2.0422776820794297e-06,1.2607446890910978e-05
1919,1.444711411835442e-06,1.1246465646763681e-05
1920,2.267126134825048e-06,9.942340447821607e-06
1921,2.112039279467126e-06,9.918784272144876e-06
1922,1.9153121257886596e-06,9.816343144564144e-06
1923,1.846113434567087e-06,9.602125423668895e-06
1924,1.866707282971447e-06,9.847911613292126e-06
1925,2.4173995498699696e-06,9.852167536905654e-06
1926,2.031941049196462e-06,9.232346499743471e-06
1927,2.332417825101629e-06,9.329671058821987e-06
1928,2.1846590883001227e-06,8.564960268131472e-06
1929,2.498793172378555e-06,8.375357438694664e-06
1930,2.346505034722668e-06,8.570940508434433e-06
1931,2.611826730003486e-06,8.45593142173584e-06
1932,2.3004066846965543e-06,8.439938916637857e-06
1933,2.6141639288823626e-06,8.171699711567726e-06
1934,2.681477646149233e-06,8.083972261374583e-06
1935,2.1554879943153082e-06,8.63631404968146e-06
1936,2.5461900463596976e-06,8.305429318511415e-06
1937,2.4439360082340045e-06,8.915770521866762e-06
1938,2.0614691251807926e-06,8.88895067419071e-06
1939,2.529635974468647e-06,8.375021820938855e-06
1940,2.2035953612942194e-06,8.938634479704888e-06
1941,2.703576443607858e-06,8.405879341921718e-06
1942,2.2180087917433866e-06,8.128653163907984e-06
1943,2.334201090192778e-06,1.0338420153743755e-05
1944,2.45808745980014e-06,9.7166752439648e-06
1945,2.3658553374161784e-06,8.356741417969715e-06
1946,1.9865415694653166e-06,8.209275165427243e-06
