year,ses_DET acteurs_NOUN,ses_DET facteurs_NOUN
1800,4.370388708707651e-07,2.5153315164061496e-07
1801,3.2145965178642655e-07,1.8811341817581706e-07
1802,3.9162202369880106e-07,4.386166665426572e-07
1803,3.3935902976622856e-07,1.7748087444147131e-07
1804,3.435872759638414e-07,2.5212878540514794e-07
1805,3.098736802709112e-07,2.0184431548386783e-07
1806,2.6511355599723174e-07,2.247701864632745e-07
1807,4.1850240961593954e-07,3.4448157748556696e-07
1808,6.118399813459519e-07,4.1242546933162316e-07
1809,2.710836621844237e-07,1.1295152546608733e-07
1810,4.329234477573607e-07,4.633450885194179e-07
1811,3.785685818158413e-07,1.8803075363393873e-07
1812,2.613863969713748e-07,1.4136203674297576e-07
1813,6.729235284552715e-07,3.594677195906115e-07
1814,1.888006266881348e-07,1.6992056828257773e-07
1815,3.209695895733944e-07,3.425473948936997e-07
1816,2.897004751645227e-07,8.575134380350846e-08
1817,6.305337123535537e-07,9.808302403602198e-08
1818,2.6107379103024186e-07,1.287487094714379e-07
1819,2.536007333020507e-07,1.2007218685994303e-07
1820,2.408895740657613e-07,2.0054353555565285e-07
1821,3.5797203778997755e-07,1.2425475404143072e-07
1822,3.2382739334479993e-07,9.223566621585633e-08
1823,2.3323141240538803e-07,7.51084204830832e-08
1824,4.1768718883616884e-07,9.179012749882531e-08
1825,2.9938505541338145e-07,1.259178361578961e-07
1826,1.1978858394101621e-07,3.8843210403705086e-07
1827,2.110755579209922e-07,1.2904181961870265e-07
1828,1.8803217471941025e-07,1.6968756710866728e-07
1829,2.709123676503111e-07,9.773420633907293e-08
1830,2.2961039025659602e-07,1.7220779113813478e-07
1831,2.634913904842051e-07,1.4811645598911127e-07
1832,3.8831011295314966e-07,1.5559464827674674e-07
1833,3.9963519071761766e-07,9.730248251571538e-08
1834,3.827157577518392e-07,7.094243414940138e-08
1835,2.7075854802660615e-07,1.5731222902104491e-07
1836,2.217847487884228e-07,1.0820407680967037e-07
1837,3.0058089173223834e-07,1.2802519222532283e-07
1838,1.7232201532380031e-07,2.4112458163472184e-07
1839,2.2302805868790188e-07,1.4052865537905745e-07
1840,2.420481761689075e-07,1.222980188231304e-07
1841,1.9518466931600642e-07,1.155698754473633e-07
1842,1.5764423055841803e-07,1.4355687483202928e-07
1843,1.8843046056815638e-07,1.346775775346032e-07
1844,1.7563396026432088e-07,1.695965459180826e-07
1845,2.1093261448612566e-07,1.813574124764905e-07
1846,1.569006307100551e-07,1.3406807397586817e-07
1847,1.2889805223181838e-07,1.893021561727437e-07
1848,1.5366373817826684e-07,1.432049430150073e-07
1849,1.4496387734652671e-07,1.340706319297169e-07
1850,1.676882011025782e-07,1.2423862472132896e-07
1851,2.302449635394055e-07,1.0254607740733945e-07
1852,2.4870282477884587e-07,1.4192988828654052e-07
1853,1.6900566990329935e-07,1.9468497214347735e-07
1854,1.4391991209894428e-07,1.1066765237544018e-07
1855,2.8285976227948595e-07,1.278971772933346e-07
1856,1.9103827852973154e-07,1.1130956600879927e-07
1857,1.6743576702893392e-07,1.303362893168014e-07
1858,2.3538582261117824e-07,6.068158148186953e-08
1859,2.7650502687492917e-07,9.013147050929149e-08
1860,1.7896789428206716e-07,9.01705234923611e-08
1861,2.2683785960708747e-07,1.311037983176e-07
1862,3.180662213608798e-07,6.596260251900965e-08
1863,2.327493313636353e-07,1.5183647406047385e-07
1864,2.0089910313103587e-07,1.0260718141807956e-07
1865,2.3440084806480854e-07,1.0166783681597735e-07
1866,1.4256246361199487e-07,1.0217787027588798e-07
1867,1.926566088883419e-07,1.2568781926347583e-07
1868,2.0154686275475342e-07,1.3238862095477089e-07
1869,2.2220012763085606e-07,1.4552886840046853e-07
1870,2.1732044652722493e-07,2.6548646658852704e-07
1871,1.6993883278360045e-07,8.921788552385124e-08
1872,1.5118347906906138e-07,8.950062380108648e-08
