year,vues_NOUN in_ADJ,vues_NOUN fines_ADJ
1800,0.0,1.0690159513160324e-07
1801,0.0,1.0715321963061797e-07
1802,2.2378401354217203e-09,9.398928568771225e-08
1803,5.851017448321727e-09,7.996391104825307e-08
1804,1.4831105232815389e-08,1.7302956223375077e-07
1805,2.842877711017877e-09,1.1371511021707192e-07
1806,0.0,1.2967511509032192e-07
1807,0.0,7.971474502710407e-08
1808,2.2660739951163578e-09,3.172503681980743e-08
1809,0.0,7.90660692473466e-08
1810,2.3401267590372754e-09,8.190443878675069e-08
1811,0.0,4.011322829455821e-08
1812,0.0,1.9203899626063503e-07
1813,2.8757416448144113e-09,2.501895153272926e-07
1814,0.0,7.237357380063258e-08
1815,0.0,1.3486118000116676e-08
1816,0.0,7.879853569647821e-08
1817,0.0,3.580808893843823e-08
1818,0.0,7.391130196765516e-08
1819,2.070210003424222e-09,5.3825459644940565e-08
1820,1.1866481131050932e-09,7.001224133773576e-08
1821,9.86148829262845e-10,1.0354562363090736e-07
1822,1.0025615893027862e-09,6.416394171537831e-08
1823,0.0,7.214361374963119e-08
1824,0.0,4.7158231097910175e-08
1825,1.7610886082763955e-09,2.553578504205234e-08
1826,8.807984341885344e-10,2.290075862276808e-08
1827,9.217273055917019e-10,3.2260455640198415e-08
1828,0.0,3.760643352279658e-08
1829,0.0,4.029392641768936e-08
1830,0.0,7.931995327226105e-08
1831,6.236482441579483e-09,2.9623292263636358e-08
1832,0.0,4.7354891563600177e-08
1833,0.0,3.4750886612755494e-08
1834,0.0,4.0138484536100805e-08
1835,6.806779140333674e-09,4.4622218808854086e-08
1836,6.720750067579218e-10,2.352262562510532e-08
1837,6.957890930081589e-10,1.87863058442872e-08
1838,0.0,2.5879863585487328e-08
1839,4.894032734625853e-09,2.0974425751774106e-08
1840,6.369688665408546e-10,1.4013314952876499e-08
1841,6.420548537278137e-10,2.760835826620678e-08
1842,0.0,5.500777433553594e-08
1843,1.7720733769266417e-09,4.371114314949409e-08
1844,0.0,2.4149668931272572e-08
1845,2.7901139176833567e-09,2.1204865419122143e-08
1846,0.0,3.454155717008689e-08
1847,0.0,4.314578916364553e-08
1848,0.0,8.84974404868899e-09
1849,1.6758829879393033e-09,1.6758829879393033e-09
1850,6.788996032014438e-10,1.3577992064028876e-08
1851,1.2898877521649865e-09,1.9993260380601896e-08
1852,1.9531636308300904e-09,3.190167419120371e-08
1853,0.0,1.911018188138769e-08
1854,0.0,2.3900057044556888e-08
1855,0.0,2.812676669350367e-08
1856,1.0354378465748937e-09,1.1389816201301528e-08
1857,4.881509085841174e-10,1.8549734193129552e-08
1858,4.893676019968041e-10,2.7404585267731818e-08
1859,0.0,3.768208145515928e-08
1860,4.577183909670879e-10,1.7393299245327398e-08
1861,2.8295783494058924e-09,1.9335450573976232e-08
1862,0.0,2.2589931703009825e-08
1863,3.995696662428827e-09,3.0467187883687075e-08
1864,9.589455896019672e-10,1.8699438442126848e-08
1865,3.765475486972036e-09,1.1767110841276462e-08
1866,3.4059290943133647e-09,1.4596838404656864e-08
1867,4.85281148598915e-10,8.249779526181555e-09
1868,9.87974813071446e-10,1.877152122631287e-08
1869,0.0,3.41846337903462e-08
1870,2.2936195165357276e-09,1.1468097582678638e-08
1871,0.0,7.434824311758348e-09
1872,6.047339295989218e-10,2.0560953828407946e-08
1873,0.0,1.5563610844537834e-08
1874,2.3898436563030145e-09,3.5847653734322193e-09
1875,0.0,2.0597497041308088e-08
1876,1.209202959984168e-09,1.0278225381910033e-08
1877,0.0,3.401648740464225e-08
1878,1.8117265465633636e-09,4.468925496325937e-08
1879,0.0,2.1993571408529533e-08
1880,0.0,7.508879917850209e-08
1881,0.0,3.137628468152798e-08
1882,1.9966155395678697e-09,1.7969540522244642e-08
1883,0.0,1.0742875922176154e-08
1884,3.9610181801208455e-09,2.1125430293977843e-08
1885,6.445635691854079e-10,2.5782542767416317e-09
1886,0.0,1.2906927970846027e-08
1887,0.0,7.834709769838355e-09
1888,1.268122939990235e-09,4.4384300679212174e-09
1889,0.0,1.2530273707511697e-08
1890,3.9326319978272295e-09,9.831579994568074e-09
1891,1.2748440081367107e-09,7.649063604731055e-09
1892,6.268512375839919e-10,5.641661360300532e-09
1893,0.0,5.542574843531156e-09
1894,3.150769645188234e-09,8.822155450616265e-09
1895,0.0,3.0093072478365457e-09
1896,2.358811590497112e-09,1.0024948871034667e-08
1897,0.0,1.7480140668268973e-09
1898,1.13167097914868e-09,9.05336783318944e-09
1899,5.527578395003729e-10,5.527578395003729e-09
1900,0.0,2.595526460424935e-09
1901,0.0,4.470991132876634e-09
1902,4.910283846193408e-10,4.419255628107521e-09
1903,3.2401321625741275e-09,1.0260418292773466e-08
1904,0.0,2.0961039126632386e-08
1905,0.0,5.676835002077496e-09
1906,0.0,1.0288369267641428e-08
1907,0.0,8.228549397415463e-09
1908,4.911389073214423e-10,7.367083831866239e-09
1909,5.500983557560346e-10,1.0451868703853506e-08
1910,0.0,5.878565634276356e-09
1911,1.0640748282497725e-09,1.2236860413850081e-08
1912,0.0,2.031674206648404e-08
1913,0.0,1.2196876397752021e-08
1914,0.0,1.0045115850232378e-08
1915,0.0,1.1780761921542648e-09
