year,nouveaux_ADJ airs_NOUN,nouveaux_ADJ fers_NOUN
1800,3.144164395507687e-08,5.65949598296811e-08
1801,1.1905912700171939e-08,7.381665767525192e-08
1802,1.3427040812530322e-08,4.4756802708434407e-08
1803,1.3652374342143503e-08,2.7304748684287006e-08
1804,1.2359254952798437e-08,6.921182915675672e-08
1805,3.1271653710973624e-08,1.0802935435094696e-07
1806,4.3225035994964855e-08,6.627838899930794e-08
1807,2.8469550272802735e-08,3.701041606518629e-08
1808,7.478044494746428e-08,4.758755522971114e-08
1809,9.036122072814123e-09,4.292158095609011e-08
1810,4.212228077449254e-08,4.212228077449254e-08
1811,1.2535384286138651e-08,1.2535384286138651e-08
1812,1.600324850414836e-08,2.1337665856435706e-08
1813,7.476928232108548e-08,6.901780125190271e-08
1814,1.5733386149463513e-08,1.541871768040437e-07
1815,2.6972236000233352e-08,1.1058616422587875e-07
1816,2.0858434979231788e-08,2.7811246638975717e-08
1817,1.8682481339737933e-08,6.07180652423267e-08
1818,3.814776761146277e-08,4.053200441944682e-08
1819,5.900098543065724e-08,7.866798057420965e-08
1820,2.7292905713238724e-08,1.1154492085552192e-07
1821,2.5639868894700157e-08,6.114122896860863e-08
1822,3.5089655625597516e-08,8.421517350143404e-08
1823,2.3718449426723964e-08,3.9530746676064155e-08
1824,2.7789671008804362e-08,5.9789897477458e-08
1825,2.0252519661312363e-08,5.811592274085342e-08
1826,2.554315514657901e-08,3.787433300317389e-08
1827,1.8434546333878643e-08,5.8068820862899884e-08
1828,2.4765213879618386e-08,3.8523666034961934e-08
1829,2.6576845613135447e-08,2.4004892296147773e-08
1830,5.427154770032416e-08,6.053365098068753e-08
1831,1.870944643656003e-08,3.741889287312006e-08
1832,4.058990921151917e-09,4.19429042608499e-08
1833,4.170106393530659e-08,1.9692167896323554e-08
1834,2.240287511057204e-08,2.14694217959277e-08
1835,2.117664621437143e-08,7.033671778344797e-08
1836,1.747394939854985e-08,4.838939915430274e-08
1837,6.262101948095733e-09,4.940102726891382e-08
1838,1.2624323808552163e-08,2.4617431648721322e-08
1839,1.3982949909063791e-08,2.6567605004856887e-08
1840,2.993753511759678e-08,6.879263736436769e-08
1841,1.9903700021473014e-08,5.393260948949319e-08
1842,9.391571076378114e-09,4.360372329870188e-08
1843,1.4176587015413133e-08,1.8311423488626133e-08
1844,1.4270259640625227e-08,3.4577936958157807e-08
1845,8.928364714222425e-09,1.9530798311961917e-08
1846,2.1076203893244383e-08,3.7468808500307205e-08
1847,7.550513103637968e-09,6.25613978399997e-08
1848,8.04522137798358e-09,1.528592186161859e-08
1849,5.865590679832167e-09,1.005529792763582e-08
1850,2.0366988096043315e-08,1.968808760466345e-08
1851,1.3543821175687754e-08,2.644269869733762e-08
1852,2.99485096721952e-08,3.2552726736412296e-08
1853,2.508211416341055e-08,2.20961471342207e-08
1854,1.8184826089395756e-08,3.221311928314208e-08
1855,1.963566731433275e-08,1.8043586180738203e-08
1856,1.1907535402144731e-08,9.318940286107136e-09
1857,2.4895696171256532e-08,3.124165814938351e-08
1858,6.8511463169329545e-09,3.1808895073481835e-08
1859,1.9350258284589472e-08,1.782260738991681e-08
1860,1.2816115280145368e-08,4.3483247225140076e-08
1861,1.744906619194353e-08,2.452301117727984e-08
1862,4.9697850279528666e-09,4.517986340601965e-08
1863,8.990317601487163e-09,2.5472566278494924e-08
1864,8.151037178549814e-09,1.0068928801842958e-08
1865,1.3649848362717876e-08,1.8827376990770972e-08
1866,8.75810357570117e-09,3.308616669528419e-08
1867,1.8925964795357686e-08,2.2808213984149006e-08
1868,1.877152122631287e-08,2.9639243948054173e-08
1869,3.906815315701806e-09,3.711474505507795e-08
1870,8.027668307875047e-09,1.834895613228582e-08
1871,2.1242354542039266e-09,1.6993883633631413e-08
1872,2.2979889990892843e-08,9.675742873582749e-09
1873,1.1373408881354408e-08,1.6760813181804224e-08
