year,nos_DET oeufs_NOUN,nos_DET feux_NOUN
1800,0.0,2.200915165673223e-07
1801,0.0,5.691026530030285e-07
1802,0.0,1.9245425164626795e-07
1803,1.950339223455444e-09,1.6772917277307897e-07
1804,2.4718509461507665e-09,2.669598906379633e-07
1805,0.0,3.155594185955124e-07
1806,0.0,1.9307183052319488e-07
1807,0.0,2.135216305987342e-07
1808,0.0,2.0847880932706175e-07
1809,0.0,1.7394535434256397e-07
1810,0.0,2.9953622515677125e-07
1811,0.0,6.217550332365818e-07
1812,0.0,2.2137828636914492e-07
1813,0.0,3.105801091862759e-07
1814,0.0,1.1328037707869498e-07
1815,0.0,1.6722785955991526e-07
1816,0.0,6.952811837379613e-08
1817,0.0,3.705358668781855e-07
1818,0.0,2.3961566597563433e-07
1819,0.0,2.0702100123060063e-07
1820,0.0,2.3970292062358567e-07
1821,0.0,2.110358474638474e-07
1822,1.0025615893027862e-09,1.9148926355683216e-07
1823,0.0,1.6405260017116063e-07
1824,1.6842225392110777e-09,3.494761635636223e-07
1825,4.4027217427355936e-09,2.051668239744231e-07
1826,0.0,2.4486196803508165e-07
1827,0.0,2.0278000567586218e-07
1828,0.0,1.6510142586412258e-07
1829,0.0,2.1090012936042513e-07
1830,0.0,1.513341265635404e-07
1831,0.0,8.886987590273066e-08
1832,0.0,1.2988770592414767e-07
1833,0.0,2.2356403128753755e-07
1834,0.0,1.6895500376534756e-07
1835,0.0,1.9437135989619492e-07
1836,0.0,1.2366179719114356e-07
1837,0.0,1.3011255717287895e-07
1838,6.312161904276081e-10,1.4265486303344233e-07
1839,0.0,1.1396104548921926e-07
1840,1.2739377330817092e-09,1.0000411448940483e-07
1841,0.0,1.7014453579378142e-07
1842,0.0,8.787827354694855e-08
1843,1.1813822142769936e-09,6.792947759848289e-08
1844,0.0,1.2733462018132968e-07
1845,1.1160455892778032e-09,1.2109094882362115e-07
1846,1.1709002656346001e-09,1.206027264721854e-07
1847,0.0,5.8786137735467037e-08
1848,0.0,5.792559626405236e-08
1849,1.6758829879393033e-09,1.1060827875830626e-07
1850,0.0,1.4121111568954348e-07
1851,4.514607354622058e-09,7.223371611964069e-08
1852,0.0,7.617338360077497e-08
1853,0.0,1.230217976377901e-07
1854,5.195664454227256e-10,1.4703729789289355e-07
1855,5.306937111981824e-10,1.7406753372029016e-07
1856,0.0,1.0768553909690226e-07
1857,0.0,1.3814670118961203e-07
1858,0.0,8.368185694385133e-08
1859,5.092173349652285e-10,1.298504175295534e-07
1860,0.0,8.971280385239311e-08
1861,1.4147891747029462e-09,4.1500482161893615e-08
1862,4.517986262886353e-10,1.572259273885379e-07
