year,faux_ADJ autographes_NOUN
1800,0.0
1801,0.0
1802,0.0
1803,0.0
1804,0.0
1805,0.0
1806,0.0
1807,0.0
1808,0.0
1809,0.0
1810,0.0
1811,0.0
1812,0.0
1813,0.0
1814,0.0
1815,0.0
1816,0.0
1817,0.0
1818,0.0
1819,0.0
1820,0.0
1821,0.0
1822,0.0
1823,0.0
1824,0.0
1825,0.0
1826,0.0
1827,0.0
1828,1.0089530988466322e-08
1829,0.0
1830,0.0
1831,0.0
1832,0.0
1833,0.0
1834,6.534171426153534e-09
1835,0.0
1836,0.0
1837,0.0
1838,1.2624323808552163e-09
1839,0.0
1840,0.0
1841,6.420548537278137e-10
1842,0.0
1843,0.0
1844,0.0
1845,1.8414752389617206e-08
1846,5.093416044488208e-08
1847,1.6179670936367074e-09
1848,0.0
1849,4.608678239037545e-08
1850,0.0
1851,9.029214265154906e-09
1852,3.2552727180501506e-09
1853,0.0
1854,1.8184825645306546e-08
1855,1.0613874223963649e-08
1856,3.624032518523279e-09
1857,2.4407544874094356e-09
1858,8.808616946964776e-09
1859,0.0
1860,5.034902272882391e-09
1861,4.715963730639317e-10
1862,0.0
1863,9.989241656072068e-10
1864,5.6098315326380543e-08
1865,3.2006543193574544e-08
1866,1.9462451206209153e-08
1867,8.298307818677131e-08
1868,3.161519424033088e-08
1869,5.8602230845750114e-08
1870,2.2248110020939293e-07
1871,9.983906346100468e-08
1872,1.874675159552197e-08
1873,3.112722390952172e-08
1874,1.1949218503559678e-08
1875,8.010138052849669e-09
1876,1.874264565771e-08
1877,6.8032977029730546e-09
1878,2.5968081518445985e-08
1879,2.1382638437650314e-08
1880,2.1178893083728667e-08
1881,2.928453102235551e-08
1882,2.1962771157291172e-08
1883,2.84370245129395e-08
1884,1.5183903023796574e-08
1885,1.6114088952079442e-08
1886,2.6459201274420252e-08
1887,5.549586035158427e-08
1888,3.2971195329523084e-08
1889,1.5036328071538207e-08
1890,1.3108772733971819e-08
1891,1.4023283867459213e-08
1892,1.692498341476778e-08
1893,4.310891643655168e-09
1894,1.827446460822557e-08
1895,3.1296794489321655e-08
1896,1.710138358701485e-08
1897,8.157398867503218e-09
1898,2.772593887812036e-08
1899,4.4220627160029835e-08
1900,1.142031669232324e-08
1901,5.029864968975062e-09
1902,3.4371986368242347e-09
1903,7.020286574288548e-09
1904,1.1824175416563776e-08
1905,3.560923822476525e-08
1906,1.388929810053341e-08
1907,2.777135382769913e-08
1908,1.2278472905080662e-08
1909,2.2003934230241384e-09
1910,4.2753204310130855e-09
1911,6.384448969498635e-09
1912,1.3023553235846919e-08
1913,2.6514948014977335e-09
1914,6.696743715117748e-10
1915,2.238344798399794e-08
1916,5.493730803607377e-09
1917,2.1932848870420685e-09
1918,1.1486376294556067e-09
1919,1.8415696745321952e-09
1920,9.843901249695364e-09
1921,0.0
1922,6.6401419362982494e-09
1923,4.246379248229459e-09
1924,1.289162443462999e-09
