year,petits_ADJ airs_NOUN,petits_ADJ fers_NOUN
1800,1.792173822678933e-07,3.458580977167003e-08
1801,1.8335106233280385e-07,7.381665945160876e-08
1802,6.042168365638645e-08,2.2378401354217203e-08
1803,9.166594150400442e-08,7.801356893821776e-09
1804,1.1370514130248921e-07,3.460591457837836e-08
1805,7.675769686521505e-08,0.0
1806,3.9190699663294026e-07,2.881669125542885e-08
1807,1.9643989901396708e-07,2.8469551160981155e-09
1808,1.087715486569607e-07,1.3596443970698147e-08
1809,1.6490922405409947e-07,4.518061036407062e-09
1810,1.3338723192646285e-07,7.020380277111826e-09
1811,1.2033968488367464e-07,6.016983888912364e-08
1812,1.787029546562735e-07,2.6672082320544632e-09
1813,2.386865673997818e-07,2.300593315851529e-08
1814,1.3530711839848664e-07,6.293354104514037e-08
1815,1.6183340889597275e-08,0.0
1816,2.5493642752394408e-08,0.0
1817,1.821541957269801e-07,1.5568733857662664e-08
1818,6.318224166079744e-08,2.5034472272977837e-08
1819,1.418093802385556e-07,2.070210003424222e-09
1820,1.82743802312757e-07,2.254631326081835e-08
1821,1.6863144558509902e-07,1.97229765852569e-09
1822,1.2431763707354548e-07,1.0025615893027862e-08
1823,9.882686669016039e-08,3.9530747564242574e-09
1824,9.768490372152883e-08,1.51580028528997e-08
1825,2.562383940585278e-07,1.1447076175841175e-08
1826,9.953022583886195e-08,7.0463874735082754e-09
1827,6.359918103271411e-08,5.8990548168491586e-08
1828,1.3941897236691148e-07,1.8344602503717056e-09
1829,1.1830983287497432e-07,1.543171707085733e-08
1830,1.857756772860597e-07,8.140732177253085e-08
1831,9.354723573551382e-08,1.2472964883158966e-08
1832,1.1365174401589684e-07,3.111892965534935e-08
1833,8.687721697597794e-08,1.6217079235048004e-08
1834,1.0361329572106115e-07,2.1469420685704677e-08
1835,1.240346492181743e-07,5.7479468296151026e-08
1836,1.1694104951054385e-07,3.1587525484155776e-08
1837,1.2941677152156217e-07,5.5663129217009555e-08
1838,8.016445707248465e-08,1.3949877897267982e-07
1839,1.3773206630762758e-07,8.249940464111205e-08
1840,9.936714623348664e-08,4.713569623504554e-08
1841,8.282507391044192e-08,4.55858959469424e-08
1842,7.312008731830133e-08,3.7566284305512454e-08
1843,5.6706346396318e-08,1.5417037890763652e-07
1844,5.3239045172404076e-08,6.311845623940826e-08
1845,5.357019006169139e-08,1.2109094882362115e-07
1846,7.43521662016633e-08,7.552306957592236e-08
1847,6.148275133455172e-08,3.05256460109149e-07
1848,3.942158599556933e-08,1.995214944372492e-07
1849,2.5976186535103807e-08,9.971503800443315e-08
1850,4.2091777174846357e-08,1.8737628693088482e-07
1851,3.9341575330809064e-08,1.7864945789369813e-07
1852,7.0313888045348e-08,1.4648726676114165e-07
1853,9.555090940693844e-08,1.5825619925635692e-07
1854,7.325886675069171e-08,1.252155126252319e-07
1855,8.066544765483741e-08,1.416952244426284e-07
1856,6.730346280292565e-08,7.765783838209472e-08
1857,7.810414454079151e-08,1.1862067061940706e-07
1858,7.976691640543265e-08,1.2087380052427932e-07
1859,8.198399092940178e-08,5.754155885107082e-08
1860,9.795173458448936e-08,2.325209493836411e-07
1861,9.2432888898486e-08,3.263447032608724e-07
1862,9.939569925454528e-08,1.8252664801821084e-07
1863,1.023897271967833e-07,1.1487627915585108e-07
1864,8.582563137959909e-08,8.582562993630916e-08
1865,5.883555331820389e-08,1.2284863931677492e-07
1866,1.1142253875107144e-07,1.790545584023917e-07
1867,8.443892340892489e-08,4.556790038634517e-07
1868,7.55800723117872e-08,3.5073104909244535e-07
1869,8.106641535832182e-08,5.327919539999115e-07
1870,9.461180727754481e-08,1.9553106289649236e-07
1871,5.2043770182308435e-08,7.328612383616928e-08
1872,6.47065334646868e-08,2.443125078910313e-07
1873,6.883905034893445e-08,1.568333232171426e-07
1874,4.7796871516236905e-08,2.228529143444291e-07
1875,6.980262895472933e-08,3.5931190234261834e-07
1876,9.250402532856583e-08,1.8379884636487986e-07
1877,1.2740720611859047e-07,2.3564149065347095e-07
1878,1.5339284908932882e-07,4.644059091729602e-07
1879,1.1057878879228156e-07,3.604501964682427e-07
1880,8.85662760907735e-08,3.2089230805887325e-07
1881,1.289913882374094e-07,3.0539583406596904e-07
1882,1.0448954412822786e-07,2.1297231933559146e-07
1883,8.720687627583601e-08,2.0474658057878514e-07
1884,8.978307874940583e-08,1.5646021989113024e-07
1885,8.894977576723306e-08,1.9143538332322407e-07
1886,5.872652208971374e-08,3.1105696812749883e-07
1887,7.96528805135921e-08,1.5995865176865465e-07
1888,9.764546771151572e-08,4.0199496709192317e-07
1889,1.0024218788373673e-07,2.1677372608053247e-07
1890,7.734175966334078e-08,1.8417825897731888e-07
1891,6.437962229988159e-08,2.6644239292661354e-07
1892,7.71027024448756e-08,1.2348969469222482e-07
1893,4.249307411496872e-08,1.91526751847082e-07
1894,7.62486271899121e-08,4.08339758450893e-07
1895,7.342709884561316e-08,1.1014064305037152e-07
1896,8.25584047792205e-08,1.7691086856563842e-07
