year,lois_NOUN in_ADJ
1800,6.288328968651058e-09
1801,7.143547975374531e-09
1802,4.2518962573012686e-08
1803,1.1702035562777269e-08
1804,1.2359254952798437e-08
1805,8.528632911009026e-09
1806,0.0
1807,1.1387820464392462e-08
1808,2.2660739951163578e-09
1809,9.036122294858728e-09
1810,0.0
1811,2.5070767684098882e-09
1812,0.0
1813,0.0
1814,0.0
1815,0.0
1816,4.6352077731626196e-09
1817,4.670620334934483e-09
1818,7.152706427149269e-09
1819,6.210629899250364e-09
1820,5.933240565525466e-09
1821,5.9168927535324656e-09
1822,3.0076847679083585e-09
1823,8.894418535021487e-09
1824,5.894778887238772e-09
1825,7.924898959288385e-09
1826,5.284790383086602e-09
1827,1.3825909916942436e-08
1828,7.3378408349533686e-09
1829,1.5431716349212365e-08
1830,6.262101504006523e-09
1831,0.0
1832,1.3529969367098715e-09
1833,4.6334514003376626e-09
1834,5.600718555598405e-09
1835,6.050470346963266e-09
1836,2.016224964762614e-09
1837,2.0873671680021744e-09
1838,1.199310784016916e-08
1839,2.7965900706306e-09
1840,1.7835128929277744e-08
1841,2.5682194149112547e-09
1842,1.7441490030023488e-08
1843,5.31621990873532e-09
1844,6.586273748609983e-09
1845,2.7901139176833567e-09
1846,9.952652035849496e-09
1847,7.011190739092399e-09
1848,2.413566457803995e-09
1849,3.3517659758786067e-09
1850,5.431196825611551e-09
1851,5.159551230704551e-09
1852,2.6042181744401205e-09
1853,2.388772735173461e-09
1854,4.1565315633818045e-09
1855,1.0613874223963649e-09
1856,6.212626857404757e-09
1857,2.9289055625270066e-09
1858,5.3830437884982985e-09
1859,2.036869339860914e-09
1860,1.373155145145688e-09
1861,3.3011746669586728e-09
1862,4.066187830886747e-09
1863,5.494082966350788e-09
1864,4.315255264231155e-09
1865,4.706844358715045e-10
1866,1.4596839292835284e-09
1867,5.338092634588065e-09
1868,6.421836395986702e-09
1869,4.883519366671862e-09
1870,9.747882501187632e-09
1871,7.434824311758348e-09
1872,4.8378714367913744e-09
1873,5.387403856360606e-09
1874,2.9873046258899194e-09
1875,1.716458086775674e-09
1876,2.418405919968336e-09
1877,1.8554447978047506e-09
1878,3.6234530931267273e-09
1879,3.0546627449723474e-09
1880,3.2089231272180996e-09
1881,4.183504653809678e-09
1882,1.3310770263785798e-09
1883,6.319338941018771e-10
1884,3.9610181801208455e-09
1885,1.933690763067375e-09
1886,3.2267319927115068e-09
1887,3.264462256069578e-09
1888,6.340614699951175e-10
1889,1.2530273485467092e-09
1890,3.2771931834929546e-09
1891,2.5496880162734215e-09
1892,6.268512375839919e-09
1893,6.158416554491453e-10
1894,3.150769645188234e-09
1895,1.8055843487019274e-09
1896,2.948514543632541e-09
1897,6.4093846896540185e-09
1898,5.6583548957434e-10
1899,5.527578395003729e-10
1900,1.5573159428683425e-09
1901,2.794369458047896e-09
1902,1.4730852093691738e-09
1903,3.7801539676252105e-09
1904,1.6123875568041512e-09
1905,1.5482277682110634e-09
1906,1.5432553568395235e-09
1907,2.5714217422034835e-09
1908,4.911389073214423e-09
1909,2.200393367512987e-09
1910,4.275320542035388e-09
1911,5.320374252271165e-09
1912,2.604710613862693e-09
1913,4.242391771214216e-09
1914,1.3393487430235496e-09
1915,0.0
1916,3.2962386153911893e-09
1917,2.1932848870420685e-09
1918,5.743188147278033e-09
1919,0.0
1920,3.028892692213958e-09
1921,3.786373714564917e-09
1922,1.4755870969551665e-09
1923,4.246379248229459e-09
1924,3.867487219366694e-09
1925,2.1996355847875293e-09
1926,0.0
1927,3.3447675740205796e-09
1928,3.4278122562625413e-09
1929,2.2280812750352652e-09
1930,3.1510811737689437e-09
1931,0.0
1932,2.1919073223131136e-09
1933,0.0
1934,0.0
1935,0.0
1936,3.6374143697059935e-09
1937,1.2591118148108649e-09
1938,2.5930428915188486e-09
1939,3.058810094103137e-09
1940,0.0
1941,0.0
1942,0.0
1943,2.9032352077962287e-09
1944,6.4263723231761105e-09
1945,2.178504043826024e-09
1946,0.0
1947,4.7683483828109274e-09
1948,2.174377566888097e-09
1949,1.2762110479513922e-08
1950,1.0635361480382244e-09
1951,1.0661401761424827e-09
1952,3.1634410646574906e-09
1953,2.1547654771580937e-09
1954,9.772536113672459e-10
1955,0.0
1956,1.744228317335228e-09
1957,2.6505113104313693e-09
1958,2.4816730892496253e-09
1959,7.750747821333448e-10
1960,6.920833350854139e-10
1961,2.779263708063695e-09
1962,4.439369427622353e-09
1963,3.233026624194224e-09
1964,3.041984220075733e-09
1965,2.188817349590977e-09
1966,3.877352328096606e-09
1967,0.0
1968,1.7965663401398047e-09
1969,2.2708788183223305e-09
1970,2.2993624781975086e-09
1971,5.138397485282553e-10
1972,1.5390440588625154e-09
1973,2.205281512956958e-09
1974,1.687671502548227e-09
1975,1.028066476393974e-08
1976,2.285410749536254e-09
1977,2.3507127355770763e-09
1978,4.75247319275951e-09
1979,7.0223681314374176e-09
1980,4.548120546843393e-09
1981,3.795329828193417e-09
1982,3.1037510339615437e-09
1983,1.89459470334441e-09
1984,1.1598016991243298e-09
