year,combinaisons_NOUN in_ADJ,combinaisons_NOUN fines_ADJ
1800,6.288328968651058e-09,9.432493897065797e-09
1801,0.0,0.0
1802,6.713520406265161e-09,1.1189200677108602e-08
1803,0.0,0.0
1804,2.4718509461507665e-09,0.0
1805,0.0,0.0
1806,0.0,2.881669125542885e-09
1807,0.0,1.9928686256776018e-08
1808,9.064295980465431e-09,4.5321479902327155e-09
1809,0.0,6.7770917766551975e-09
1810,4.680253518074551e-09,2.106114038724627e-08
1811,2.5070767684098882e-09,0.0
1812,5.3344164641089264e-09,2.6672082320544632e-09
1813,5.751483289628823e-09,5.751483289628823e-09
1814,6.293354282149721e-09,0.0
1815,0.0,5.394447111228828e-09
1816,0.0,2.3176038865813098e-09
1817,1.556873407970727e-09,0.0
1818,1.1921177378582115e-09,2.1458118837358597e-08
1819,3.1053151161586356e-09,8.280840013696888e-09
1820,2.3732962262101864e-09,3.5599443393152796e-09
1821,0.0,1.1833785507064931e-08
1822,0.0,4.010246357211145e-09
1823,0.0,2.9648061783404955e-09
1824,0.0,3.3684450784221553e-09
1825,8.805443041381977e-10,1.4969252504215547e-08
1826,1.7615968683770689e-09,7.0463874735082754e-09
1827,0.0,2.7651818612639545e-09
1828,1.8344602503717056e-09,0.0
1829,1.714635211591542e-09,1.2002446148073886e-08
1830,0.0,1.0436835840010872e-09
1831,0.0,0.0
1832,0.0,2.705993873419743e-09
1833,0.0,0.0
1834,9.334530925997342e-10,0.0
1835,0.0,7.563087933704082e-10
1836,6.720750067579218e-10,6.720750067579218e-10
1837,0.0,0.0
1838,6.312161904276081e-10,1.8936485712828244e-09
1839,7.690622361167243e-09,6.9914751765765e-10
1840,0.0,2.5478754661634184e-09
1841,0.0,4.494383976094696e-09
1842,6.708265054555795e-10,0.0
1843,1.1813822142769936e-09,5.906911071384968e-10
1844,2.195424508855126e-09,0.0
1845,2.7901139176833567e-09,0.0
1846,5.854501328173001e-10,0.0
1847,1.0786447290911383e-09,4.853901280910122e-09
1848,0.0,0.0
1849,0.0,0.0
1850,3.394498016007219e-09,0.0
1851,1.9348316282474798e-09,0.0
1852,0.0,0.0
1853,6.569124799682413e-09,0.0
1854,5.195664454227256e-10,4.676098175337984e-09
1855,0.0,0.0
1856,3.6240324075009767e-09,1.0354378687793542e-08
1857,0.0,4.393358121745905e-09
1858,0.0,4.893676019968041e-10
1859,0.0,0.0
1860,4.577183909670879e-10,0.0
1861,4.715963730639317e-10,0.0
1862,1.8071945051545413e-09,1.8071945051545413e-09
1863,0.0,0.0
1864,0.0,0.0
1865,0.0,0.0
1866,4.865612912574591e-10,0.0
1867,0.0,0.0
