year,ses_DET airs_NOUN,ses_DET fers_NOUN
1800,3.018397904952508e-07,1.7795970492784363e-06
1801,4.143257559263702e-07,1.900183657088661e-06
1802,2.4616241489638924e-07,1.497114993753712e-06
1803,4.21273259831878e-07,1.9288855384047565e-06
1804,7.464990119387949e-07,1.3273839343241889e-06
1805,3.098736751638853e-07,1.4299675115125865e-06
1806,5.503988118604752e-07,1.587799701496806e-06
1807,2.4768510797912313e-07,1.4889575741250383e-06
1808,3.512414803452657e-07,1.3505801002011708e-06
1809,2.868968715930009e-07,1.305719584898668e-06
1810,4.422839516848853e-07,1.5374633228759649e-06
1811,5.114436874009698e-07,1.4139912902777496e-06
1812,6.134579066952028e-07,1.1602355751705318e-06
1813,7.620715223310981e-07,1.7196935520047418e-06
1814,2.832009533548785e-07,1.976113328083784e-06
1815,1.7531953111493692e-07,1.3297311793891708e-06
1816,3.569109896517375e-07,8.64466244365758e-07
1817,3.3939841515007174e-07,1.5381908795575328e-06
1818,3.6598014663269396e-07,1.2159600659700232e-06
1819,3.0949639295840825e-07,1.520569234969571e-06
1820,3.548077778248171e-07,2.0778207598937115e-06
1821,2.504818059634317e-07,1.512752346499724e-06
1822,4.661911532366503e-07,1.5599858755876994e-06
1823,5.297120146963152e-07,1.4992036438954415e-06
1824,2.5937027459121964e-07,1.690959384959001e-06
1825,3.2492083512636327e-07,1.650140045938997e-06
1826,2.1051082210732375e-07,1.4057543396006622e-06
1827,2.2213627737244224e-07,1.3374263279075649e-06
1828,2.5315550056248526e-07,1.361169495339709e-06
1829,2.9491725683783443e-07,1.0176360305536036e-06
1830,4.039055490068222e-07,1.3473955249310166e-06
1831,2.8064169654840043e-07,9.635364994764473e-07
1832,2.273034804822771e-07,1.0823975333806857e-06
1833,2.8495726667188137e-07,1.1618379103239818e-06
1834,2.174945723520949e-07,1.239625723847837e-06
1835,2.8134687113379186e-07,1.1836232758355436e-06
1836,3.461186359743351e-07,1.0645668320208301e-06
1837,2.1847777098571441e-07,8.822605979119658e-07
1838,2.3165634388533363e-07,1.0358257647169467e-06
1839,2.929428202236295e-07,9.501414481860593e-07
1840,2.3695241679888568e-07,9.91760494173377e-07
1841,3.017657759230019e-07,1.0035317297152346e-06
1842,3.474881253850981e-07,9.364737971750969e-07
1843,3.904468250937043e-07,8.169257843526623e-07
1844,3.534633599144854e-07,1.0966145307378383e-06
1845,2.812434836130251e-07,1.0262039555897218e-06
1846,2.8452876144058337e-07,1.0309777280781418e-06
1847,1.9361672976003774e-07,1.0716335232530128e-06
1848,2.856053598065955e-07,8.085447706918103e-07
1849,3.0584863974780774e-07,7.088984768088835e-07
1850,2.0910107512150944e-07,7.189547037711463e-07
1851,2.1154158513780885e-07,6.99119164337958e-07
1852,2.975319315368097e-07,8.027502724772262e-07
1853,3.3084501804836464e-07,7.232009275881524e-07
1854,3.205725054300501e-07,8.177975754364297e-07
1855,4.24554979616687e-07,8.905040473905501e-07
1856,3.6861587382475136e-07,8.44399542287988e-07
