year,fois_NOUN in_ADJ,fois_NOUN fines_ADJ
1800,0.0,3.144164484325529e-09
1801,2.8574191901498125e-08,0.0
1802,6.713520406265161e-09,2.2378401354217203e-09
1803,3.510610468993036e-08,0.0
1804,3.213406074564773e-08,0.0
1805,3.695740957709859e-08,1.1371510844071508e-08
1806,2.881669125542885e-09,0.0
1807,2.8469551160981155e-09,0.0
1808,2.039466551195801e-08,0.0
1809,1.129515236897305e-08,0.0
1810,5.3822915901946544e-08,9.360507036149102e-09
1811,4.011322829455821e-08,7.521229861140455e-09
1812,8.00162425207418e-09,0.0
1813,1.4378707646756084e-07,0.0
1814,9.440030979135372e-09,9.440030979135372e-09
1815,0.0,2.697223555614414e-09
1816,4.6352077731626196e-09,2.3176038865813098e-09
1817,1.401186100480345e-08,0.0
1818,1.1921176934492905e-08,0.0
1819,3.519356894798875e-08,0.0
1820,2.1359666035891678e-08,0.0
1821,3.550135829755163e-08,0.0
1822,5.714601059025881e-08,0.0
1823,9.190898708766326e-08,0.0
1824,1.6000115010683658e-08,0.0
1825,1.7610886970942374e-08,1.7610886082763955e-09
1826,2.9947145985254053e-08,4.403992281964975e-09
1827,1.2904182611350734e-08,9.217273055917019e-10
1828,2.5682443394181576e-08,0.0
1829,8.573175946935407e-09,0.0
1830,1.3567886369969528e-08,0.0
1831,1.5591206103948707e-09,1.091384405071949e-08
1832,1.0823975493678972e-08,1.3529969367098715e-09
1833,1.1583628278799551e-08,2.3167257001688313e-09
1834,1.5868701908061666e-08,1.8669061851994684e-09
1835,6.050470346963266e-09,0.0
1836,2.688300071440608e-08,2.016224964762614e-09
1837,4.174734336004349e-09,6.957890930081589e-10
1838,2.3986215902382924e-08,1.8936485712828244e-09
1839,2.7266752411492234e-08,2.7965900706306e-09
1840,1.5924221219432155e-08,3.821813088222825e-09
1841,1.219904177673925e-08,1.2841097074556274e-09
1842,1.2074877098200432e-08,4.024959032733477e-09
1843,2.8943865137964764e-08,5.906911071384968e-10
1844,2.030767731753258e-08,6.586273748609983e-09
1845,1.84147520565503e-08,8.37034175305007e-09
1846,1.4636253542477107e-08,5.854501328173001e-10
1847,2.8584086209093584e-08,0.0
1848,1.448139919091318e-08,4.82713291560799e-09
1849,2.76520690789539e-08,8.379414939696517e-10
1850,1.4935791270431764e-08,9.504594444820214e-09
1851,4.063146263888484e-08,1.2898877521649865e-09
1852,1.4974254725075298e-08,9.765818376195057e-09
1853,8.957897534855874e-09,1.4929829816878737e-08
1854,2.5978321716024766e-08,2.5978321716024766e-09
1855,1.2205955357558196e-08,5.837630823180007e-09
1856,7.765783571755946e-09,1.0354378465748937e-09
1857,9.274867318609381e-09,2.4407544874094356e-09
1858,3.523446590047996e-08,9.787352039936081e-10
1859,1.3239650931140545e-08,4.582956236731661e-09
1860,1.3731552062079544e-08,5.950338888283113e-09
1861,1.226150558863992e-08,2.357981809808507e-09
1862,1.581295272501393e-08,9.035972525772706e-10
1863,1.048870412745373e-08,9.989241656072068e-10
1864,1.3425237921360633e-08,1.2945765348604255e-08
