year,seuls_ADJ fils_NOUN
1800,1.5720821977538435e-08
1801,2.1430643926123594e-08
1802,6.713520406265161e-09
1803,3.1205427575287104e-08
1804,1.9774807569206132e-08
1805,8.528632911009026e-09
1806,6.051504897186533e-08
1807,5.693910232196231e-09
1808,4.5321479902327155e-09
1809,6.7770917766551975e-09
1810,0.0
1811,1.2535384286138651e-08
1812,1.3336041604361526e-08
1813,8.627225156487839e-09
1814,0.0
1815,5.664169577812572e-08
1816,0.0
1817,3.113746815941454e-09
1818,2.98029441125891e-08
1819,8.280840013696888e-09
1820,2.610625848831205e-08
1821,3.648750634965836e-08
1822,1.303330066093622e-08
1823,3.063632902922109e-08
1824,5.052667617633233e-09
1825,1.584979791857677e-08
1826,1.6735169694470642e-08
1827,7.373818444733615e-09
1828,7.337841001486822e-09
1829,6.344150449422159e-08
1830,4.696576283436116e-08
1831,1.5591206103948707e-09
1832,8.117981842303834e-09
1833,1.3900354645102198e-08
1834,2.0535967593104942e-08
1835,1.663879345414898e-08
1836,4.368487438455304e-08
1837,2.2265250976261086e-08
1838,5.680945491803868e-09
1839,3.076248944466897e-08
1840,3.758116307039927e-08
1841,2.0545755319290038e-08
1842,6.708265054555795e-09
1843,4.134837805480629e-09
1844,2.4149668931272572e-08
1845,1.2834524554250493e-08
1846,1.2879903366069811e-08
1847,9.168480197274675e-09
1848,1.6090443422100975e-09
1849,2.1786478399121734e-08
1850,1.425689166723032e-08
1851,1.0319102017319892e-08
1852,1.1067927019325907e-08
1853,1.851298847554972e-08
1854,1.8184826089395756e-08
1855,1.2736649068756378e-08
1856,3.2616291889553395e-08
1857,1.3180074809326925e-08
1858,3.76813069635773e-08
1859,2.1387128512628806e-08
1860,1.0985241161165504e-08
1861,1.226150558863992e-08
1862,1.1294965851504912e-08
1863,1.9479021062807078e-08
1864,6.233146443435089e-09
1865,3.3418594114209554e-08
1866,9.731225825149181e-10
1867,1.7955402498159856e-08
1868,7.903798504571569e-09
1869,5.860222973552709e-09
1870,9.747882501187632e-09
1871,3.18635318130589e-09
1872,3.628403577593531e-09
1873,1.6760813181804224e-08
1874,1.2546679251101978e-08
1875,6.865832347102696e-09
1876,1.269663130187837e-08
1877,4.9478527941460015e-09
1878,8.4547240319921e-09
1879,4.887460214320072e-09
1880,1.2835692508872398e-08
1881,9.761510710859511e-09
1882,9.317538740560849e-09
1883,1.9589950994713945e-08
1884,1.650424152899177e-08
1885,1.160214413431504e-08
1886,1.097088819790315e-08
1887,1.0446279397058333e-08
1888,5.07249175996094e-09
1889,6.265136853755848e-09
1890,8.520702365899524e-09
1891,5.099376032546843e-09
1892,9.402768341715273e-09
1893,2.7097032173628577e-08
1894,1.3233232287745977e-08
1895,1.2639090662958097e-08
1896,1.4152869098893461e-08
1897,9.905413378419325e-09
1898,1.0750873968845553e-08
1899,2.2110313580014918e-08
1900,1.9206897405865675e-08
1901,1.7883964531506535e-08
1902,2.6024505217492333e-08
1903,2.9161189019077938e-08
1904,9.674325340824907e-09
1905,1.651442893546573e-08
1906,5.144184633820714e-09
1907,1.3885677496716653e-08
1908,8.349361202419914e-09
1909,2.0903737407707013e-08
1910,1.1757131268552712e-08
1911,1.4365010514438836e-08
1912,2.135862686714063e-08
1913,9.015082902408267e-09
1914,1.9420557606508737e-08
1915,1.6493066468115103e-08
1916,1.7579939282086343e-08
1917,1.2063066989753679e-08
1918,1.8378202071289707e-08
1919,2.6702760891339494e-08
1920,1.1358347151713133e-08
1921,1.060184651180407e-08
1922,2.2133805899215986e-09
1923,2.229349149729387e-08
1924,2.0626599095407983e-08
1925,1.4297631523163545e-08
1926,2.3406890647947876e-08
1927,1.0034302277972529e-08
1928,7.998228745975666e-09
1929,1.1140405931087116e-08
1930,1.2604324695075775e-08
1931,5.7026783295555106e-09
1932,1.2055489939655217e-08
1933,2.2941324395731044e-09
1934,2.3963160344919743e-09
1935,9.574627313213568e-09
1936,6.0623572828433225e-09
1937,1.1332006444320086e-08
1938,3.8895642262559704e-09
1939,7.647025235257843e-09
1940,7.607348528892999e-09
1941,2.066051862925633e-08
1942,6.068423541449874e-09
1943,2.9032352077962287e-09
1944,1.2852744646352221e-08
1945,2.178504132643866e-08
1946,8.352662561605939e-09
1947,9.536696765621855e-09
1948,1.522064252412747e-08
1949,5.890204768377316e-09
1950,2.0207187034770868e-08
1951,1.3859822622919182e-08
1952,1.7926167217297007e-08
1953,1.8315507332999914e-08
1954,1.5636057781875934e-08
1955,9.385607846468247e-09
1956,1.3953826538681824e-08
1957,1.0602045463770082e-08
1958,3.060729980575161e-08
1959,8.525822714489095e-09
1960,1.5225833038812198e-08
1961,1.459113452284555e-08
1962,2.2831043722248978e-08
1963,7.759263453976928e-09
1964,1.2167936880302932e-08
1965,1.6963333848707407e-08
1966,1.2185964237687585e-08
1967,1.3804939413830652e-08
1968,1.9313088017725022e-08
1969,1.7712855182594467e-08
1970,1.5175793066646293e-08
1971,1.1818314327172175e-08
1972,1.1799337507056862e-08
1973,8.821126051827832e-09
1974,7.313243344242437e-09
1975,2.3988217634496323e-08
1976,1.314111219841152e-08
1977,1.1165885105413054e-08
1978,2.0198010375338527e-08
1979,1.580032815695631e-08
1980,1.5349906234973787e-08
1981,1.644642821929665e-08
1982,1.4898005495922462e-08
1983,2.3366668600033336e-08
1984,1.5077421977593986e-08
1985,1.2031115659283387e-08
1986,1.4386765556650971e-08
1987,2.4443266966045485e-08
1988,1.2592763276586538e-08
1989,2.030605195102453e-08
1990,1.471135746555774e-08
1991,1.1722930182145319e-08
1992,1.1570882918476855e-08
1993,1.3848018731721368e-08
1994,1.0549853435293244e-08
1995,2.3858783393393423e-08
1996,2.882569738460461e-08
1997,8.630809844589749e-09
1998,1.7642078020685403e-08
1999,1.4624643718263997e-08
2000,9.277866475088103e-09
2001,1.445799924226776e-08
2002,2.8039817578928705e-08
2003,9.58392298855415e-09
2004,1.805964444656638e-08
2005,1.8915748967174295e-08
2006,1.976587071794711e-08
2007,2.2768533725070483e-08
2008,8.940623352771127e-09
2009,1.5258216023994464e-08
2010,1.5116137674908714e-08
2011,1.185431308670104e-08
