year,diverses_ADJ âmes_NOUN,diverses_ADJ ames_NOUN,diverses_ADJ femmes_NOUN
1800,0.0,0.0,0.0
1801,0.0,2.3811825844433088e-09,0.0
1802,0.0,0.0,1.7902721083373763e-08
1803,0.0,0.0,1.5602713787643552e-08
1804,0.0,0.0,3.213406252200457e-08
1805,0.0,0.0,7.391482248486625e-08
1806,0.0,0.0,2.881669125542885e-09
1807,0.0,0.0,8.540865792383556e-09
1808,0.0,0.0,1.1330369531492579e-08
1809,0.0,0.0,0.0
1810,0.0,0.0,1.8721014072298203e-08
1811,0.0,0.0,3.008491944456182e-08
1812,0.0,0.0,0.0
1813,0.0,0.0,7.189353823378042e-08
1814,0.0,0.0,0.0
1815,1.8880564667256294e-08,2.697223555614414e-09,1.3486118000116676e-08
1816,0.0,0.0,1.622322720606917e-08
1817,0.0,0.0,1.0898113522728181e-08
1818,0.0,1.3113295338484932e-08,1.7881765401739358e-08
1819,0.0,0.0,2.794783426907088e-08
1820,0.0,8.306536791735653e-09,2.3732962262101864e-08
1821,0.0,0.0,5.9168927535324656e-09
1822,0.0,0.0,8.02049271442229e-09
1823,0.0,9.882686891060644e-10,8.103803139647425e-08
1824,0.0,0.0,9.263223965660927e-09
1825,1.1447076175841175e-08,0.0,3.169959583715354e-08
1826,0.0,6.1655889282974385e-09,7.927186018719112e-09
1827,0.0,0.0,1.1982455028203276e-08
1828,0.0,9.172301251858528e-10,4.586150570418113e-09
1829,1.714635211591542e-09,0.0,3.429270423183084e-09
1830,0.0,5.218417697960831e-09,1.3567886369969528e-08
1831,0.0,0.0,9.354723218280014e-09
1832,0.0,4.058990921151917e-09,5.411987746839486e-09
1833,1.6217079235048004e-08,2.3167257001688313e-09,3.4750886612755494e-08
1834,0.0,1.8669061851994684e-09,1.0267983796552471e-08
1835,7.563087933704082e-10,0.0,1.1344631900556124e-08
1836,0.0,4.032449929525228e-09,1.747394939854985e-08
1837,5.5663127440652715e-09,0.0,2.574419688539109e-08
1838,0.0,1.8936485712828244e-09,4.607878167917079e-08
1839,2.0974426639952526e-09,0.0,2.7965899818127582e-08
1840,5.732719632334238e-09,1.9109065441114126e-09,2.5478755105723394e-08
1841,0.0,6.420548537278137e-10,3.0818632978935057e-08
1842,2.683306021822318e-09,0.0,2.3478927246856074e-08
1843,1.2995204023980023e-08,0.0,2.008349753168659e-08
1844,3.2931368743049916e-09,0.0,3.567564732520623e-08
1845,7.254296274794569e-09,0.0,3.9061593959388574e-09
1846,1.7563503984519002e-09,0.0,2.4003455223464698e-08
1847,5.9325460100012606e-09,0.0,1.77976389181822e-08
1848,3.218088684420195e-09,0.0,1.930853166243196e-08
1849,2.513824481908955e-09,0.0,2.4300303991253713e-08
1850,6.788996032014438e-09,0.0,1.2899092460827433e-08
1851,1.2898877521649865e-09,0.0,1.9993260380601896e-08
1852,0.0,0.0,1.6927417689771573e-08
