year,tes_DET eaux_NOUN,tes_DET faux_ADJ
1800,9.118076960135113e-08,0.0
1801,8.09602078710725e-08,0.0
1802,7.161088433349505e-08,0.0
1803,4.290746247193056e-08,0.0
1804,1.1864884319479074e-07,4.943701892301533e-09
1805,5.1171799242411e-08,2.842877711017877e-09
1806,1.613734639249742e-07,0.0
1807,7.686778946691675e-08,0.0
1808,7.93125889408941e-08,0.0
1809,7.228897924704825e-08,0.0
1810,4.680253340438867e-08,0.0
1811,1.2033968488367464e-07,2.5070767684098882e-09
1812,8.801787032552966e-08,0.0
1813,3.738464204872116e-08,0.0
1814,6.293354060105116e-08,3.4613449884091096e-08
1815,4.315557666778602e-08,5.394447111228828e-09
1816,4.4034475621401725e-08,0.0
1817,6.538868291272593e-08,0.0
1818,8.821671082515081e-08,1.1921177378582115e-09
1819,1.3870406911919986e-07,1.035105001712111e-09
1820,9.849179338772274e-08,5.933240565525466e-09
1821,8.678109963966563e-08,2.9584463767662328e-09
1822,9.825103575167304e-08,2.105379337535851e-08
1823,6.226093063332883e-08,9.882686891060644e-10
1824,6.821101017351339e-08,9.263223965660927e-09
1825,5.3713204550831506e-08,3.522177216552791e-09
1826,6.253668771716292e-08,8.807984341885344e-10
1827,3.8712546668318026e-08,5.530363722527909e-09
1828,7.796455747666187e-08,1.834460228167245e-08
1829,4.029392802751275e-08,0.0
1830,8.036363396968227e-08,1.0436835840010872e-09
1831,9.822459645647541e-08,3.1182412207897414e-09
1832,1.1500473662273691e-07,2.705993873419743e-09
1833,1.042526562855528e-07,0.0
1834,9.241185949804276e-08,2.8003592777992026e-09
1835,7.865611451052246e-08,0.0
1836,1.1290860368884381e-07,1.1425274948351216e-08
1837,5.0096812920230605e-08,1.6698937344017395e-08
1838,6.627769821854201e-08,1.1361890983607736e-08
1839,5.523265422802126e-08,6.292327547896548e-09
1840,5.6690230731959446e-08,1.2739377330817092e-09
1841,9.759233554618163e-08,5.1364388298225094e-09
1842,9.324488292605793e-08,5.366612043644636e-09
1843,8.44688284873385e-08,4.7255288571079745e-09
1844,7.354671988091255e-08,2.195424508855126e-09
1845,3.9061594403477784e-08,5.580227835366713e-09
1846,6.088681048233013e-08,4.0981511517657054e-09
1847,5.8786138623645456e-08,1.0786447290911383e-09
1848,5.3098462293732496e-08,1.6090443422100975e-09
1849,7.960444037280467e-08,2.513824481908955e-09
1850,8.554135177973876e-08,1.3577992064028876e-09
1851,6.513933392682247e-08,3.2247193804124663e-09
1852,7.877760155317048e-08,3.906327261660181e-09
1853,8.360704462084811e-08,4.180352064508952e-09
1854,4.9358813924982314e-08,1.0391328908454511e-09
1855,8.384960636931282e-08,1.5920811335945473e-09
1856,9.16362518088576e-08,4.659470143053568e-09
1857,9.763017866371015e-08,2.4407544874094356e-09
1858,7.732008361349685e-08,2.4468380654951716e-09
1859,1.0591720789321357e-07,1.5276520048956854e-09
1860,1.0664838567819857e-07,4.57718396518203e-09
1861,7.215424258077974e-08,9.431927461278633e-10
1862,7.951656066929047e-08,1.3553959066214816e-09
1863,7.541877578010059e-08,1.9978483312144135e-09
1864,8.198985135265957e-08,1.0068928801842958e-08
1865,7.578019589615792e-08,3.765475486972036e-09
1866,7.68766869052584e-08,4.865612912574591e-10
1867,7.4248015735634e-08,8.249779526181555e-09
