year,ces_DET arts_NOUN,ces_DET phares_NOUN
1800,1.8613453391935764e-06,1.8864986461863964e-08
1801,1.0715321216991924e-06,9.524730337773235e-09
1802,1.8036990923064877e-06,1.1189200677108602e-08
1803,1.5290658978983629e-06,9.751696339321825e-09
1804,1.7846763444850922e-06,2.4718509461507665e-09
1805,1.239494731741786e-06,2.842877711017877e-09
1806,1.455242912840049e-06,1.729001475325731e-08
1807,1.79642871245278e-06,2.2775640928784924e-08
1808,1.4253605664649172e-06,6.798221985349073e-09
1809,1.19954516009102e-06,4.518061036407062e-09
1810,1.2683486758646723e-06,3.2761775514700275e-08
1811,1.1432269886313406e-06,1.178326058948187e-07
1812,1.2509206577249188e-06,2.1337665856435706e-08
1813,9.489947192520276e-07,0.0
1814,1.0352568011740004e-06,3.1466771410748606e-09
1815,1.057311649788062e-06,8.091670666843243e-09
1816,8.204317882842815e-07,4.6352077731626196e-09
1817,1.3217855674430012e-06,1.245498748581042e-08
1818,1.2493393768409078e-06,1.0729059640723904e-08
1819,1.2711089310002421e-06,2.6912730377581795e-08
1820,1.121382496194201e-06,3.441279616822612e-08
1821,1.0315116751868914e-06,3.648750634965836e-08
1822,1.150940676097889e-06,3.0076847679083585e-09
1823,1.1701101758632149e-06,4.8425167209487086e-08
1824,8.867431589010266e-07,3.705289586264371e-08
1825,1.0689807763419878e-06,5.6354835908933865e-08
1826,1.0366997047484006e-06,9.336463335785083e-08
1827,9.49379131753858e-07,7.465991513910808e-08
1828,8.016591381831972e-07,3.11858245893859e-08
1829,9.224737400614913e-07,4.11512446341078e-08
1830,9.560141460696059e-07,4.4878393001823724e-08
1831,5.924658061928767e-07,9.354723218280014e-09
1832,9.227439328185483e-07,1.8941957335982806e-08
1833,7.274518623034965e-07,4.170106215894975e-08
1834,8.130376194515065e-07,4.387229446400909e-08
1835,5.952150203825113e-07,5.067268915581735e-08
1836,6.828282295145982e-07,2.0162249814159594e-08
1837,7.076175028153386e-07,2.1569462660409044e-08
1838,6.514151209557895e-07,1.3886755967362774e-08
1839,5.900805231107142e-07,2.4470163229040054e-08
1840,6.095791853510946e-07,2.86635986057604e-08
1841,5.951848325302933e-07,2.5040139739473943e-08
1842,4.467704446398102e-07,2.3478927690945284e-08
1843,6.73978572729439e-07,1.8902114762298083e-08
1844,5.565400993390313e-07,7.409557589710403e-08
1845,7.07014885081847e-07,2.1204865863211353e-08
1846,6.000863805866175e-07,3.102885770545072e-08
1847,6.293891754438619e-07,3.235934187273415e-08
1848,5.165032396781122e-07,2.57447089757612e-08
1849,3.242833592764782e-07,4.6924723218211284e-08
1850,4.344957575952435e-07,7.467895635215882e-09
1851,3.9470566459698375e-07,4.4501126561513615e-08
1852,7.089983879993156e-07,2.9948509006061386e-08
1853,4.5147804250689205e-07,2.329053394589664e-08
1854,5.107338427734476e-07,6.286753961859404e-08
1855,4.0491930874964055e-07,6.156047049898916e-08
1856,5.146126251798222e-07,6.21262697952929e-08
1857,4.246912914673828e-07,5.4184750242214363e-08
1858,4.0862194339297275e-07,4.942612896741139e-08
1859,4.6593385127913223e-07,4.8375645933518285e-08
1860,3.290995254923157e-07,5.4926207360139756e-08
1861,4.381130196406957e-07,3.7256113749606357e-08
1862,3.876432206617597e-07,3.478849575078158e-08
1863,6.258259830360657e-07,1.997848309009953e-08
1864,4.5166336803958984e-07,5.84956811877646e-08
1865,4.664482635696743e-07,3.3418595890566394e-08
1866,4.7147790382950916e-07,6.519921313952182e-08
1867,4.590759523637189e-07,4.804283548764943e-08
1868,3.1318800441937356e-07,6.61943131419207e-08
1869,5.025141289749513e-07,5.616047005219116e-08
1870,3.348684387560752e-07,1.2729588227955446e-07
1871,2.432249637251971e-07,5.735435726350602e-08
1872,3.815871147949679e-07,3.386509872527199e-08
1873,2.615884079903985e-07,2.7535621227592344e-08
1874,2.8080661990115274e-07,2.2703515067945546e-08
1875,5.280969359588994e-07,2.0597497041308088e-08
1876,4.0387378996697976e-07,2.6602465119651697e-08
1877,4.434513168893872e-07,6.741449443126157e-08
1878,4.5172382234781594e-07,6.582606637550725e-08
1879,3.384566169550851e-07,3.543408599870901e-08
1880,3.587576093977418e-07,3.9790646333415225e-08
1881,3.555978729252729e-07,9.552335455964567e-08
1882,3.354314088710453e-07,4.1263388261825185e-08
1883,3.1975855208088433e-07,6.12975865621479e-08
1884,2.581263576217907e-07,5.479408393682661e-08
1885,2.855416685321188e-07,3.416186888927086e-08
1886,3.2977200170591914e-07,2.1296431285122708e-08
1887,2.4026443079527837e-07,1.958677359192862e-08
1888,2.2382369735396423e-07,3.29711959956569e-08
1889,3.7152261755935e-07,3.3205224347909734e-08
1890,3.0019089347632644e-07,5.243509360042253e-08
