year,longs_ADJ fils_NOUN
1800,5.345079756580162e-08
1801,5.9529565277216534e-08
1802,5.818384352096473e-08
1803,6.241085515057421e-08
1804,8.404293083685843e-08
1805,2.55858996212055e-08
1806,4.3225035994964855e-08
1807,7.402083213037258e-08
1808,5.6651849433819734e-08
1809,8.132509776714869e-08
1810,2.8081521108447305e-08
1811,5.766276700569506e-08
1812,5.601137331723294e-08
1813,6.326631307729258e-08
1814,1.8880061958270744e-08
1815,2.697223555614414e-09
1816,1.8309070526356663e-07
1817,4.0478710161551135e-08
1818,6.318224166079744e-08
1819,3.726378139390363e-08
1820,3.085285271708926e-08
1821,6.311352507282209e-08
1822,1.7043547018147365e-08
1823,2.9648060007048116e-08
1824,3.115811608722652e-08
1825,1.937197424695114e-08
1826,1.5854372037438225e-08
1827,2.1199728195142598e-08
1828,7.704733206992387e-08
1829,3.257806824308318e-08
1830,3.861629238599562e-08
1831,1.3252525832285755e-07
1832,6.3590853471851e-08
1833,8.340212787061319e-08
1834,3.080395316601425e-08
1835,4.61348363955949e-08
1836,4.5029025841358816e-08
1837,5.5663129217009555e-08
1838,3.28232410140572e-08
1839,7.760537101830778e-08
1840,3.758116307039927e-08
1841,5.97110982880622e-08
1842,6.439934452373564e-08
1843,4.371114314949409e-08
1844,4.9397051782307244e-08
1845,7.365900955846882e-08
1846,5.561776106333127e-08
1847,5.069630049092666e-08
1848,5.470750608083108e-08
1849,5.53041381579078e-08
1850,2.1045888587423178e-08
1851,7.481349229010448e-08
1852,7.617337871579366e-08
1853,5.1955808544335014e-08
1854,7.689583725323246e-08
1855,6.899018245576372e-08
1856,7.403380664072756e-08
1857,6.053070933376148e-08
1858,4.600055447667728e-08
1859,5.1940169498720934e-08
1860,6.179197953315452e-08
1861,5.989274143303192e-08
1862,5.602302977081308e-08
1863,4.4452125536054155e-08
1864,6.185199197261682e-08
1865,7.719224726088214e-08
1866,4.6223323835192787e-08
1867,8.589476152565112e-08
1868,4.1494942593089945e-08
1869,4.49283774628384e-08
1870,4.12851512976431e-08
1871,4.0360472297606975e-08
1872,6.954439868422924e-08
1873,4.2500630570430076e-08
1874,4.600449088343339e-08
1875,5.263805036292979e-08
1876,8.04119935082781e-08
1877,9.21537548492779e-08
1878,3.563062378475479e-08
1879,6.964630472339195e-08
1880,7.25216651176197e-08
1881,7.878933416805012e-08
1882,7.320923600673268e-08
1883,8.720687816321515e-08
1884,7.063815843366683e-08
1885,5.285421167400273e-08
1886,7.7441569601433e-08
1887,1.13603285001318e-07
1888,5.960177773545183e-08
1889,7.016953418315097e-08
1890,7.013193226157455e-08
1891,9.561330216456554e-08
1892,8.963972675246623e-08
1893,8.375446469699455e-08
1894,6.490585491292222e-08
1895,6.439917399347905e-08
1896,7.253345302160596e-08
1897,6.817254671886985e-08
1898,8.091447512015293e-08
1899,5.693405569218157e-08
1900,6.281174336209006e-08
1901,1.1401027677493403e-07
1902,5.990546014800202e-08
1903,5.022204874194358e-08
1904,5.535864033845428e-08
1905,4.283430143914302e-08
1906,7.767718557261105e-08
1907,6.788553008618692e-08
1908,5.549869541709995e-08
1909,6.491160320365452e-08
1910,6.893954207498609e-08
1911,6.810078900798544e-08
1912,6.615965020273507e-08
1913,5.780258760523793e-08
1914,4.3528835647066444e-08
1915,4.005459075528961e-08
1916,6.043104150421641e-08
1917,6.031533672512523e-08
1918,9.533692235663693e-08
1919,6.44549373873815e-08
1920,5.4520068459851245e-08
1921,6.058198209757393e-08
1922,6.271245212019494e-08
1923,6.900366145146108e-08
1924,6.316896161706609e-08
1925,4.9491799103407175e-08
1926,6.799144358637932e-08
1927,6.578042643923254e-08
1928,6.284322751071159e-08
1929,8.021092412491271e-08
1930,3.2561171536826805e-08
1931,3.5356606531422585e-08
1932,6.685317543997371e-08
1933,5.850037609889114e-08
1934,3.714289675826876e-08
1935,5.744776387928141e-08
1936,4.607391446143083e-08
1937,3.399602022113868e-08
1938,5.0564334941327616e-08
1939,5.199976982339649e-08
1940,4.3108308034334186e-08
1941,6.788455664263893e-08
1942,5.76500234217292e-08
1943,8.419382169222445e-08
1944,4.177142187700156e-08
1945,3.485606470121638e-08
1946,3.7586982415405146e-08
1947,5.9604353452868963e-08
1948,4.67491183542279e-08
1949,3.141442661558358e-08
1950,5.636741562398129e-08
1951,4.371174711081949e-08
1952,3.796129277588989e-08
1953,5.8178667217134716e-08
1954,6.352148318455875e-08
1955,3.566530892840092e-08
1956,3.314033847345854e-08
1957,3.534015036166238e-08
1958,4.1361218450219894e-08
1959,3.5653439312000046e-08
1960,3.944875004435744e-08
1961,3.960450811746341e-08
1962,5.580921680348183e-08
1963,4.4615767080813384e-08
1964,3.589541464066315e-08
1965,4.049311996823235e-08
1966,4.763604266599941e-08
1967,4.289391952738697e-08
1968,4.5363300671397155e-08
1969,2.7250546708046386e-08
1970,2.9431840076199478e-08
1971,3.853797991837382e-08
1972,2.975485102751918e-08
1973,3.0322620858669325e-08
1974,2.8690415376786405e-08
1975,2.341706917263764e-08
1976,2.971033907783749e-08
1977,2.9971587878208084e-08
1978,3.089107636355948e-08
1979,3.745262944221395e-08
1980,2.8425754194927322e-08
1981,3.6055631369436014e-08
1982,2.5450759721934446e-08
1983,3.220811350956865e-08
1984,3.76935567203418e-08
1985,3.368712597762169e-08
1986,3.596691300344901e-08
1987,2.3832186002437084e-08
1988,2.2187249371086182e-08
1989,2.1952487827547884e-08
1990,2.887784944505256e-08
1991,3.165191131415668e-08
1992,2.0937788391961476e-08
1993,3.545092752688106e-08
1994,3.0594573985354145e-08
1995,2.331653803366862e-08
1996,2.6690461396583487e-08
1997,2.7330898433319817e-08
1998,2.6224711291433778e-08
1999,2.2851006420410158e-08
2000,1.590491294223284e-08
2001,2.4972907297637903e-08
2002,2.6725450297249154e-08
2003,2.541822929913451e-08
2004,2.686922684347337e-08
2005,2.1167622321627277e-08
2006,1.93540827808647e-08
2007,2.995859560428471e-08
2008,3.533675041467177e-08
2009,3.623826216880843e-08
2010,4.062462011233947e-08
2011,4.015170418369962e-08
2012,5.6510593537950626e-08
2013,6.582335032589981e-08
2014,6.539644203940043e-08
2015,6.627560367178376e-08
2016,6.918276085343678e-08
2017,5.182159412697729e-08
2018,7.124847911654797e-08
2019,5.892781729244234e-08
