year,autres_ADJ iles_NOUN,autres_ADJ fils_NOUN
1800,7.54599476238127e-08,2.5153315164061496e-07
1801,9.048493798680113e-08,5.024295433031511e-07
1802,5.147032311469957e-08,3.7819498288627074e-07
1803,1.1702035251914822e-07,2.398917331447592e-07
1804,1.1617699291477379e-07,2.71903616066993e-07
1805,3.4114532976303735e-08,5.202466013543017e-07
1806,3.45800286183362e-08,3.025752572938245e-07
1807,6.832692100999793e-08,1.5658253005312872e-07
1808,9.51751069067086e-08,2.787271000670444e-07
1809,6.325285539787728e-08,3.6596293284674175e-07
1810,3.978215445954447e-08,4.1888267787726363e-07
1811,1.42903374467096e-07,5.590781029241043e-07
1812,7.201462359773814e-08,2.720552458868042e-07
1813,5.176334849643638e-08,3.4508900625951355e-07
1814,1.8880063290538374e-08,4.0906803633333766e-07
1815,1.8880565111345504e-08,3.6682240533991717e-07
1816,2.5493642752394408e-08,3.1519414278591285e-07
1817,7.78436682891126e-08,1.9616605584360514e-07
1818,3.9339885127276375e-08,8.869355951901525e-07
1819,2.587762526484738e-08,5.796587743134296e-07
1820,3.44127952800477e-08,3.9990041500459483e-07
1821,4.7335143804616564e-08,3.7276424791343743e-07
1822,4.3110148340019805e-08,4.571680847220705e-07
1823,4.941343512143703e-08,3.864130633246532e-07
1824,5.052667439997549e-08,4.976877878704045e-07
1825,3.25801385869795e-08,5.415347459347686e-07
1826,6.077509029367434e-08,5.707573791369214e-07
1827,9.770309250534126e-08,4.009513645542029e-07
1828,6.420610765278667e-08,3.503818959416094e-07
1829,1.0459274896179593e-07,4.1837100184238807e-07
1830,4.905312778191728e-08,5.875938313693041e-07
1831,4.5214498811674275e-08,3.788663036630169e-07
1832,8.929779504729396e-08,4.275470373293899e-07
1833,2.4904800355329826e-07,5.421138251637814e-07
1834,7.280933922437782e-08,4.181869712738262e-07
1835,8.848812882433776e-08,4.6286098154268984e-07
1836,7.056787687531596e-08,4.973355203219398e-07
1837,1.0019362850499647e-07,4.1399451333745674e-07
1838,9.846972859328673e-08,4.910862116958015e-07
1839,1.090670168624186e-07,5.334495654096827e-07
1840,8.344292251605268e-08,5.401495855039684e-07
1841,9.374000908835001e-08,5.277690888760844e-07
1842,7.043678396101427e-08,4.2396236521469177e-07
1843,9.923610377882142e-08,4.418369599079597e-07
1844,7.629100068351491e-08,5.889226031285943e-07
1845,6.082448272826113e-08,4.2744545680761803e-07
1846,9.367201991850038e-08,4.589929005760496e-07
1847,8.952751251456448e-08,4.4224432826922566e-07
1848,6.275273001232762e-08,3.6605759440311303e-07
1849,9.720121418865801e-08,3.2428336127487967e-07
1850,9.640374543096186e-08,3.917250808171957e-07
1851,7.029888338117019e-08,4.643596014375362e-07
1852,7.096494414327026e-08,5.065204204957041e-07
1853,8.300984966069791e-08,3.8698118487445754e-07
1854,6.546537323348645e-08,4.088987850536796e-07
