year,les_DET arts_NOUN,les_DET phares_NOUN
1800,4.5247672190384947e-05,1.3205490212442328e-07
1801,3.912521257376511e-05,7.857902528662919e-08
1802,4.153655066829742e-05,9.398928568771225e-08
1803,4.048904326481306e-05,4.8758481252519914e-08
1804,4.027881173840342e-05,3.707776485839531e-08
1805,4.311792697819783e-05,4.5486043376286034e-08
1806,4.534018168556031e-05,4.8988376022407465e-08
1807,4.801389907527209e-05,4.839823697366796e-08
1808,3.9787727871498646e-05,4.5321479014148736e-08
1809,3.578756209066114e-05,7.90660692473466e-08
1810,3.754265478050911e-05,4.212228077449254e-08
1811,3.647796724237651e-05,7.521230127593981e-08
1812,3.812240651512866e-05,8.801786854917282e-08
1813,3.824448761946542e-05,6.039057609541487e-08
1814,3.671857689724334e-05,6.608021774212602e-08
1815,3.341859902938893e-05,1.8610841934219025e-07
1816,2.9528590809846378e-05,6.025770105111405e-08
1817,3.207470657606848e-05,9.185553295765203e-08
1818,3.106420353304884e-05,7.39112993031199e-08
1819,3.446175026766696e-05,4.34744116262209e-08
1820,3.125393749314753e-05,1.1391821885808895e-07
1821,3.4561559809631603e-05,9.565643688258518e-08
1822,3.086786915673656e-05,3.408709403629473e-08
1823,2.9126255565614656e-05,1.9172412812906714e-07
1824,2.7163984043454548e-05,9.76849072742425e-08
1825,3.2852227807467216e-05,1.540952536682738e-07
1826,2.961596720396642e-05,2.9330587891784887e-07
1827,3.0185647712954733e-05,2.645357278785454e-07
1828,2.7465538266824296e-05,3.3662345677587524e-07
1829,3.197537445842613e-05,2.0575622228236057e-07
1830,2.8974743937482117e-05,1.9412514751238064e-07
1831,2.6205700084602768e-05,2.1048128839851188e-07
1832,2.9242323105194146e-05,1.5965363298064972e-07
1833,2.843896600168705e-05,3.359252342960417e-07
1834,2.7117744961557833e-05,1.8295681192270763e-07
1835,2.3476582086345843e-05,1.5958115540115614e-07
1836,2.2072288142993557e-05,1.444961248431298e-07
1837,2.318299692127823e-05,2.4839670231813216e-07
1838,2.260953234767271e-05,1.578040458305452e-07
1839,2.385701067453283e-05,2.0135448786096077e-07
1840,2.2706028898866748e-05,1.8472097129684784e-07
1841,2.277496923497324e-05,2.4975933987647636e-07
1842,2.118336024992118e-05,2.763805255767693e-07
1843,2.33163508323031e-05,1.4944484899581667e-07
1844,2.134227001704403e-05,2.8375862559659737e-07
1845,2.0550305787736534e-05,1.5680440323961875e-07
1846,2.145616139870299e-05,1.1123552612346543e-07
1847,2.196498213535847e-05,1.9631334424730085e-07
1848,1.9405075526890414e-05,1.6894965249036886e-07
1849,1.7859885637960815e-05,1.6172270655978593e-07
1850,1.9543482764561304e-05,1.7447720424002e-07
1851,1.8847195018878438e-05,2.2573035329820357e-07
1852,2.088648052200881e-05,1.8750370367470737e-07
1853,2.1364585627736687e-05,1.9647656213095388e-07
1854,1.9926931617675336e-05,3.647356510150246e-07
1855,2.0755961188001493e-05,3.895291982303206e-07
1856,2.0478371190790767e-05,5.81916070774291e-07
1857,1.9153577291319834e-05,1.8110398647408488e-07
1858,1.9120571487007965e-05,2.5642862411245915e-07
1859,2.097771677611604e-05,2.108159822267197e-07
1860,1.9160548887953155e-05,3.529008700819958e-07
1861,2.0510198549317238e-05,3.4898131318072956e-07
1862,1.912373269163936e-05,3.772518554212567e-07
1863,1.9033002427448764e-05,2.5172888262758875e-07
1864,1.851580022815824e-05,5.413247927688047e-07
1865,1.6150124572789082e-05,2.1745621558988404e-07
1866,1.6014678227094237e-05,5.27432434005437e-07
1867,1.6944077479763564e-05,7.468476983518713e-07
1868,1.7036142814674804e-05,4.2927505705669944e-07
1869,1.5496871320408445e-05,2.715236595562942e-07
1870,1.6873012150142586e-05,1.240848203742928e-06
1871,1.148255466887349e-05,2.7827484694320503e-07
1872,1.4941161154524707e-05,2.7999180685078784e-07
1873,1.4085666869334545e-05,3.4718826835700156e-07
1874,1.3083796467583397e-05,4.6601951764202454e-07
1875,1.4717484404513925e-05,3.6102836409313e-07
1876,1.550681874817883e-05,4.12338214017538e-07
1877,1.4830569810442285e-05,3.1295170033196484e-07
1878,1.5379746734822675e-05,5.592196019588158e-07
1879,1.4357524932506749e-05,4.3926047321729556e-07
1880,1.5814214819442896e-05,6.398592824474747e-07
1881,1.3218479580245912e-05,1.1204819809762512e-06
1882,1.2680505534490294e-05,6.715283351610424e-07
1883,1.3465247192812058e-05,4.448814492352682e-07
1884,1.2563029784473656e-05,5.353976133548599e-07
1885,1.1432623679752396e-05,5.781735152865508e-07
1886,1.1437474427111738e-05,4.0979495263826493e-07
1887,1.0470436677678663e-05,2.7943795971596685e-07
1888,1.0316180208747028e-05,4.0072683593628255e-07
1889,1.1783468764292593e-05,3.3581133829230225e-07
1890,9.752272106311466e-06,3.506596828461994e-07
1891,1.0514913597603481e-05,3.786286582041498e-07
1892,9.610882955257694e-06,3.8739405505694435e-07
1893,9.34354917347946e-06,4.2369905850492273e-07
1894,9.87199143764883e-06,3.3524188780553743e-07
1895,9.760387314372565e-06,2.2329060112014076e-07
1896,9.159855451912335e-06,3.0251759541854994e-07
1897,9.584943903462317e-06,3.705789846097929e-07
1898,8.932844764331094e-06,3.264870689356769e-07
1899,8.955229617413352e-06,4.681858918331727e-07
1900,9.861443857062113e-06,4.6356105642963996e-07
1901,8.797234059443326e-06,4.4654023367840523e-07
1902,8.129957024038958e-06,4.694231249269265e-07
1903,8.98542670313418e-06,3.704551181371585e-07
1904,9.158898791383763e-06,2.8163035992179175e-07
1905,8.823349531894564e-06,2.9829186820595766e-07
1906,8.533173485147927e-06,3.0196362332812754e-07
1907,8.792204837959616e-06,2.9622777786286747e-07
1908,8.725573898971106e-06,3.089263811428822e-07
1909,9.237801570805004e-06,4.433792710756279e-07
1910,9.022529603441853e-06,4.718884936139034e-07
1911,9.256918900746314e-06,4.884103548263852e-07
1912,9.151911051219486e-06,3.46426524799881e-07
1913,9.327959091365301e-06,5.318898805839467e-07
1914,9.098865675127854e-06,5.68553532698246e-07
1915,6.676157671137162e-06,4.4060049020355763e-07
1916,6.649611876241579e-06,4.889420552878221e-07
1917,7.172041335934409e-06,3.739550598069741e-07
1918,7.347834809934284e-06,4.5715778007604513e-07
1919,8.460171187607557e-06,3.3056174519874304e-07
1920,8.923875157051953e-06,4.823511563500915e-07
1921,8.51706920457218e-06,5.300923273665603e-07
1922,9.132408621326249e-06,6.573740420900975e-07
1923,9.42165388551075e-06,4.7665605906743735e-07
1924,1.0295251257730342e-05,6.42002892625726e-07
1925,9.82907121738208e-06,5.89502345604842e-07
1926,9.495395516978533e-06,5.639946121238637e-07
1927,1.0040991895721163e-05,5.819895498859751e-07
1928,9.32136433107189e-06,5.838706940153315e-07
1929,9.354599001198949e-06,6.762226560930173e-07
1930,9.857632193188692e-06,5.997557761538985e-07
1931,8.933815735190365e-06,6.626512298879561e-07
1932,8.575837512125872e-06,5.742797086760731e-07
1933,8.592673040652699e-06,8.052404787406431e-07
1934,8.714203261206421e-06,9.585264013622918e-07
1935,9.392709472422212e-06,6.367127172168807e-07
