year,dernières_ADJ oies_NOUN,dernières_ADJ fois_NOUN
1800,0.0,1.5720821977538435e-08
1801,0.0,9.524730337773235e-09
1802,0.0,3.5805442166747525e-08
1803,0.0,7.801356893821776e-09
1804,0.0,2.4718509905596875e-08
1805,0.0,1.9900143755080535e-08
1806,0.0,2.0171682990621775e-08
1807,0.0,1.7081731584767113e-08
1808,0.0,4.5321479902327155e-09
1809,0.0,2.259030518203531e-09
1810,0.0,0.0
1811,0.0,0.0
1812,0.0,2.400487453257938e-08
1813,0.0,2.5881675469463516e-08
1814,0.0,0.0
1815,0.0,1.0788894222457657e-08
1816,0.0,0.0
1817,0.0,4.670620334934483e-09
1818,0.0,3.9339884239097955e-08
1819,0.0,1.035105001712111e-09
1820,0.0,3.559944161679596e-08
1821,0.0,2.070912508145284e-08
1822,0.0,1.303330066093622e-08
1823,0.0,8.894418535021487e-09
1824,0.0,4.968456579490521e-08
1825,0.0,1.0566531649658373e-08
1826,0.0,7.927186018719112e-09
1827,0.0,4.424290978022327e-08
1828,0.0,2.7516904310687096e-08
1829,0.0,5.229637523029851e-08
1830,0.0,2.0873670791843324e-08
1831,0.0,1.2472964883158966e-08
1832,0.0,1.488296597074168e-08
1833,0.0,1.0425265983826648e-08
1834,0.0,1.5868701908061666e-08
1835,0.0,9.075705520444899e-09
1836,0.0,1.1425274948351216e-08
1837,0.0,3.965997663613052e-08
1838,0.0,2.651107955387033e-08
1839,0.0,2.7266752411492234e-08
1840,0.0,2.293087852933695e-08
1841,0.0,1.2841097074556274e-08
1842,0.0,1.2074877098200432e-08
1843,0.0,2.1855571574747046e-08
1844,0.0,1.2074834465636286e-08
1845,0.0,1.3950569588416784e-08
1846,0.0,2.985795788390533e-08
1847,0.0,1.240441438454809e-08
1848,0.0,1.769948809737798e-08
1849,0.0,1.1731181359664333e-08
1850,0.0,1.6972489191857676e-08
1851,0.0,6.449438760824933e-09
1852,0.0,1.1067927019325907e-08
1853,0.0,2.388772735173461e-08
1854,0.0,1.9743524148907454e-08
1855,0.0,1.8043586180738203e-08
