year,six_DET iles_NOUN,six_DET fils_NOUN
1800,3.144164484325529e-09,6.917161954334006e-08
1801,0.0,5.9529565277216534e-08
1802,0.0,4.923248297927785e-08
1803,0.0,1.1702034896643454e-08
1804,9.887403784603066e-09,9.88740396223875e-08
1805,2.842877711017877e-09,9.950071699904584e-08
1806,0.0,5.76333825108577e-08
1807,2.8469551160981155e-09,7.971474502710407e-08
1808,0.0,4.305540457494317e-08
1809,0.0,7.680703895118768e-08
1810,0.0,9.126494227018611e-08
1811,2.5070767684098882e-09,1.5543875298007492e-07
1812,0.0,1.2269157956268373e-07
1813,0.0,1.6966875193702435e-07
1814,0.0,1.5733386149463513e-08
1815,0.0,5.1247247334629265e-08
1816,0.0,3.7081662185300956e-08
1817,0.0,5.7604317760251433e-08
1818,0.0,1.5259107488674317e-07
1819,0.0,1.4698490513609386e-07
1820,0.0,1.3409123766905395e-07
1821,0.0,3.7276425235432953e-07
1822,1.0025615893027862e-09,1.0326384369818697e-07
1823,0.0,8.20263039713609e-08
1824,2.5263338088166165e-09,6.82110155025839e-08
1825,0.0,1.047847710822225e-07
1826,5.284790383086602e-09,1.8496767673070735e-07
1827,9.217273055917019e-10,1.3272872934066982e-07
1828,9.172301251858528e-10,8.163347797740528e-08
1829,0.0,1.0887933399317262e-07
1830,1.0436835840010872e-09,1.158488744934516e-07
1831,1.5591206103948707e-09,1.7150327380477393e-07
1832,4.058990921151917e-09,7.982681893281551e-08
1833,5.791814139399776e-09,8.687721297917506e-08
1834,0.0,1.0174638731541563e-07
1835,7.563087933704082e-10,1.194967893525245e-07
1836,0.0,1.438240531115298e-07
1837,1.3915781860163179e-09,6.888311787633938e-08
1838,0.0,1.028882421483246e-07
1839,0.0,1.510158682549445e-07
1840,6.369688665408546e-10,8.599079703852652e-08
1841,1.2841097074556274e-09,1.2327453191574023e-07
1842,6.708265054555795e-10,8.989074951060161e-08
1843,4.7255288571079745e-09,7.915261068802693e-08
1844,5.488561272137815e-10,1.1635749785909866e-07
1845,0.0,8.37034219713928e-08
1846,5.854501328173001e-10,1.469479826710085e-07
1847,5.393223645455691e-10,1.159543101536542e-07
1848,8.045221711050488e-10,6.114368744647436e-08
1849,8.379414939696517e-10,7.373885324568619e-08
1850,0.0,6.85688590351674e-08
1851,1.2898877521649865e-09,9.609663864651452e-08
1852,0.0,1.0416872942009547e-07
1853,5.971931837933653e-10,5.3747387429581295e-08
1854,5.195664454227256e-10,8.520889505092555e-08
1855,0.0,1.1834470114990836e-07
1856,5.177189232874468e-10,1.206285111798877e-07
1857,0.0,7.127003082141314e-08
1858,4.893676019968041e-10,1.3457608538658405e-07
1859,0.0,1.364702439943244e-07
1860,0.0,6.728460472116282e-08
1861,9.431927461278633e-10,1.1412632083818153e-07
1862,4.517986262886353e-10,1.2334102494904187e-07
1863,4.9946209945694875e-09,8.09128595236075e-08
1864,0.0,1.12676104890852e-07
1865,0.0,9.319551708131257e-08
1866,2.432806400776144e-09,1.0169131314796687e-07
1867,0.0,1.315111877175923e-07
1868,9.87974813071446e-10,9.682153168100172e-08
1869,0.0,1.040189587797613e-07
1870,0.0,9.919904053745654e-08
