year,leurs_DET oies_NOUN,leurs_DET fois_NOUN
1800,6.288328968651058e-09,9.432493897065797e-09
1801,0.0,0.0
1802,2.2378401354217203e-09,0.0
1803,2.3404069793286908e-08,1.950339223455444e-09
1804,4.943701892301533e-09,2.4718509461507665e-09
1805,5.685755422035754e-09,8.528632911009026e-09
1806,0.0,2.881669125542885e-09
1807,2.8469551160981155e-09,5.693910232196231e-09
1808,2.2660739951163578e-09,0.0
1809,3.6144488291256494e-08,4.518061036407062e-09
1810,1.1700633351097167e-08,2.3401267590372754e-09
1811,0.0,0.0
1812,5.3344164641089264e-09,1.0668832928217853e-08
1813,8.627225156487839e-09,2.8757416448144113e-09
1814,0.0,3.1466771410748606e-09
1815,0.0,2.697223555614414e-09
1816,0.0,0.0
1817,1.556873407970727e-09,0.0
1818,2.384235386898581e-08,1.1921177378582115e-09
1819,0.0,4.140420006848444e-09
1820,3.322614716694261e-08,0.0
1821,1.2819934447350079e-08,2.9584463767662328e-09
1822,2.0051231786055723e-09,4.010246357211145e-09
1823,8.894418535021487e-09,4.941343334508019e-09
1824,1.431589158329416e-08,1.271587990459011e-07
1825,7.924898959288385e-09,4.4027217427355936e-09
1826,3.5231937367541377e-09,1.7615968683770689e-09
1827,1.3825909306319772e-08,4.608636583469661e-09
1828,1.4675682002973645e-08,4.586150570418113e-09
1829,3.3435387791769244e-08,3.429270423183084e-09
1830,2.0873671680021744e-09,2.0873671680021744e-09
1831,1.5591206103948707e-09,0.0
1832,5.411987746839486e-09,0.0
1833,3.4750886612755494e-09,1.1583628500844156e-09
1834,5.600718555598405e-09,0.0
1835,0.0,3.100866052818674e-08
1836,3.36037508930076e-09,6.048674894287842e-09
1837,5.5663127440652715e-09,1.1828414692161004e-08
1838,1.3886756633496589e-08,1.1361890983607736e-08
1839,9.788065469251706e-09,2.866504900111977e-08
1840,0.0,1.46502836528839e-08
1841,3.852329122366882e-09,6.420548537278137e-10
1842,0.0,5.366612043644636e-09
1843,1.7720733769266417e-09,2.2446261738195972e-08
1844,5.488561272137815e-10,1.6465684371524958e-09
1845,6.138250796539069e-09,3.9061593959388574e-09
1846,5.269050973311096e-09,1.2294452567118697e-08
1847,8.089835468183537e-09,3.235934187273415e-09
1848,2.172209789819135e-08,2.574470947536156e-08
1849,0.0,2.513824481908955e-09
1850,6.788996032014438e-10,5.431196825611551e-09
1851,7.739326512989919e-09,7.094382858952031e-09
1852,2.278690836021724e-08,4.557382027314816e-09
1853,1.0749477752369785e-08,1.7318601663873778e-08
1854,6.754363734984281e-09,4.676098175337984e-09
1855,4.2455496895854594e-09,1.5920811335945473e-09
