year,ces_DET acteurs_NOUN,ces_DET facteurs_NOUN
1800,2.1694735607979965e-07,2.1065901556482913e-07
1801,1.8096987730586989e-07,1.2858386355674156e-07
1802,1.9469209178168967e-07,3.849085032925359e-07
1803,1.6967950600133008e-07,4.4857801917430606e-08
1804,1.8538881496610315e-07,2.0516363541389637e-07
1805,1.5920114915246586e-07,7.960057835099121e-08
1806,1.9019015606858147e-07,3.054569219784753e-07
1807,2.7900161558847003e-07,5.921666570429807e-07
1808,3.4670931370328617e-07,3.376450194991776e-07
1809,2.2816208478104727e-07,1.0165637265302507e-07
1810,4.493043483932979e-07,3.0421646624034793e-07
1811,9.025476543911282e-08,2.6825721022305515e-07
1812,2.0804224654114023e-07,1.226915742336132e-07
1813,2.3005933513786658e-07,1.2078115219082974e-07
1814,1.0698701968792079e-07,2.23414072575423e-07
1815,1.429528460050733e-07,2.966946031079942e-07
1816,3.2446456188495176e-08,1.7613789893289322e-07
1817,9.496927688701362e-08,8.095741588221017e-08
1818,9.417730195693252e-08,1.0490636181970103e-07
1819,1.1282644551968701e-07,6.210630232317271e-08
1820,1.364645276780152e-07,1.1866481308686616e-07
1821,1.2524090209353744e-07,6.311352507282209e-08
1822,9.925359734097583e-08,7.819980396561732e-08
1823,1.423106974485222e-07,7.708495530778237e-08
1824,1.5915902906726842e-07,6.231623217445303e-08
1825,2.2629988194466932e-07,9.06960648805466e-08
1826,9.953022450659432e-08,1.6118611956272844e-07
1827,1.0968554908785677e-07,7.650336852904616e-08
1828,1.1557099544035054e-07,1.7060480184127869e-07
1829,2.0575622095009294e-07,6.51561382625232e-08
1830,1.972562024832314e-07,2.2439197433499203e-07
1831,2.3542720484215351e-07,1.262887729946982e-07
1832,3.0036531839527925e-07,1.8941956447804387e-07
1833,1.702793346325393e-07,1.1120283227583627e-07
1834,1.5215285653624733e-07,8.587768496326476e-08
1835,1.4142973725483898e-07,1.9058982303477023e-07
1836,1.539051837085026e-07,1.3777537422043906e-07
1837,1.6142307224242813e-07,1.558567568338276e-07
1838,1.931521502740452e-07,1.287681001826968e-07
1839,9.298662018153436e-08,1.265456983645663e-07
1840,2.2230213048146652e-07,1.7070765778726127e-07
1841,1.1749603956445753e-07,9.309795290235456e-08
1842,1.2544455696428258e-07,9.659901945013871e-08
1843,1.6775627686982375e-07,1.4412863436064072e-07
1844,1.4160488248649017e-07,1.6246141854026064e-07
1845,1.0881444723054301e-07,2.4553003719063327e-07
1846,1.2118817949158256e-07,1.211881812679394e-07
1847,1.369878823709314e-07,2.707398305545894e-07
1848,1.6170896088851805e-07,1.464230316994275e-07
