year,herbes_NOUN fines_ADJ
1800,8.803660600520402e-08
1801,9.524730160137551e-08
1802,9.175144555229053e-08
1803,2.6719646939454833e-07
1804,7.415552971679062e-08
1805,8.52863308864471e-08
1806,1.123850950079941e-07
1807,3.9857372513552036e-08
1808,3.3991110370834576e-08
1809,7.00299480627109e-08
1810,4.680253340438867e-08
1811,6.016984244183732e-08
1812,1.600324850414836e-08
1813,2.0130191291656274e-08
1814,3.776012569289833e-08
1815,6.203614333344376e-08
1816,3.244645441213834e-08
1817,2.5221348209925054e-07
1818,8.821671571013212e-08
1819,6.107119787657211e-08
1820,3.322614716694261e-08
1821,3.8459806006585495e-08
1822,4.110502516141423e-08
1823,1.087095569118901e-07
1824,2.947389532437228e-08
1825,3.786340552203171e-08
1826,3.2589543508265706e-08
1827,4.147772969531616e-08
1828,2.5682442839070063e-08
1829,1.971830521085849e-08
1830,1.0436835395921662e-08
1831,6.548306430431694e-08
1832,5.1413883928042026e-08
1833,2.4325620628928846e-08
1834,2.8003592333902816e-08
1835,4.61348363955949e-08
1836,4.838940020901461e-08
1837,2.99189295560609e-08
1838,1.9567702347345062e-08
1839,3.076248944466897e-08
1840,1.4013314952876499e-08
1841,1.3483151928284087e-08
1842,2.0124795607756596e-08
1843,3.898561473647533e-08
1844,2.5247381074677833e-08
1845,1.1718478631905782e-08
1846,2.2247105491146613e-08
1847,1.0786447290911383e-08
1848,7.24069959545659e-09
1849,2.011059585527164e-08
1850,2.647708452485631e-08
1851,2.257303499675345e-08
1852,1.7578472011337e-08
1853,6.091370607919089e-08
1854,1.3508727469968562e-08
1855,3.555647865027822e-08
1856,1.7084724746041502e-08
1857,2.5383847912507917e-08
1858,2.6425849952715907e-08
1859,3.6154432336843456e-08
1860,4.7602712438532535e-08
1861,3.206855225812433e-08
1862,6.46072066956549e-08
1863,3.3963420520422005e-08
1864,1.6781548595190543e-08
1865,2.2122168985561075e-08
1866,1.3137154475373336e-08
1867,3.105799351033056e-08
1868,1.4819621974027086e-08
1869,6.8369265804335555e-09
1870,2.408300403544672e-08
1871,1.805600113868877e-08
1872,2.8422494580127022e-08
1873,1.7359413462259e-08
1874,2.5690820137924675e-08
1875,2.345826055627498e-08
1876,4.17175023414984e-08
1877,1.7317484335421796e-08
1878,2.9591534334016956e-08
1879,2.0771706688016423e-08
1880,1.6686399817444908e-08
1881,1.8825771164188154e-08
1882,1.5972924316542958e-08
1883,2.0853818227806187e-08
1884,2.706695845233753e-08
1885,1.8047780214747178e-08
1886,1.936039240035825e-08
1887,2.4809913734546996e-08
1888,1.8387781963724592e-08
1889,3.57112810434046e-08
1890,3.408280796479701e-08
1891,4.0157587477551715e-08
1892,1.6924984080901595e-08
1893,1.9091091374434654e-08
1894,2.457600345451283e-08
1895,2.4074457982692365e-08
1896,2.299841384001411e-08
1897,1.806281169081103e-08
1898,1.6975064909274806e-08
1899,1.6582735185011188e-08
1900,1.661137005726232e-08
1901,1.2854099118442264e-08
1902,2.258730624760119e-08
1903,1.944079275340016e-08
1904,2.741058935384899e-08
1905,1.4450125540577119e-08
1906,4.578324208637241e-08
1907,1.6457098794830927e-08
1908,1.7189861978295085e-08
1909,1.265226234892225e-08
1910,2.8323998924051352e-08
1911,2.074945903984826e-08
1912,1.5628263128064646e-08
1913,1.5378670781274195e-08
1914,1.875088173619588e-08
1915,2.3561524287174507e-08
1916,1.9777431248257926e-08
1917,8.773139548168274e-09
1918,2.5270028736201766e-08
1919,1.6574126959767455e-08
1920,3.33178178379967e-08
1921,2.196096815509918e-08
1922,3.39385017866789e-08
1923,3.927900849021171e-08
1924,1.804827398643738e-08
1925,3.8493624288094e-08
1926,1.5604593173179637e-08
1927,2.1183527820767267e-08
1928,2.170947865920425e-08
1929,1.7824650200282122e-08
1930,2.3107928015519974e-08
1931,3.649714130915527e-08
1932,1.6439305028370654e-08
1933,2.523545639121494e-08
1934,2.7557634396657704e-08
1935,2.5133396697185617e-08
1936,1.2124714565686645e-08
1937,2.5182236296217297e-09
1938,1.6854778905894818e-08
1939,3.058810094103137e-09
1940,5.0715658339584024e-09
1941,1.1806010391524069e-08
1942,1.517105907566929e-08
1943,2.322588166236983e-08
1944,2.5705489292704442e-08
1945,1.3071024262956144e-08
1946,1.2528993842408909e-08
1947,1.907339353124371e-08
1948,1.848220954059343e-08
1949,1.3743811422273211e-08
1950,7.444753258312176e-09
1951,8.529121409139861e-09
1952,1.370824520563474e-08
1953,2.2625037843226892e-08
1954,5.863521668203475e-09
1955,2.5341140741375057e-08
1956,2.2674967681268754e-08
1957,2.1204090927540165e-08
1958,1.7371711180658167e-08
1959,3.022791617013354e-08
1960,1.314958364417862e-08
1961,1.042223907177231e-08
1962,8.878739354845067e-09
1963,1.61651322327927e-08
1964,9.734349326606662e-09
1965,1.094408652591028e-08
1966,1.7171132071780448e-08
1967,2.415864486238206e-08
1968,1.257596426995633e-08
1969,6.358460841182634e-09
1970,2.1614006945336328e-08
1971,1.3359833239690033e-08
1972,3.231992379282289e-08
1973,1.9847534060701832e-08
1974,1.012602890426706e-08
1975,1.1422960355389478e-08
1976,1.5997875024709174e-08
1977,1.5279633558407113e-08
1978,1.8415832636620166e-08
1979,1.462993370893173e-08
1980,1.1938816213419301e-08
1981,1.644642821929665e-08
1982,1.1173503899897241e-08
1983,1.9577479193344516e-08
1984,1.7976926891538625e-08
1985,2.285912081845254e-08
1986,1.3787316177626963e-08
1987,1.099947066762752e-08
1988,1.3192418657492766e-08
1989,1.701317808855407e-08
1990,1.2531897297662908e-08
1991,1.2895223555631219e-08
