year,soixante - dix fois
1800,1.0334305855508319e-08
1801,0.0
1802,4.18795735868116e-08
1803,2.14285567068373e-09
1804,2.9902459175445983e-08
1805,3.122235270325291e-08
1806,6.951849940151078e-08
1807,9.34484578607453e-09
1808,6.972414468009447e-08
1809,2.2238632269022673e-08
1810,1.795003257143435e-08
1811,1.1037213809572677e-08
1812,8.762750525193042e-09
1813,6.923544049186603e-08
1814,3.439378915004454e-08
1815,5.025909999289979e-08
1816,1.0132563232900793e-08
1817,2.2179605707606243e-08
1818,2.736978110817745e-08
1819,3.504888113070592e-08
1820,5.179490614182214e-09
1821,1.7280514796880198e-08
1822,3.2894288182205855e-08
1823,1.0795871752122821e-08
1824,2.205009153044557e-08
1825,4.5170310158937355e-08
1826,4.5169777251885534e-08
1827,3.0181965371411934e-08
1828,2.305314872330655e-08
1829,2.0604087325182263e-08
1830,3.538315596074426e-08
1831,6.845792910326054e-08
1832,6.078771974671326e-08
1833,5.9566765742147254e-08
1834,1.7388863682299416e-08
1835,4.315794654985439e-08
1836,2.7170912630936073e-08
1837,3.264124615043329e-08
1838,2.133495335954194e-08
1839,5.19695362299899e-08
1840,1.1829516921579852e-08
1841,2.8781141026001933e-08
1842,3.2274915184871134e-08
1843,4.647008466918123e-08
1844,4.248621499058913e-08
1845,3.477230592352498e-08
1846,2.3704436746818658e-08
1847,2.4740518966837044e-08
1848,5.7258606744881035e-08
1849,2.3852949837532833e-08
1850,2.8977259702855918e-08
1851,2.4704990719826014e-08
1852,3.210089616345613e-08
1853,4.3798181081911025e-08
1854,3.4099102208529075e-08
1855,3.897918077200302e-08
1856,3.1191270455366293e-08
1857,2.460860848430002e-08
1858,6.004306385420932e-08
1859,3.90198238164885e-08
1860,2.55917088076707e-08
1861,4.079436521919888e-08
1862,2.7726077433953833e-08
1863,3.015437144426869e-08
1864,3.8846592165242555e-08
1865,4.2308766212695303e-08
1866,3.203583887056993e-08
1867,3.992498864846539e-08
1868,4.273829956602526e-08
1869,2.3572175100738946e-08
1870,4.0841374171485256e-08
1871,3.382828595022147e-08
1872,2.5870694919660764e-08
1873,2.2305443270198566e-08
1874,2.687617395302766e-08
1875,3.772182211037034e-08
1876,5.511889966669514e-08
1877,3.063402065350829e-08
1878,7.444457850169783e-08
1879,4.1667281458490635e-08
1880,4.0988503258176934e-08
1881,3.0737570710925866e-08
1882,3.370711354477862e-08
1883,3.6923029966828835e-08
1884,3.855666363961063e-08
1885,4.2612505135597445e-08
1886,2.3467826792966662e-08
1887,2.2328134008375855e-08
1888,2.5859371977077217e-08
1889,2.8347653779903226e-08
1890,2.67472057835505e-08
1891,1.8270738144643417e-08
1892,2.9743911333923734e-08
1893,1.5623765392547284e-08
1894,2.7139357428040967e-08
1895,3.6530765912257124e-08
1896,2.341567473251871e-08
1897,1.739297239566895e-08
1898,2.1224815183185086e-08
