year,dispositions_NOUN in_ADJ
1952,3.1634410646574906e-09
1953,5.386913581872932e-09
1954,6.840775057526116e-09
1955,1.8771215692936494e-09
1956,0.0
1957,6.184526224473075e-09
1958,2.4816730892496253e-09
1959,3.100299128533379e-09
1960,2.076250060767393e-09
1961,6.948159270159238e-10
1962,2.5367825617905737e-09
1963,3.879631726988464e-09
1964,1.8251904432275978e-09
1965,3.2832261354087677e-09
1966,3.3234448526542337e-09
1967,1.9721342336964653e-09
1968,2.6948494546985557e-09
1969,1.3625273131978588e-09
1970,3.219107425067591e-09
1971,3.083038491169532e-09
1972,5.130146862875051e-10
1973,1.102640756478479e-09
1974,2.812785782069227e-09
1975,0.0
1976,1.142705374768127e-09
1977,1.1753563677885381e-09
1978,0.0
1979,3.5111840102075575e-09
1980,1.7055452605774235e-09
1981,6.325549528618524e-10
1982,6.207502289967692e-10
1983,6.315316047889041e-10
1984,5.799008495621649e-10
1985,3.0077789148208467e-09
1986,3.5966913891627428e-09
1987,0.0
1988,5.996553809062277e-10
1989,0.0
1990,1.6345953479657283e-09
1991,5.861465202094962e-10
1992,1.65298330578878e-09
1993,1.1078414852150331e-09
1994,2.1099706426497278e-09
1995,5.422450821690461e-10
1996,5.338092190498855e-10
1997,3.3564262480467733e-09
1998,1.9072516899143466e-09
1999,2.7421207526856506e-09
2000,1.7672125984802278e-09
2001,8.762423564512289e-10
2002,8.76244299341522e-10
2003,4.1669229178253886e-10
2004,4.404791253964646e-10
2005,0.0
2006,1.2353669198716943e-09
2007,3.994479469415779e-10
2008,1.2772318758180745e-09
2009,0.0
2010,9.447586046817946e-10
2011,3.82397197240536e-10
2012,3.404252713057332e-10
2013,1.1156500168141292e-09
2014,3.031623174720721e-09
2015,2.2165753954528356e-10
2016,2.0713400439298368e-10
2017,0.0
2018,0.0
2019,7.65296326310505e-10
