year,notes_NOUN in_ADJ,notes_NOUN fines_ADJ
1800,9.432493897065797e-09,0.0
1801,7.143547975374531e-09,0.0
1802,1.1189200677108602e-08,0.0
1803,7.801356893821776e-09,0.0
1804,0.0,0.0
1805,5.685755422035754e-09,0.0
1806,2.881669125542885e-09,0.0
1807,8.540865348294346e-09,0.0
1808,2.2660739951163578e-09,0.0
1809,2.25903047379461e-08,0.0
1810,0.0,0.0
1811,2.5070767684098882e-09,0.0
1812,1.0668832928217853e-08,0.0
1813,1.7254450312975678e-08,0.0
1814,0.0,0.0
1815,2.697223555614414e-09,0.0
1816,6.952811659743929e-09,0.0
1817,1.556873407970727e-09,1.401186100480345e-08
1818,2.384235475716423e-09,0.0
1819,2.070210003424222e-09,0.0
1820,1.1866481131050932e-09,0.0
1821,1.97229765852569e-09,0.0
1822,7.017931125119503e-09,0.0
1823,6.917880934764753e-09,0.0
1824,6.736890156844311e-09,0.0
1825,1.7610886082763955e-09,0.0
1826,5.284790383086602e-09,0.0
1827,2.7651818612639545e-09,0.0
1828,4.586150570418113e-09,0.0
1829,1.714635211591542e-09,0.0
1830,1.0436835840010872e-09,0.0
1831,3.1182412207897414e-09,0.0
1832,8.117981842303834e-09,0.0
1833,4.6334514003376626e-09,0.0
1834,1.8669061851994684e-09,0.0
1835,1.5126175867408165e-09,0.0
1836,9.409050427677812e-09,0.0
1837,2.0873671680021744e-09,0.0
1838,2.5248647617104325e-09,0.0
1839,6.9914751765765e-10,0.0
1840,4.458782232319436e-09,0.0
1841,6.420548537278137e-10,0.0
1842,2.683306021822318e-09,0.0
1843,1.7720733769266417e-09,0.0
1844,4.390849017710252e-09,0.0
1845,2.7901139176833567e-09,0.0
1846,5.854501328173001e-09,5.854501328173001e-09
1847,1.0786447290911383e-09,0.0
1848,2.413566457803995e-09,3.218088684420195e-09
1849,5.865590679832167e-09,0.0
1850,6.788996032014438e-10,2.7155984128057753e-09
1851,2.579775504329973e-09,0.0
1852,3.906327261660181e-09,0.0
1853,2.388772735173461e-09,3.5831591027601917e-09
1854,2.0782657816909023e-09,0.0
1855,0.0,0.0
1856,2.0708756931497874e-09,0.0
1857,1.9526036343364694e-09,4.881509085841174e-10
1858,2.4468380654951716e-09,0.0
1859,1.018434669930457e-09,6.619825576592575e-09
1860,3.66174721100343e-09,2.288591982591015e-09
1861,1.8863854922557266e-09,6.13075279431996e-09
1862,3.6143890103090826e-09,0.0
1863,1.4983863039219614e-09,6.99246927027275e-09
1864,1.4384183844029508e-09,4.794727948009836e-10
1865,1.882737743486018e-09,0.0
1866,1.4596839292835284e-09,3.8924903300596725e-09
1867,3.396968040192405e-09,4.85281148598915e-10
1868,4.445886547799205e-09,4.44588676984381e-09
1869,4.883519144627257e-10,9.767038289254515e-10
1870,3.4404292748035914e-09,0.0
1871,1.0621177271019633e-09,0.0
1872,3.628403577593531e-09,1.269941218851045e-08
1873,1.7958012854535355e-09,0.0
1874,1.7923826867161097e-09,0.0
1875,5.149374482371627e-09,0.0
1876,1.209202959984168e-09,1.209202959984168e-09
1877,1.8554447978047506e-09,0.0
1878,3.623453259660181e-09,6.039088673581716e-10
1879,4.27652757650776e-09,6.109325489944695e-09
1880,1.9253538763308597e-09,0.0
1881,1.2550513628362125e-08,6.972507571312292e-10
1882,3.9932310791357395e-09,0.0
1883,2.5277356319186595e-09,3.159669414998234e-09
1884,3.300848483434038e-09,0.0
1885,3.86738152613475e-09,5.156508553483263e-09
1886,7.0988103173519335e-09,3.2267319927115068e-09
1887,5.223139754040318e-09,6.528924623161458e-10
1888,6.340614699951175e-10,6.340614699951175e-09
1889,6.265136742733546e-10,9.397704836544563e-09
1890,1.9663159434024635e-09,9.176140736144589e-09
1891,7.649063604731055e-09,1.9122659011827636e-09
1892,9.402768341715273e-09,3.761107425503951e-09
1893,6.774258265451749e-09,1.2316833108982905e-09
1894,1.2603078580752936e-09,6.9316934414587195e-09
1895,1.2037228991346183e-09,1.2037228991346183e-08
1896,2.9485144326102386e-09,3.5382172747233653e-09
1897,2.9133566670225264e-09,1.1653427112179315e-09
1898,5.6583548957434e-10,1.13167097914868e-09
1899,6.080336234504102e-09,1.1055156790007459e-09
1900,4.67194793962733e-09,7.26747462209687e-09
1901,4.470991188387785e-09,5.58873880507349e-09
1902,1.4730852093691738e-09,1.9641135384773634e-09
1903,4.860198243861191e-09,1.0800440541913758e-09
1904,3.7622376325430196e-09,0.0
1905,9.805441791854719e-09,4.1286072338664326e-09
1906,3.6009290549365858e-09,4.115347618238729e-09
1907,5.142843484406967e-09,1.5428529565042481e-09
1908,3.929111258571538e-09,1.4734167219643268e-09
1909,2.7504918342913243e-09,6.0510818578052294e-09
1910,3.206490406526541e-09,9.619471441624228e-09
1911,3.1922244847493175e-09,6.384448969498635e-09
1912,5.209421227725386e-10,5.209421227725386e-10
1913,4.242391771214216e-09,7.954484182448596e-09
1914,4.018046340092951e-09,0.0
1915,2.3561523843085297e-09,0.0
1916,1.0987462051303964e-09,0.0
1917,3.289927441585405e-09,0.0
1918,1.1486376294556067e-09,9.189101035644853e-09
1919,2.762354511798293e-09,2.762354567309444e-09
1920,3.028892692213958e-09,3.028892692213958e-09
1921,1.5145494858259667e-09,0.0
1922,1.0329109456641561e-08,2.951174193910333e-09
1923,5.307974060286824e-09,3.1847844361720945e-09
1924,0.0,2.578324886925998e-09
1925,8.798542117105512e-09,0.0
1926,5.57306911730393e-09,0.0
1927,0.0,4.4596899506643695e-09
1928,3.4278122562625413e-09,9.14083297942625e-09
1929,5.570203187588163e-09,2.2280812750352652e-09
1930,8.402882833991043e-09,1.0503603542488804e-09
1931,7.983749661377715e-09,0.0
1932,1.0959536611565568e-09,2.1919073223131136e-09
1933,8.029463538505865e-09,0.0
1934,0.0,0.0
1935,1.0771455727365264e-08,2.393656828303392e-09
1936,9.699771652549316e-09,1.2124714565686645e-09
1937,1.510934177773038e-08,1.2591118148108649e-09
1938,6.4826072287971215e-09,2.5930428915188486e-09
1939,7.647025235257843e-09,0.0
1940,1.5214697723919812e-08,0.0
1941,8.854507793643052e-09,2.9515025978810172e-09
1942,2.1239482617119165e-08,6.068423541449874e-09
1943,1.1612940831184915e-08,2.9032352077962287e-09
1944,2.8918675454292497e-08,0.0
1945,6.535512131478072e-09,4.357008087652048e-09
1946,2.645009811175214e-08,0.0
1947,3.5762612871081956e-09,0.0
1948,1.7395020091015567e-08,5.435944139264848e-09
1949,3.9268033269479474e-09,0.0
1950,9.57182533234402e-09,1.0635361480382244e-09
1951,0.0,1.0661401761424827e-09
1952,2.1089607837865287e-09,0.0
1953,2.1547654771580937e-09,4.3095309543161875e-09
1954,6.840775279570721e-09,2.9317608341017376e-09
1955,4.6928039232341234e-09,0.0
1956,4.360570571293465e-09,4.360570571293465e-09
1957,2.6505113104313693e-09,1.7670075402875796e-09
1958,7.445019045704271e-09,5.790570245522986e-09
1959,1.0851047171911432e-08,1.5501495642666896e-09
1960,9.689166580173492e-09,2.7683333403416555e-09
1961,7.64297514166401e-09,6.948159270159238e-10
1962,1.3952304200870458e-08,1.2683912808952869e-09
1963,9.699079539515765e-09,2.5864212993553792e-09
1964,2.3727476428092587e-08,1.8251904432275978e-09
1965,3.283226002182005e-08,5.472043373977442e-10
1966,1.2739871602107655e-08,3.3234448526542337e-09
1967,1.232583901611406e-08,1.4791006197611978e-09
1968,1.39233886642387e-08,2.245707841908029e-09
1969,8.175164045720607e-09,1.8167031212712459e-09
1970,2.1614007916781475e-08,4.5987250119061684e-10
1971,2.7747346642570392e-08,0.0
1972,2.8215808356435446e-08,0.0
1973,2.6463379043661917e-08,0.0
1974,2.8690416264964824e-08,5.625571675160757e-10
1975,2.9128549350332378e-08,2.2845920710778955e-09
1976,4.170874756681542e-08,5.713526873840635e-10
1977,3.290997874216828e-08,0.0
1978,5.584155982063521e-08,2.3762365408686037e-09
1979,5.676414271960084e-08,1.1703946700691858e-09
1980,1.1086043905095266e-07,5.6851505725319385e-09
1981,7.65391501289514e-08,6.325549528618524e-10
1982,7.697302528697492e-08,0.0
1983,6.315315914662278e-08,6.315316047889041e-10
1984,4.871166936482041e-08,5.799008495621649e-10
1985,9.083492713557462e-08,0.0
1986,6.294209597967892e-08,1.1988970927134801e-09
1987,8.249602778676035e-08,6.110816852533674e-10
1988,6.536243812860221e-08,1.798966087207532e-09
1989,4.719785184903458e-08,0.0
1990,5.339677944249388e-08,5.44865097484859e-10
1991,6.682070363694947e-08,0.0
1992,5.509944145387635e-08,3.856960972825618e-09
1993,2.2156829260211452e-08,2.2156829704300662e-09
1994,3.5342009319094814e-08,2.637463358823311e-09
1995,3.036572371328816e-08,0.0
1996,1.868332244470139e-08,3.2028553142993132e-09
1997,2.5412940529712102e-08,4.79489448146353e-10
1998,2.288702027897216e-08,3.814503379828693e-09
1999,2.0108885223635298e-08,9.140402323914998e-10
2000,5.080736364959648e-08,8.836062992401139e-10
