year,moins_ADV utile_ADJ,moins_ADV futile_ADJ
1800,1.562649799780047e-06,1.8864987794131594e-08
1801,1.6025359172999742e-06,2.6193008650921e-08
1802,1.8193640016761492e-06,1.7902721083373763e-08
1803,1.4510524124489166e-06,1.950339223455444e-09
1804,1.9972555946878856e-06,4.69651695311768e-08
1805,1.7568984276294941e-06,0.0
1806,1.2881060911240638e-06,2.881669125542885e-09
1807,1.2469663488445804e-06,1.7081731584767113e-08
1808,1.4570855455531273e-06,1.1330369531492579e-08
1809,1.1995451814073022e-06,0.0
1810,1.443858195671055e-06,2.3401267590372754e-09
1811,1.2084110494470224e-06,2.5070767684098882e-09
1812,1.3976170976093272e-06,8.00162425207418e-09
1813,1.449373826289957e-06,2.8757416448144113e-09
1814,1.3813912573823472e-06,3.1466771410748606e-09
1815,1.542811901344976e-06,8.091670444798638e-09
1816,1.443867176931235e-06,4.6352077731626196e-08
1817,1.6393877331211115e-06,1.2454987263765815e-08
1818,1.5485609310417203e-06,3.5763530803478716e-08
1819,1.6095882529043593e-06,2.2772310259711048e-08
1820,1.486870132794138e-06,1.0679833017945839e-08
1821,1.580796606504009e-06,3.254291058851777e-08
1822,1.3694991594093153e-06,3.0076847679083585e-09
1823,1.3311979500940652e-06,4.941343334508019e-09
1824,1.2715879620373016e-06,1.51580028528997e-08
1825,1.245089606527472e-06,8.805443485471187e-09
1826,1.1767467640311224e-06,1.145037931138404e-08
1827,1.2129930837545544e-06,6.452091305675367e-09
1828,1.2786188108293572e-06,1.7427371545863934e-08
1829,1.3854252074452234e-06,1.457439946506156e-08
1830,1.18771197321621e-06,1.3567886369969528e-08
1831,1.0789115094667068e-06,4.677361609140007e-09
1832,1.1919903499801876e-06,4.058990921151917e-09
1833,8.942561180447228e-07,1.853380560135065e-08
1834,1.138812763201713e-06,1.4935249481595747e-08
1835,1.0043780775959021e-06,5.294161553592858e-09
1836,1.0800245036080014e-06,3.36037508930076e-09
1837,1.1390067129468662e-06,1.530736071231331e-08
1838,1.1216711754968856e-06,6.943378316748294e-09
1839,9.683193411547109e-07,2.027527834513876e-08
1840,1.1038670209018164e-06,5.095750932326837e-09
1841,1.0176569276154623e-06,2.247191943638427e-08
1842,9.257405508833472e-07,2.0795621225033756e-08
1843,1.0691509260141174e-06,6.497602011990011e-09
1844,1.1246062285863445e-06,1.2623690537338916e-08
1845,8.816759873297997e-07,7.254296274794569e-09
1846,1.0514684163354104e-06,4.0981511517657054e-09
