year,jeunes_ADJ hôtes_NOUN
1800,0.0
1801,1.4287095950749062e-08
1802,2.2378401354217203e-09
1803,0.0
1804,4.943701892301533e-09
1805,2.842877711017877e-09
1806,2.0171682990621775e-08
1807,0.0
1808,0.0
1809,0.0
1810,4.680253518074551e-09
1811,2.0056614147279106e-08
1812,0.0
1813,5.7514832008109806e-08
1814,0.0
1815,0.0
1816,0.0
1817,1.2454987263765815e-08
1818,1.1921177378582115e-09
1819,4.140420006848444e-09
1820,1.3053129244156025e-08
1821,4.930744257336528e-09
1822,2.0051231786055723e-09
1823,3.9530747564242574e-09
1824,1.0105335235266466e-08
1825,5.283265824829186e-09
1826,2.290075862276808e-08
1827,4.608636583469661e-09
1828,0.0
1829,8.573175946935407e-09
1830,9.39315203396518e-09
1831,3.1182413096075834e-08
1832,6.764984572527055e-09
1833,1.0425265983826648e-08
1834,1.9602515166639023e-08
1835,5.294161553592858e-09
1836,6.72075017860152e-09
1837,4.174734336004349e-09
1838,6.312161904276081e-10
1839,2.7965900706306e-09
1840,6.369688665408546e-10
1841,2.5682194149112547e-09
1842,1.2074877098200432e-08
1843,1.7130041385371442e-08
1844,8.232841963717874e-09
1845,1.0044410636567136e-08
1846,1.0538101946622191e-08
1847,5.3932236454556914e-09
1848,6.43617736884039e-09
1849,1.0893239199560867e-08
1850,6.788996032014438e-09
1851,1.1608989325395669e-08
1852,1.3021090872200602e-08
1853,5.971931837933653e-09
1854,2.0782657816909023e-09
1855,1.6982198758341838e-08
1856,1.1389816201301528e-08
1857,1.513267733344037e-08
1858,6.8511463169329545e-09
1859,1.4258085379026397e-08
1860,1.0069804545764782e-08
1861,1.5091083938045813e-08
1862,9.939570055905733e-09
1863,7.991393324857654e-09
1864,1.5343129433631475e-08
1865,1.3179164426446732e-08
1866,6.3252967308358166e-09
1867,9.220341823379385e-09
1868,2.9639244392143382e-09
1869,1.2697149998075474e-08
1870,7.454262984651905e-09
1871,1.6993883633631413e-08
1872,1.0280476914203973e-08
1873,7.183205141814142e-09
1874,1.1949218281515073e-09
1875,5.149374260327022e-09
1876,5.441413541973361e-09
1877,6.184816214727107e-09
1878,9.662541877730746e-09
1879,4.27652757650776e-09
1880,0.0
1881,9.761510710859511e-09
1882,9.983077475794744e-09
1883,1.2006744043446815e-08
1884,6.601696966868076e-09
1885,1.2891271161663553e-08
1886,1.355227396970804e-08
1887,6.528924512139156e-09
1888,0.0
1889,5.6386229019267375e-09
1890,4.5880703680722945e-09
1891,5.736798147637501e-09
1892,1.2537024751679837e-08
1893,6.15841644346915e-09
1894,2.520615716150587e-09
1895,9.027921521465032e-09
1896,7.66613794667137e-09
1897,4.078699600285063e-09
1898,7.921697076085366e-09
1899,4.4220627160029835e-09
1900,3.633737311048435e-09
1901,7.824234593556412e-09
1902,1.9641135384773634e-09
1903,1.6200660812870638e-09
1904,6.449550227216605e-09
1905,3.096455536422127e-09
1906,1.0288369045596824e-09
1907,7.199980611716228e-09
1908,6.384805573134145e-09
1909,8.251475058784763e-09
1910,3.206490406526541e-09
1911,1.0640748726586935e-08
1912,7.293189607793238e-09
1913,1.2727175757731857e-08
1914,2.0090231700464756e-09
1915,2.1205371680821372e-08
1916,3.2962386153911893e-09
1917,1.973956464951243e-08
1918,8.040463406189247e-09
1919,2.2098836538475553e-08
1920,1.817335615328375e-08
1921,6.058197943303867e-09
1922,9.591316185719734e-09
1923,9.554353752605493e-09
1924,6.445812328337297e-09
1925,1.0998177923937646e-09
1926,2.229227691330493e-09
1927,2.2298449753321847e-09
1928,3.4278122562625413e-09
1929,2.2280812750352652e-09
1930,9.453243521306831e-09
1931,4.5621426636444085e-09
1932,7.6716757391182e-09
1933,1.1470662197865522e-09
1934,2.3963160344919743e-09
1935,9.574627313213568e-09
1936,6.0623572828433225e-09
1937,1.0072894518486919e-08
1938,3.8895642262559704e-09
1939,4.588215141154706e-09
1940,0.0
1941,2.9515025978810172e-09
1942,1.517105907566929e-08
1943,0.0
1944,0.0
1945,0.0
1946,9.744772988540262e-09
1947,3.5762612871081956e-09
1948,6.523132700664291e-09
1949,9.817008539414473e-09
1950,4.2541445921528975e-09
1951,2.1322803522849654e-09
1952,4.2179215675730575e-09
1953,6.464296653518886e-09
1954,9.772536557761669e-09
1955,8.447047505910632e-09
1956,8.72114158667614e-10
1957,1.7670075402875796e-09
1958,1.6544486891589827e-09
1959,8.525822714489095e-09
1960,3.460416619915918e-09
1961,6.94815938118154e-09
1962,8.8787386332001e-09
1963,1.2932106496776896e-09
1964,6.6923653285755336e-09
1965,2.73602163147757e-09
1966,4.985167390003653e-09
1967,2.465167847631733e-09
1968,4.042274071025531e-09
1969,1.3625273131978588e-09
1970,3.219107425067591e-09
1971,4.624557625731995e-09
1972,5.130146862875051e-10
1973,1.6539611902288698e-09
1974,2.812785782069227e-09
1975,5.711480177694739e-10
1976,4.570821499072508e-09
1977,6.464460078348111e-09
1978,5.940591130126904e-09
1979,4.681578680276743e-09
1980,4.548120546843393e-09
1981,1.8976649140967083e-09
1982,1.2415004579935385e-09
1983,5.68378455412244e-09
1984,1.739702604197646e-09
1985,3.609334831011779e-09
