year,derniers_ADJ oeufs_NOUN,derniers_ADJ feux_NOUN
1800,0.0,6.288328791015374e-08
1801,1.1905912700171939e-08,1.0239084957675004e-07
1802,4.475680270843441e-09,4.923248297927785e-08
1803,1.950339223455444e-09,2.9255089017965474e-08
1804,7.4155526164076946e-09,7.662737999680758e-08
1805,0.0,6.538618890772341e-08
1806,0.0,8.933174200365102e-08
1807,0.0,3.9857372513552036e-08
1808,0.0,1.7222161829977267e-07
1809,0.0,1.129515236897305e-08
1810,9.360507036149102e-09,5.148278958699848e-08
1811,0.0,7.270522672797597e-08
1812,0.0,2.6672083208723052e-08
1813,0.0,2.8757416004054903e-08
1814,0.0,4.090680150170556e-08
1815,0.0,1.1058616422587875e-07
1816,0.0,4.6352077731626196e-08
1817,0.0,6.694555310104988e-08
1818,9.536941902865692e-09,5.0068944545955674e-08
1819,1.035105001712111e-09,7.349245834120666e-08
1820,0.0,9.01852530432734e-08
1821,0.0,4.141825016290568e-08
1822,0.0,7.619468078701175e-08
1823,0.0,7.906149335212831e-08
1824,0.0,9.347434826167955e-08
1825,0.0,1.3736490700466675e-07
1826,0.0,1.444509365455815e-07
1827,0.0,9.585964022562621e-08
1828,1.8344602503717056e-09,7.521286704559316e-08
1829,0.0,1.0373543357644621e-07
1830,0.0,1.2524202475105994e-07
1831,0.0,8.107426907599802e-08
1832,0.0,1.4747666909897816e-07
1833,0.0,1.6680425574122637e-07
1834,1.8669061851994684e-09,1.3348379024336054e-07
1835,0.0,9.680752555141225e-08
1836,2.688300027031687e-09,1.1290860157942006e-07
1837,1.3915781860163179e-09,9.601889572330435e-08
1838,0.0,8.395175088438123e-08
1839,0.0,1.034738322802653e-07
1840,6.369688665408546e-10,9.363442354803908e-08
1841,0.0,7.833069126661485e-08
1842,0.0,9.995315064514898e-08
1843,0.0,7.738053398043121e-08
1844,1.097712254427563e-09,8.671926560177567e-08
1845,0.0,7.589109946026795e-08
1846,0.0,8.313391930414582e-08
1847,2.1572894581822766e-09,4.853901458545806e-08
1848,0.0,7.803865287314693e-08
1849,0.0,8.128032646936845e-08
1850,0.0,7.943125002185525e-08
1851,6.449438760824933e-10,5.6755062871616246e-08
1852,0.0,1.0221556578926538e-07
1853,0.0,7.644073085621983e-08
1854,1.0391328908454511e-09,7.689583725323246e-08
1855,0.0,9.552486801567284e-08
1856,1.0354378465748937e-09,5.228961086345407e-08
1857,0.0,1.0836950115056254e-07
1858,0.0,1.2283126316070536e-07
1859,0.0,1.2272137417390638e-07
1860,0.0,1.0619066354022877e-07
1861,4.715963730639317e-10,1.1412632466845096e-07
1862,0.0,1.4322016997359022e-07
1863,0.0,1.0338865052972324e-07
1864,0.0,1.0884032375368946e-07
1865,0.0,9.554894120356039e-08
1866,0.0,8.806759410617815e-08
1867,0.0,8.346835755901338e-08
1868,0.0,6.076044978264861e-08
1869,0.0,1.1280929390622418e-07
1870,0.0,9.289158953151855e-08
1871,0.0,9.346636176132961e-08
1872,6.047339295989218e-10,8.768641968082136e-08
1873,5.986004469882289e-10,7.48250528204153e-08
1874,0.0,8.66318359271645e-08
1875,2.8607636259891933e-09,8.582290678127436e-08
1876,6.04601479992084e-10,8.403960549685507e-08
1877,0.0,7.607323870839622e-08
1878,0.0,8.937850992651875e-08
1879,0.0,7.025723880449419e-08
1880,0.0,8.214843294496177e-08
1881,0.0,8.506459409085565e-08
1882,6.655385131892899e-10,9.051323957010027e-08
1883,6.319338941018771e-10,8.088753844504026e-08
1884,0.0,9.506443365836503e-08
1885,0.0,9.088346097918532e-08
1886,0.0,9.680196100259053e-08
1887,0.0,7.899998877292091e-08
1888,0.0,9.00367298495297e-08
1889,0.0,8.896493852716958e-08
1890,0.0,9.307229031918496e-08
1891,0.0,5.800540381351027e-08
1892,0.0,6.83267842305213e-08
1893,2.463366621796581e-09,7.636436555324977e-08
1894,6.301539290376468e-10,8.255016581415475e-08
1895,6.018614495673091e-10,7.463081885816791e-08
1896,0.0,1.0319800414215763e-07
1897,0.0,7.632994825090833e-08
1898,0.0,7.412445246490762e-08
1899,0.0,7.95971288880537e-08
1900,0.0,8.565237652469193e-08
1901,0.0,5.644626460687974e-08
1902,0.0,7.26722014232628e-08
1903,5.400220270956879e-10,8.424343889146257e-08
1904,0.0,8.975624243845459e-08
1905,5.160759042333041e-10,7.121847778179813e-08
1906,5.144184522798412e-10,6.944649300066885e-08
1907,1.028568674676933e-09,6.839981381290272e-08
1908,0.0,7.072399910157401e-08
1909,2.2003934230241384e-09,9.021613323056954e-08
1910,5.344150677544235e-10,7.1077202790093e-08
1911,0.0,6.118430395662955e-08
1912,5.209421227725386e-10,8.126697093047142e-08
1913,5.30298971401777e-10,8.643873172786698e-08
1914,1.3393487430235496e-09,7.098548504558266e-08
1915,0.0,4.123266705846618e-08
1916,1.0987462051303964e-09,5.8233549538044826e-08
1917,3.289927441585405e-09,1.2063067345025047e-07
1918,1.1486376294556067e-09,8.959373243300206e-08
1919,0.0,8.194984957299312e-08
1920,0.0,8.480899538199083e-08
1921,7.572747429129834e-10,7.345565222749428e-08
1922,0.0,1.0993123567004659e-07
1923,1.0615948120573648e-09,5.4141336303104026e-08
1924,3.867487219366694e-09,8.508472149060253e-08
