year,brochures_NOUN in_ADJ
1800,9.432493897065797e-09
1801,2.3811825844433088e-09
1802,0.0
1803,5.851017448321727e-09
1804,5.6852570651244605e-08
1805,3.695740957709859e-08
1806,0.0
1807,2.8469551160981155e-09
1808,1.8128591960930862e-08
1809,5.1957702140725814e-08
1810,3.510190182964834e-08
1811,5.0141535368197765e-09
1812,5.067695596494559e-08
1813,1.1502966401621961e-07
1814,3.1466772298927026e-08
1815,1.0788894222457657e-08
1816,3.244645441213834e-08
1817,3.42512151974006e-08
1818,8.344824387052086e-09
1819,5.589566853814176e-08
1820,5.933240565525466e-09
1821,1.577838126820552e-08
1822,5.6143449000956025e-08
1823,2.0753642027138142e-08
1824,2.105278174013847e-08
1825,2.553578504205234e-08
1826,2.2019960743691058e-08
1827,1.1060727445055818e-08
1828,1.9261833017480967e-08
1829,1.0287811491593857e-08
1830,4.383471008395645e-08
1831,3.585977381703742e-08
1832,4.329590197471589e-08
1833,3.1275796175123105e-08
1834,2.9870498963191494e-08
1835,1.8151411040889798e-08
1836,6.25029770162655e-08
1837,2.435261770017405e-08
1838,3.2192025711808014e-08
1839,3.0063343814390464e-08
1840,4.4587820713370974e-08
1841,9.374000686790396e-08
1842,1.2209042665745073e-07
1843,4.430183175863078e-08
1844,3.457793529282327e-08
1845,4.464182201679989e-08
1846,6.439951594217064e-08
1847,6.09434263054709e-08
1848,7.723412970284116e-08
1849,7.541473312500102e-08
1850,7.535785950807394e-08
1851,5.611011832939994e-08
1852,7.617338138032892e-08
1853,6.031651222926371e-08
1854,1.4443947060627238e-07
1855,7.270503488143731e-08
1856,8.956537644877471e-08
1857,7.81041464836818e-08
1858,8.563933118210798e-08
1859,6.46706006524056e-08
1860,5.3095331770114385e-08
1861,6.413710540442707e-08
1862,9.849210247381279e-08
1863,6.19332996554256e-08
1864,9.109983079014228e-08
1865,9.837304615345488e-08
1866,1.0947629203172937e-07
1867,1.4946659376846583e-07
1868,1.3979843327405206e-07
1869,1.1915786579663745e-07
1870,9.919904142563496e-08
1871,5.8416475656741795e-08
1872,8.52674850726487e-08
1873,5.387404078405211e-08
1874,4.600449043934418e-08
1875,6.694186782674194e-08
1876,8.82718174111119e-08
1877,7.050690253862513e-08
1878,1.539967611208226e-07
1879,8.858521338694914e-08
1880,6.482024961229627e-08
1881,9.34316011225178e-08
1882,7.587138917131142e-08
1883,9.858168859011585e-08
1884,5.6114423330200225e-08
1885,6.574548239157707e-08
1886,7.55055243883973e-08
1887,9.793387167889023e-08
1888,1.7880534142200588e-07
1889,7.580815175600719e-08
1890,9.438316705967509e-08
1891,1.007126746443987e-07
1892,7.961010517476552e-08
1893,1.009980303834368e-07
1894,1.392640212038998e-07
1895,6.680661979174829e-08
1896,8.550692331965593e-08
1897,1.369277704554861e-07
1898,9.788953603262485e-08
1899,8.788849825691614e-08
1900,1.0226374591582044e-07
1901,8.159558761988706e-08
1902,6.137854957621869e-08
1903,1.3284542532687738e-07
1904,8.330669309941641e-08
1905,9.392581645784048e-08
1906,6.584556100364125e-08
1907,8.022835729093458e-08
1908,9.478980800281533e-08
1909,6.711199951325852e-08
1910,8.657524031008279e-08
1911,8.352987102000498e-08
1912,5.782457712655287e-08
1913,6.840857036394254e-08
1914,4.8216553416580155e-08
1915,1.7435527510656357e-07
1916,9.449217319712488e-08
1917,5.5928764952639654e-08
1918,8.959373332118048e-08
1919,1.1601888649792613e-07
1920,4.0132826839567315e-08
1921,4.619375859604702e-08
1922,6.123686391301675e-08
1923,8.917396421281865e-08
1924,4.125319807979366e-08
1925,2.1996355181741478e-08
1926,3.566764306128789e-08
1927,2.8987984013184587e-08
1928,2.742249938236796e-08
1929,7.798284684668033e-09
1930,3.4661892245324566e-08
1931,2.8513390759599133e-08
1932,4.822196164600001e-08
1933,2.6382522388956886e-08
