year,quelques_DET in_ADJ,quelques_DET fines_ADJ
1800,0.0,6.288328968651058e-09
1801,7.143547975374531e-09,0.0
1802,6.713520406265161e-09,8.951360541686881e-09
1803,5.851017448321727e-09,0.0
1804,2.4718509461507665e-09,2.4718509461507665e-09
1805,5.685755422035754e-09,2.2743021688143017e-08
1806,8.645007376628655e-09,0.0
1807,5.693910232196231e-09,0.0
1808,6.798221985349073e-09,0.0
1809,2.259030518203531e-09,4.518061036407062e-09
1810,7.020380277111826e-09,0.0
1811,0.0,2.0056614147279106e-08
1812,8.00162425207418e-09,0.0
1813,1.4378708002027452e-08,2.8757416448144113e-09
1814,6.293354282149721e-09,0.0
1815,0.0,5.394447111228828e-09
1816,4.6352077731626196e-09,4.6352077731626196e-09
1817,6.227493631882908e-09,2.0239355080775567e-08
1818,1.3113294672351117e-08,0.0
1819,5.175524897538253e-09,0.0
1820,1.3053129244156025e-08,1.3053129244156025e-08
1821,2.9584463767662328e-09,2.5639868894700157e-08
1822,4.010246357211145e-09,1.9048670196752937e-08
1823,2.9648061783404955e-09,4.941343334508019e-09
1824,5.052667617633233e-09,8.421112696055388e-09
1825,1.4969252504215547e-08,4.4027217427355936e-09
1826,5.284790383086602e-09,7.927186018719112e-09
1827,1.1060728055678481e-08,9.217273055917019e-10
1828,1.4675682002973645e-08,1.1923991571904935e-08
1829,8.573175946935407e-09,0.0
1830,4.174734336004349e-09,1.7742621594152297e-08
1831,6.236482441579483e-09,1.4032085715598441e-08
1832,0.0,1.6235963684607668e-08
1833,1.1583628500844156e-09,3.4750886612755494e-09
1834,2.8003592777992026e-09,1.5868701908061666e-08
1835,7.563087933704082e-09,9.075705520444899e-09
1836,4.032449929525228e-09,1.008112526790228e-08
1837,6.262101948095733e-09,1.3915782304252389e-08
1838,1.2624323808552163e-09,9.468243078458727e-09
1839,7.690622472189546e-09,1.8177836125232716e-08
1840,2.5478754661634184e-09,1.46502836528839e-08
1841,7.0626033910059505e-09,1.6693427085101575e-08
1842,9.391571520467323e-09,2.2137275124123335e-08
1843,3.5441465873198297e-09,3.071593823733565e-08
1844,1.097712254427563e-09,1.701453911095996e-08
1845,4.464182357111213e-09,3.627148004170522e-08
1846,3.5127007969038004e-09,7.610851504580296e-09
1847,1.1325769655456952e-08,2.2112217834546755e-08
1848,1.0458788002321029e-08,1.448139919091318e-08
1849,1.6758829879393033e-09,5.865590679832167e-09
1850,6.1100964288129944e-09,2.1724787302446202e-08
1851,1.2898877521649865e-09,9.029214709244116e-09
1852,4.557381805270211e-09,2.799534470909748e-08
1853,7.166318427564988e-09,3.881755716861335e-08
1854,2.0782657816909023e-09,8.832629738719788e-09
1855,5.306937111981824e-09,2.0166361025530932e-08
1856,4.141751386299575e-09,1.863788057221427e-08
1857,2.9289055625270066e-09,1.9526035899275485e-08
1858,6.361778603913848e-09,2.104280660830682e-08
1859,4.582956014687056e-09,2.49516496353408e-08
1860,8.696649705930426e-09,1.876645328025006e-08
1861,7.073945429425521e-09,3.0182167876091626e-08
1862,3.162590411776023e-09,2.25899317307654e-08
1863,6.99246927027275e-09,2.4473642945554985e-08
1864,3.3563094525845827e-09,3.9796240969280916e-08
1865,4.23615986733239e-09,3.3418595002387974e-08
1866,5.352174259343201e-09,4.476364046102077e-08
1867,3.396968040192405e-09,3.494024447547872e-08
1868,5.433861693937558e-09,5.77965266757019e-08
1869,7.325278494896281e-09,4.5905078405183986e-08
1870,3.4404292748035914e-09,4.013834242755365e-08
1871,1.0621177271019633e-09,1.0090118252037428e-07
1872,4.23313739617015e-09,5.744972497723211e-08
1873,2.9930022904522957e-09,6.105724281724179e-08
1874,5.377148060148329e-09,5.19791011899251e-08
1875,2.860763514966891e-09,3.089624556196213e-08
1876,8.464420275799966e-09,7.920279188056156e-08
1877,4.947852905168304e-09,5.318941764809182e-08
1878,5.4351798062235446e-09,4.046189294726332e-08
1879,4.27652757650776e-09,8.003216023233506e-08
1880,7.059630879879819e-09,4.428314070992201e-08
1881,7.669758161910067e-09,4.811030152040985e-08
1882,1.9966155395678697e-09,4.1928925442746845e-08
1883,3.791603475633565e-09,6.256145579364158e-08
1884,1.3203393933736152e-09,5.677459391506545e-08
1885,5.80107206715752e-09,8.766064862886225e-08
1886,3.872078213618124e-09,5.3563748492191365e-08
1887,1.9586773869484375e-09,6.071899605331055e-08
1888,6.340614699951175e-09,6.340614788769017e-08
1889,4.38559560889118e-09,4.2602930960811136e-08
1890,3.9326319978272295e-09,6.685473863399238e-08
1891,1.9122659011827636e-09,5.928024560120093e-08
1892,1.0656471260972467e-08,4.450643587006198e-08
1893,1.8475249663474358e-09,4.557228217016984e-08
1894,1.2603078580752936e-09,9.13723161577451e-08
1895,2.4074457982692365e-09,5.236194766666813e-08
1896,5.307326078618502e-09,6.604672797561051e-08
1897,2.330685422435863e-09,7.39992596088257e-08
1898,2.26334195829736e-09,3.960848549144913e-08
1899,7.738609753005221e-09,6.964748600069015e-08
1900,3.6337372000261325e-09,7.838490079237204e-08
1901,3.353243460679778e-09,5.476963971240423e-08
1902,4.419255517085219e-09,6.088751991484287e-08
1903,3.2401321625741275e-09,5.400220248752419e-08
1904,4.837162670412454e-09,8.814385399347202e-08
1905,1.5482277682110634e-09,5.7800499941862427e-08
1906,4.115347618238729e-09,6.121579732010218e-08
1907,1.5428529565042481e-09,7.559979842142184e-08
1908,3.929111258571538e-09,5.304300043640353e-08
1909,0.0,6.711200040143694e-08
1910,2.137660271017694e-09,5.344150533215242e-08
1911,5.3203743632934675e-09,5.267170277711841e-08
1912,5.209421061191932e-09,3.2298409891051705e-08
1913,2.6514948014977335e-09,4.9848104310967756e-08
1914,5.3573948055607445e-09,5.0895250958138405e-08
1915,4.712304768617059e-09,5.7725735080893514e-08
1916,0.0,5.933229640930904e-08
1917,1.0966424435210342e-09,3.838248652243692e-08
1918,2.2972752589112133e-09,2.6418664589300533e-08
1919,5.524709134618888e-09,7.918749789226354e-08
