year,toutes_DET fois_NOUN
1800,4.84201319039812e-07
1801,1.0810569079922061e-06
1802,4.72184268573983e-07
1803,4.0957124269880296e-07
1804,4.523487291407946e-07
1805,3.4967396089768954e-07
1806,5.100554467674101e-07
1807,5.551562551886491e-07
1808,5.189309462139136e-07
1809,4.3825190942925474e-07
1810,1.778496319104761e-07
1811,4.28710123401288e-07
1812,4.080828617247789e-07
1813,2.9907713816612613e-07
1814,6.136020260782971e-07
1815,2.508417846769362e-07
1816,3.939926713769637e-07
1817,3.40955281785682e-07
1818,2.2769448193571407e-07
1819,2.8361876758253857e-07
1820,5.043254525105567e-07
1821,4.743375967564134e-07
1822,5.955216124675644e-07
1823,1.4003767887516005e-06
1824,1.6421169561908755e-06
1825,1.4300039481440763e-06
1826,8.112153651040899e-07
1827,7.281645935108827e-07
1828,9.539193399632495e-07
1829,9.224737169688524e-07
1830,3.6007084958100677e-07
1831,2.962329190836499e-07
1832,3.653091624755689e-07
1833,4.0658535027660037e-07
1834,2.865700992060738e-07
1835,1.068664346348669e-06
1836,1.0860731833872705e-06
1837,8.634742414415086e-07
1838,1.0200453743891558e-06
1839,1.4192694948178541e-06
1840,7.337881555713466e-07
1841,7.499200762595137e-07
1842,7.023553649787573e-07
1843,7.749867521056331e-07
1844,6.125234364162679e-07
1845,5.485363772095297e-07
1846,5.087561731897949e-07
1847,5.371650573238185e-07
1848,6.741895965944877e-07
1849,4.357295821932894e-07
1850,7.583308629932617e-07
1851,6.50103451960149e-07
1852,5.390731487864286e-07
1853,8.193490685926008e-07
1854,1.1274591571464043e-06
1855,9.260605224881147e-07
1856,6.797649589884713e-07
1857,7.400368033927407e-07
1858,7.418813083859277e-07
1859,7.847039427133495e-07
1860,5.611627429402688e-07
1861,6.423142338007892e-07
1862,4.770993484726205e-07
1863,7.606807628235401e-07
1864,7.599644078482015e-07
1865,7.309729070925641e-07
1866,6.75347081369182e-07
1867,7.536416291031856e-07
1868,6.461355042119976e-07
1869,6.309506801471798e-07
1870,7.437061242399068e-07
1871,6.085934245447788e-07
1872,6.494842494930708e-07
1873,8.368433981331691e-07
1874,9.147126576181108e-07
1875,6.316565688280207e-07
1876,8.609525110614413e-07
1877,7.155832264515993e-07
1878,7.977636329314919e-07
1879,6.463666153422309e-07
1880,5.429497775821801e-07
1881,6.679662476472004e-07
1882,6.635419040890156e-07
1883,7.918131572637321e-07
1884,5.697264242598976e-07
1885,6.187810370761326e-07
1886,6.679335200487913e-07
1887,2.4457350633610986e-06
1888,9.637734166290102e-07
1889,6.058387391760789e-07
1890,4.1620353030680235e-07
1891,4.665929012048764e-07
1892,5.691809121799452e-07
1893,5.351663858732536e-07
1894,5.948653232223933e-07
1895,5.284343558287219e-07
1896,3.343615446738113e-07
1897,4.206887105340229e-07
1898,4.0626989061820495e-07
1899,4.449700696795844e-07
1900,3.2599814758782486e-07
1901,4.331272585034185e-07
1902,4.473268688798271e-07
1903,3.7693536469873834e-07
1904,5.014525328306263e-07
1905,3.0654908833582795e-07
1906,4.089626841619065e-07
1907,3.908561012622158e-07
1908,3.752301154236193e-07
1909,3.8341856267720686e-07
1910,3.553860281613197e-07
1911,4.511677396124014e-07
1912,3.703898414642026e-07
1913,2.4340722148963323e-07
1914,2.3840406981889828e-07
1915,3.263271022291292e-07
1916,2.7468654906215306e-07
1917,2.949968127552438e-07
1918,1.906738411605602e-07
1919,2.2559228973761947e-07
1920,2.1277971029576292e-07
1921,1.8553230951567912e-07
1922,2.3535614701586383e-07
1923,2.0701098435438325e-07
1924,2.616999807969478e-07
1925,2.6285643883738885e-07
1926,2.563611847250513e-07
1927,2.0180097237698646e-07
1928,3.050753143440943e-07
1929,2.2949237887814888e-07
1930,1.9641739257281188e-07
1931,2.1670177119403888e-07
1932,2.323421828265282e-07
1933,1.9614832424963424e-07
1934,1.7852554279329524e-07
1935,1.555876902870068e-07
1936,1.4913398516114285e-07
1937,1.699800882271063e-07
1938,1.4780344770315423e-07
1939,1.5294050470515685e-07
1940,2.4089936978555215e-07
1941,2.538292367404438e-07
1942,2.7307906336204724e-07
1943,2.0322646676618206e-07
1944,1.0282195894717461e-07
1945,1.1110370756739485e-07
1946,1.8654279543284247e-07
1947,1.0371157621591465e-07
1948,8.480072466454658e-08
1949,8.344456770004172e-08
1950,1.286878674733316e-07
1951,1.2580454189503598e-07
1952,8.963083075741451e-08
1953,9.373230014375622e-08
1954,9.38163466912556e-08
1955,6.945349761977582e-08
1956,9.94210145321972e-08
1957,1.2987505337846983e-07
1958,9.347635376855123e-08
1959,1.2013659045351233e-07
1960,1.363404136256463e-07
1961,3.7242133643644593e-07
1962,1.2683912586908264e-07
1963,1.2220840517329634e-07
1964,2.2632362117747107e-07
1965,2.692245359980916e-07
1966,2.1214655987478181e-07
1967,3.0321564992163985e-07
1968,2.326553385501029e-07
1969,2.1210009570893362e-07
1970,2.248776542757014e-07
1971,1.8446847249720122e-07
1972,1.9545858975789088e-07
1973,1.7146064124062832e-07
1974,1.3557627553950624e-07
1975,1.9247688065604507e-07
1976,2.136859116319556e-07
1977,1.8394327661042098e-07
1978,2.2099000318576145e-07
1979,1.392769695129914e-07
1980,1.3701213674721657e-07
1981,1.0879945300246163e-07
1982,1.2911604496679274e-07
1983,1.0483424794927032e-07
1984,8.81449304657167e-08
1985,7.940536361772388e-08
1986,8.931783668231219e-08
1987,1.0388388727022857e-07
1988,9.654451638141381e-08
1989,9.823738356118383e-08
1990,7.083246345018779e-08
1991,7.033757931651508e-08
1992,7.603722984583783e-08
1993,7.810282465214868e-08
1994,9.231121733677128e-08
1995,9.54351335735737e-08
1996,1.1370135943877813e-07
1997,9.302095360652629e-08
1998,7.581325434102837e-08
1999,9.597422501173014e-08
2000,1.1796144239184514e-07
2001,1.025203584248402e-07
2002,7.272827495796719e-08
2003,7.750476704870835e-08
2004,9.60244523895426e-08
2005,1.0403661665492336e-07
2006,9.224073771463281e-08
2007,9.027523439897323e-08
2008,1.0175281017765769e-07
2009,8.105927573609506e-08
2010,5.71578944175144e-08
2011,2.8679790542440742e-08
2012,4.119145691205972e-08
2013,3.8211012132194355e-08
2014,3.269822146378942e-08
2015,3.701680784118366e-08
2016,8.596061196186611e-08
2017,3.06904586189205e-08
2018,2.5040226780959074e-08
2019,3.392813807678863e-08
