year,petits_ADJ arts_NOUN,petits_ADJ phares_NOUN
1800,3.144164484325529e-09,9.432493897065797e-09
1801,7.143547975374531e-09,0.0
1802,4.475680270843441e-09,0.0
1803,1.950339223455444e-09,0.0
1804,4.943701892301533e-09,0.0
1805,0.0,0.0
1806,2.881669125542885e-09,0.0
1807,0.0,0.0
1808,1.5862518409903714e-08,0.0
1809,0.0,0.0
1810,4.680253518074551e-09,1.1700633351097167e-08
1811,0.0,1.2535384286138651e-08
1812,0.0,1.3336041604361526e-08
1813,0.0,5.7514832008109806e-08
1814,0.0,0.0
1815,0.0,0.0
1816,2.3176038865813098e-09,0.0
1817,1.556873407970727e-09,4.670620334934483e-09
1818,0.0,0.0
1819,8.280840013696888e-09,0.0
1820,5.933240565525466e-09,0.0
1821,9.861488514673056e-09,4.930744257336528e-09
1822,8.02049271442229e-09,1.0025615893027862e-09
1823,0.0,0.0
1824,6.736890156844311e-09,0.0
1825,0.0,0.0
1826,0.0,8.807984341885344e-10
1827,0.0,0.0
1828,6.420610709767516e-09,1.2841221419535032e-08
1829,8.573175946935407e-09,0.0
1830,2.0873671680021744e-09,1.0436835395921662e-08
1831,0.0,0.0
1832,8.117981842303834e-09,0.0
1833,1.0425265983826648e-08,0.0
1834,2.8003592777992026e-09,0.0
1835,2.2689263801112247e-09,0.0
1836,1.3441500135158435e-09,0.0
1837,1.1828414692161004e-08,2.7831563720326358e-09
1838,3.787297142565649e-09,1.2624323808552163e-09
1839,6.9914749545318955e-09,6.9914751765765e-10
1840,1.5287252685958208e-08,2.5478754661634184e-09
1841,2.5682194149112547e-09,0.0
1842,0.0,1.341653010911159e-09
1843,7.678984559333912e-09,1.1813822142769936e-09
1844,1.0428266250528395e-08,0.0
1845,2.1204865419122143e-08,0.0
1846,1.2294452567118697e-08,0.0
1847,8.629157832729106e-09,5.9325460100012606e-09
1848,0.0,2.413566457803995e-09
1849,8.379414939696517e-10,0.0
1850,6.788996032014438e-10,2.0366988096043315e-09
1851,4.514607354622058e-09,2.579775504329973e-09
1852,1.6276363368206148e-08,8.463708844885787e-09
1853,0.0,5.3747388761848924e-09
1854,1.558699391779328e-09,2.5978321716024766e-09
1855,9.552486801567284e-09,7.429711956774554e-09
1856,2.0708756931497874e-09,1.1907535402144731e-08
1857,1.4644527812635033e-09,9.763018171682347e-10
1858,1.468102794888182e-08,1.9574704079872163e-09
1859,0.0,1.5276520048956854e-09
1860,4.57718396518203e-09,4.57718396518203e-09
1861,1.3676294763342867e-08,3.3011746669586728e-09
1862,6.776979422085105e-09,3.6143890103090826e-09
1863,8.990317823531768e-09,3.496234635136375e-09
1864,1.6302074357099627e-08,0.0
1865,6.589582213223366e-09,9.41368871743009e-10
1866,1.0704348518686402e-08,7.298419202328432e-09
