year,leurs_DET oies_NOUN,leurs_DET foies_NOUN
1800,6.288328968651058e-09,3.144164484325529e-09
1801,0.0,2.3811825844433088e-09
1802,2.2378401354217203e-09,2.2378401354217203e-08
1803,2.3404069793286908e-08,1.950339267864365e-08
1804,4.943701892301533e-09,3.9549615138412264e-08
1805,5.685755422035754e-09,8.528632911009026e-09
1806,0.0,2.881669125542885e-09
1807,2.8469551160981155e-09,1.1387820464392462e-08
1808,2.2660739951163578e-09,9.064295980465431e-09
1809,3.6144488291256494e-08,4.518061036407062e-09
1810,1.1700633351097167e-08,3.978215445954447e-08
1811,0.0,1.2535384286138651e-08
1812,5.3344164641089264e-09,1.600324850414836e-08
1813,8.627225156487839e-09,2.8757416448144113e-09
1814,0.0,4.72001566720337e-08
1815,0.0,1.8880564667256294e-08
1816,0.0,2.3176038865813098e-09
1817,1.556873407970727e-09,7.784366928831332e-09
1818,2.384235386898581e-08,4.768470951432846e-09
1819,0.0,0.0
1820,3.322614716694261e-08,8.306536791735653e-09
1821,1.2819934447350079e-08,0.0
1822,2.0051231786055723e-09,2.0051231786055723e-09
1823,8.894418535021487e-09,9.882686891060644e-10
1824,1.431589158329416e-08,8.421112696055388e-10
1825,7.924898959288385e-09,3.522177216552791e-09
1826,3.5231937367541377e-09,1.7615968683770689e-09
1827,1.3825909306319772e-08,8.295545583791863e-09
1828,1.4675682002973645e-08,9.172301251858528e-10
1829,3.3435387791769244e-08,0.0
1830,2.0873671680021744e-09,2.0873671680021744e-09
1831,1.5591206103948707e-09,1.2472964883158966e-08
1832,5.411987746839486e-09,3.2471927369215337e-08
1833,3.4750886612755494e-09,4.6334514003376626e-09
1834,5.600718555598405e-09,2.42697808516823e-08
1835,0.0,2.2689263801112247e-09
1836,3.36037508930076e-09,6.72075017860152e-09
1837,5.5663127440652715e-09,3.478945576063097e-09
1838,1.3886756633496589e-08,6.312161904276081e-10
1839,9.788065469251706e-09,3.216078425793967e-08
1840,0.0,0.0
1841,3.852329122366882e-09,1.2841097074556274e-09
1842,0.0,7.379091560011375e-09
1843,1.7720733769266417e-09,1.1813822142769936e-09
1844,5.488561272137815e-10,1.097712254427563e-09
1845,6.138250796539069e-09,2.2320911785556063e-09
1846,5.269050973311096e-09,0.0
1847,8.089835468183537e-09,0.0
1848,2.172209789819135e-08,6.43617736884039e-09
1849,0.0,6.703531951757213e-09
1850,6.788996032014438e-10,6.788996032014438e-10
1851,7.739326512989919e-09,1.1608989325395669e-08
1852,2.278690836021724e-08,1.6276363368206148e-08
1853,1.0749477752369785e-08,8.957897534855874e-09
1854,6.754363734984281e-09,0.0
1855,4.2455496895854594e-09,3.1841622671890946e-09
1856,3.6240324075009767e-09,9.318940286107136e-09
1857,3.905207268672939e-09,1.9526036343364694e-09
1858,7.34051397444091e-09,2.4468380654951716e-09
1859,2.036869339860914e-09,6.110608019582742e-09
1860,1.373155145145688e-09,3.204028820036342e-09
1861,1.8863854922557266e-09,4.715963619617014e-09
1862,1.0391368654438793e-08,9.487771457372673e-09
1863,2.9967726078439227e-09,8.990317823531768e-09
1864,9.589456340108882e-09,5.274200631788517e-09
1865,1.2237795665726026e-08,9.41368871743009e-10
1866,5.838735717134114e-09,5.352174259343201e-09
1867,9.7056229719783e-10,1.1161466417775046e-08
1868,2.9639244392143382e-09,5.9278488784286765e-09
1869,4.883519366671862e-09,0.0
1870,4.587239033071455e-09,3.4404292748035914e-09
1871,4.248470908407853e-09,1.0621177271019633e-09
1872,7.256807155187062e-09,4.23313739617015e-09
1873,3.591602570907071e-09,1.3169209722718733e-08
1874,5.974609140757536e-10,4.182226565063729e-09
1875,1.0298748520654044e-08,1.1443054281912168e-09
1876,1.209202959984168e-09,0.0
1877,3.0924081073635534e-09,7.421779413263607e-09
1878,7.2469061862534545e-09,4.22736201599605e-09
