year,belles_ADJ âmes_NOUN,belles_ADJ ames_NOUN,belles_ADJ femmes_NOUN
1800,8.803660733747165e-08,1.8550569791386806e-07,7.231578251776227e-07
1801,5.476719877606229e-08,5.595779271061474e-07,8.310327075378154e-07
1802,6.489736392722989e-08,2.64065135979763e-07,7.877197276684456e-07
1803,5.070882025393075e-08,2.340407121437238e-07,7.898873946032836e-07
1804,5.438072037122765e-08,3.58418390078441e-07,7.464989835170854e-07
1805,3.695740957709859e-08,3.553597025529598e-07,7.476768359993002e-07
1806,1.9595350408962986e-07,2.996935961618874e-07,8.472107424495334e-07
1807,8.54086508184082e-08,2.306033621835013e-07,4.839823759539286e-07
1808,1.0197332755979005e-07,2.719288829666766e-07,8.157866204783204e-07
1809,7.680704072754452e-08,1.8975856619363185e-07,4.224387168960675e-07
1810,1.0530570193623134e-07,4.329234570832341e-07,6.528953804263438e-07
1811,2.1811567307850055e-07,6.267691787797958e-08,1.0178731599808089e-06
1812,1.7870294755084615e-07,6.934741492159446e-08,9.12185214474448e-07
1813,1.5241430162404868e-07,2.415623043816595e-07,9.001071248349035e-07
1814,2.7061423679697327e-07,2.580275122454623e-07,3.901879779277806e-07
1815,1.726223075593225e-07,9.170560133497929e-08,5.448391675599851e-07
1816,1.1356259221884102e-07,1.2515060632267705e-07,3.870398472827219e-07
1817,2.646684720275516e-07,1.9616605584360514e-07,5.884981533199607e-07
1818,1.5378319062619994e-07,1.9073883095188648e-07,6.473199505308003e-07
1819,2.3393373282942775e-07,7.556266723440785e-08,5.092716719445889e-07
1820,3.275148685588647e-07,1.5663755448258598e-07,5.862041803084139e-07
1821,4.033348659504554e-07,1.715899031751178e-07,5.946477585894172e-07
1822,1.7244059336007922e-07,1.3434325296657335e-07,7.148263989620318e-07
1823,1.1365089847004128e-07,1.7294702558956487e-07,5.425595190899912e-07
1824,1.212640228231976e-07,1.8610658969464566e-07,5.288458737595647e-07
1825,2.764909083907696e-07,1.47050897680856e-07,6.260669920266082e-07
1826,1.35642963527971e-07,1.699940952448742e-07,6.579564342246158e-07
1827,8.664236617050847e-08,1.115290046982409e-07,4.829851150134346e-07
1828,1.008953134373769e-07,1.2199160437376122e-07,5.668482003784447e-07
1829,9.944884027390799e-08,2.297611132462407e-07,6.044089104761952e-07
1830,1.1584887715798686e-07,1.2419835115906608e-07,4.842692078455002e-07
1831,7.483778574624012e-08,1.4343909526814969e-07,7.093998988239036e-07
1832,1.3800568865462992e-07,3.6395618963069865e-07,5.317277782523888e-07
1833,1.158362863407092e-07,1.7027933552071772e-07,6.208824743225705e-07
1834,1.1948199585276598e-07,1.7268882857024437e-07,5.404693297350605e-07
1835,1.376482003934143e-07,1.0815215745196838e-07,4.4470957050180004e-07
1836,1.209734961094e-07,9.476257645246733e-08,7.016462859610328e-07
1837,1.704683256775752e-07,1.0019363116953173e-07,5.183628672966734e-07
1838,1.0415067208668916e-07,8.205810786421353e-08,6.331098347800435e-07
1839,1.307405881334489e-07,9.508406151326199e-08,6.271353072406782e-07
